"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","31000","3","21000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","1 - Heterosexual, that is, straight","0.479","0.0036","0.472","0.487","0.488","0.0037","0.48","0.495","0.976","0.0019","0.972","0.98","110299000","18445","1158000"
"97 - REFUSED","1 - Male","1 - Heterosexual, that is, straight","0","0.0001","0","0","0.259","0.1572","0.063","0.644","0","0.0001","0","0.001","23000","6","15000"
"98 - MISSING","1 - Male","1 - Heterosexual, that is, straight","0","0.0001","0","0","0.44","0.2767","0.076","0.882","0","0.0001","0","0.001","12000","1","12000"
"Overall","2 - Female","1 - Heterosexual, that is, straight","0.509","0.0036","0.502","0.516","0.509","0.0036","0.502","0.516","1","0","N/A","N/A","117133000","20090","1223000"
"1 - Within the past 30 days","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.262","0.0626","0.156","0.405","0.001","0.0002","0","0.001","87000","27","19000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","1 - Heterosexual, that is, straight","0.001","0.0001","0","0.001","0.353","0.0842","0.206","0.533","0.001","0.0002","0.001","0.002","122000","30","29000"
"3 - More than 12 months ago","2 - Female","1 - Heterosexual, that is, straight","0.004","0.0005","0.003","0.005","0.318","0.0308","0.259","0.383","0.009","0.001","0.007","0.011","1003000","199","113000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","1 - Heterosexual, that is, straight","0.503","0.0037","0.496","0.511","0.512","0.0037","0.505","0.52","0.989","0.0011","0.987","0.991","115841000","19820","1230000"
"97 - REFUSED","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.741","0.1572","0.356","0.937","0.001","0.0003","0","0.001","66000","10","31000"
"98 - MISSING","2 - Female","1 - Heterosexual, that is, straight","0","0","0","0","0.56","0.2767","0.118","0.924","0","0.0001","0","0","15000","4","7000"
"Overall","Overall","2 - Lesbian or Gay","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","4733000","933","209000"
"1 - Within the past 30 days","Overall","2 - Lesbian or Gay","0.006","0.0029","0.002","0.016","1","0","N/A","N/A","0.006","0.0029","0.002","0.016","27000","6","14000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","2 - Lesbian or Gay","0.002","0.0012","0.001","0.006","1","0","N/A","N/A","0.002","0.0012","0.001","0.006","11000","5","6000"
"3 - More than 12 months ago","Overall","2 - Lesbian or Gay","0.031","0.0091","0.017","0.055","1","0","N/A","N/A","0.031","0.0091","0.017","0.055","145000","27","44000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","2 - Lesbian or Gay","0.003","0.0031","0","0.022","1","0","N/A","N/A","0.003","0.0031","0","0.022","15000","2","15000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","2 - Lesbian or Gay","0.958","0.0102","0.932","0.975","1","0","N/A","N/A","0.958","0.0102","0.932","0.975","4535000","893","214000"
"97 - REFUSED","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","2 - Lesbian or Gay","0.529","0.0302","0.468","0.589","0.529","0.0302","0.468","0.589","1","0","N/A","N/A","2503000","433","176000"
"1 - Within the past 30 days","1 - Male","2 - Lesbian or Gay","0.005","0.0028","0.002","0.016","0.874","0.1037","0.511","0.979","0.009","0.0053","0.003","0.029","23000","4","13000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","2 - Lesbian or Gay","0.001","0.0013","0","0.009","0.561","0.3532","0.067","0.958","0.002","0.0024","0","0.018","6000","1","6000"
"3 - More than 12 months ago","1 - Male","2 - Lesbian or Gay","0.015","0.006","0.007","0.033","0.494","0.1504","0.226","0.766","0.029","0.0113","0.013","0.062","72000","14","28000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","2 - Lesbian or Gay","0","0.0002","0","0.001","0.054","0.0717","0.003","0.492","0","0.0003","0","0.002","1000","1","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","2 - Lesbian or Gay","0.507","0.0302","0.447","0.568","0.529","0.0311","0.467","0.591","0.959","0.0128","0.924","0.979","2401000","413","177000"
"97 - REFUSED","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","2 - Lesbian or Gay","0.471","0.0302","0.411","0.532","0.471","0.0302","0.411","0.532","1","0","N/A","N/A","2230000","500","178000"
"1 - Within the past 30 days","2 - Female","2 - Lesbian or Gay","0.001","0.0005","0","0.003","0.126","0.1037","0.021","0.489","0.002","0.0011","0","0.007","3000","2","3000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","2 - Lesbian or Gay","0.001","0.0007","0","0.004","0.439","0.3532","0.042","0.933","0.002","0.0015","0","0.009","5000","4","3000"
"3 - More than 12 months ago","2 - Female","2 - Lesbian or Gay","0.016","0.007","0.006","0.038","0.506","0.1504","0.234","0.774","0.033","0.0149","0.013","0.08","74000","13","33000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","2 - Lesbian or Gay","0.003","0.0031","0","0.023","0.946","0.0717","0.508","0.997","0.007","0.0065","0.001","0.047","15000","1","15000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","2 - Lesbian or Gay","0.451","0.0302","0.391","0.512","0.471","0.0311","0.409","0.533","0.957","0.0161","0.91","0.98","2134000","480","176000"
"97 - REFUSED","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","3 - Bisexual","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","8269000","2215","258000"
"1 - Within the past 30 days","Overall","3 - Bisexual","0.005","0.0017","0.002","0.01","1","0","N/A","N/A","0.005","0.0017","0.002","0.01","38000","12","14000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","3 - Bisexual","0.006","0.0025","0.002","0.014","1","0","N/A","N/A","0.006","0.0025","0.002","0.014","46000","10","21000"
"3 - More than 12 months ago","Overall","3 - Bisexual","0.042","0.0072","0.03","0.059","1","0","N/A","N/A","0.042","0.0072","0.03","0.059","346000","65","60000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","3 - Bisexual","0.946","0.008","0.928","0.96","1","0","N/A","N/A","0.946","0.008","0.928","0.96","7822000","2125","257000"
"97 - REFUSED","Overall","3 - Bisexual","0.002","0.0014","0.001","0.008","1","0","N/A","N/A","0.002","0.0014","0.001","0.008","17000","3","11000"
"98 - MISSING","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","3 - Bisexual","0.302","0.0171","0.269","0.337","0.302","0.0171","0.269","0.337","1","0","N/A","N/A","2498000","523","173000"
"1 - Within the past 30 days","1 - Male","3 - Bisexual","0","0.0001","0","0.001","0.024","0.0251","0.003","0.175","0","0.0004","0","0.003","1000","1","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","3 - Bisexual","0.003","0.0022","0.001","0.013","0.493","0.2302","0.133","0.861","0.009","0.007","0.002","0.042","23000","2","18000"
"3 - More than 12 months ago","1 - Male","3 - Bisexual","0.021","0.0061","0.012","0.038","0.506","0.093","0.327","0.684","0.07","0.0198","0.039","0.122","175000","18","52000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","3 - Bisexual","0.277","0.0166","0.245","0.311","0.293","0.0168","0.26","0.327","0.916","0.0197","0.867","0.948","2289000","500","163000"
"97 - REFUSED","1 - Male","3 - Bisexual","0.001","0.0011","0","0.007","0.579","0.322","0.088","0.951","0.004","0.0036","0.001","0.023","10000","2","9000"
"98 - MISSING","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","3 - Bisexual","0.698","0.0171","0.663","0.731","0.698","0.0171","0.663","0.731","1","0","N/A","N/A","5772000","1692","209000"
"1 - Within the past 30 days","2 - Female","3 - Bisexual","0.004","0.0017","0.002","0.01","0.976","0.0251","0.825","0.997","0.006","0.0025","0.003","0.014","37000","11","14000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","3 - Bisexual","0.003","0.0013","0.001","0.007","0.507","0.2302","0.139","0.867","0.004","0.0019","0.002","0.01","23000","8","11000"
"3 - More than 12 months ago","2 - Female","3 - Bisexual","0.021","0.0043","0.014","0.031","0.494","0.093","0.316","0.673","0.03","0.006","0.02","0.044","171000","47","35000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","3 - Bisexual","0.669","0.0157","0.637","0.7","0.707","0.0168","0.673","0.74","0.959","0.0071","0.942","0.971","5534000","1625","203000"
"97 - REFUSED","2 - Female","3 - Bisexual","0.001","0.0009","0","0.007","0.421","0.322","0.049","0.912","0.001","0.0013","0","0.009","7000","1","7000"
"98 - MISSING","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","85 - BAD DATA Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","53000","17","14000"
"1 - Within the past 30 days","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","85 - BAD DATA Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","53000","17","14000"
"97 - REFUSED","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","85 - BAD DATA Logically assigned","0.826","0.1103","0.504","0.957","0.826","0.1103","0.504","0.957","1","0","N/A","N/A","44000","14","11000"
"1 - Within the past 30 days","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","85 - BAD DATA Logically assigned","0.826","0.1103","0.504","0.957","0.826","0.1103","0.504","0.957","1","0","N/A","N/A","44000","14","11000"
"97 - REFUSED","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","85 - BAD DATA Logically assigned","0.174","0.1103","0.043","0.496","0.174","0.1103","0.043","0.496","1","0","N/A","N/A","9000","3","7000"
"1 - Within the past 30 days","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","85 - BAD DATA Logically assigned","0.174","0.1103","0.043","0.496","0.174","0.1103","0.043","0.496","1","0","N/A","N/A","9000","3","7000"
"97 - REFUSED","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","94 - DON T KNOW","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","1736000","296","156000"
"1 - Within the past 30 days","Overall","94 - DON T KNOW","0.008","0.0082","0.001","0.059","1","0","N/A","N/A","0.008","0.0082","0.001","0.059","14000","1","14000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","94 - DON T KNOW","0.007","0.0046","0.002","0.026","1","0","N/A","N/A","0.007","0.0046","0.002","0.026","12000","3","8000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","94 - DON T KNOW","0.97","0.0125","0.932","0.987","1","0","N/A","N/A","0.97","0.0125","0.932","0.987","1685000","287","149000"
"97 - REFUSED","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
