"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - NonHisp White","0","0","0","0","1","0","N/A","N/A","0","0","0","0","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","1 - NonHisp White","0.001","0.0001","0.001","0.001","0.733","0.0648","0.585","0.842","0.001","0.0002","0.001","0.002","234000","61","39000"
"3 - More than 12 months ago","1 - NonHisp White","0.01","0.0007","0.009","0.012","0.778","0.0261","0.721","0.826","0.016","0.001","0.014","0.018","2737000","463","183000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - NonHisp White","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0.001","18000","2","16000"
"9 - At some point in the lifetime LOG ASSN","1 - NonHisp White","0","0.0001","0","0","0.822","0.1452","0.386","0.971","0","0.0001","0","0.001","41000","5","22000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - NonHisp White","0.62","0.0045","0.611","0.629","0.631","0.0045","0.622","0.64","0.979","0.0012","0.977","0.981","167149000","33026","2074000"
"97 - REFUSED","1 - NonHisp White","0","0.0001","0","0.001","0.651","0.1248","0.382","0.849","0","0.0002","0","0.001","60000","12","28000"
"98 - MISSING","1 - NonHisp White","0","0.0001","0","0","0.473","0.105","0.278","0.677","0","0.0001","0","0.001","57000","18","18000"
"Overall","2 - NonHisp Black/Afr Am","0.12","0.0029","0.114","0.126","0.12","0.0029","0.114","0.126","1","0","N/A","N/A","32243000","7318","762000"
"1 - Within the past 30 days","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.069","0.0342","0.025","0.178","0.001","0.0006","0","0.003","36000","6","19000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - NonHisp Black/Afr Am","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - NonHisp Black/Afr Am","0","0","0","0","0.026","0.0143","0.009","0.076","0","0.0001","0","0.001","8000","5","5000"
"3 - More than 12 months ago","2 - NonHisp Black/Afr Am","0.001","0.0002","0.001","0.001","0.078","0.0122","0.056","0.106","0.008","0.0013","0.006","0.012","273000","32","41000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - NonHisp Black/Afr Am","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - NonHisp Black/Afr Am","0","0","0","0","0.033","0.0354","0.004","0.24","0","0.0001","0","0","2000","1","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - NonHisp Black/Afr Am","0.118","0.0029","0.113","0.124","0.12","0.003","0.115","0.127","0.989","0.0018","0.985","0.992","31876000","7259","772000"
"97 - REFUSED","2 - NonHisp Black/Afr Am","0","0","0","0","0.107","0.0593","0.033","0.294","0","0.0002","0","0.001","10000","4","5000"
"98 - MISSING","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.309","0.113","0.134","0.564","0.001","0.0005","0.001","0.003","37000","11","15000"
"Overall","3 - NonHisp Native Am/AK Native","0.006","0.0006","0.005","0.007","0.006","0.0006","0.005","0.007","1","0","N/A","N/A","1534000","856","151000"
"1 - Within the past 30 days","3 - NonHisp Native Am/AK Native","0","0","0","0","0.001","0.0006","0","0.004","0","0.0002","0","0.001","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - NonHisp Native Am/AK Native","0","0","0","0","0.024","0.0154","0.006","0.084","0.005","0.0033","0.001","0.019","8000","6","5000"
"3 - More than 12 months ago","3 - NonHisp Native Am/AK Native","0","0","0","0","0.007","0.0022","0.004","0.013","0.016","0.005","0.008","0.03","24000","17","8000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - NonHisp Native Am/AK Native","0.006","0.0006","0.005","0.007","0.006","0.0006","0.005","0.007","0.979","0.0065","0.961","0.988","1502000","830","151000"
"97 - REFUSED","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - NonHisp Native Am/AK Native","0","0","0","0","0.004","0.0032","0.001","0.019","0","0.0002","0","0.001","1000","2","0"
"Overall","4 - NonHisp Native HI/Other Pac Isl","0.004","0.0005","0.004","0.006","0.004","0.0005","0.004","0.006","1","0","N/A","N/A","1211000","290","140000"
"1 - Within the past 30 days","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.003","0.0025","0","0.019","0.001","0.0011","0","0.008","1000","1","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0","0.0002","0","0.002","0.001","0.0007","0","0.005","1000","1","1000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - NonHisp Native HI/Other Pac Isl","0.004","0.0005","0.004","0.006","0.005","0.0005","0.004","0.006","0.997","0.0009","0.995","0.999","1208000","286","140000"
"97 - REFUSED","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.01","0.008","0.002","0.049","0.001","0.0008","0","0.005","1000","2","1000"
"Overall","5 - NonHisp Asian","0.054","0.0021","0.05","0.058","0.054","0.0021","0.05","0.058","1","0","N/A","N/A","14505000","2437","580000"
"1 - Within the past 30 days","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - NonHisp Asian","0","0","0","0","0.013","0.0123","0.002","0.086","0","0.0003","0","0.002","4000","1","4000"
"3 - More than 12 months ago","5 - NonHisp Asian","0","0","0","0","0.002","0.0017","0","0.011","0.001","0.0004","0","0.003","8000","2","6000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - NonHisp Asian","0.054","0.0021","0.05","0.058","0.055","0.0021","0.051","0.059","0.998","0.0008","0.995","0.999","14482000","2432","579000"
"97 - REFUSED","5 - NonHisp Asian","0","0","0","0","0.005","0.0054","0.001","0.041","0","0","0","0","0","1","0"
"98 - MISSING","5 - NonHisp Asian","0","0","0","0","0.081","0.0769","0.011","0.413","0.001","0.0007","0","0.005","10000","1","10000"
"Overall","6 - NonHisp more than one race","0.018","0.0007","0.017","0.02","0.018","0.0007","0.017","0.02","1","0","N/A","N/A","4872000","2130","194000"
"1 - Within the past 30 days","6 - NonHisp more than one race","0","0","0","0","0.018","0.0093","0.006","0.05","0.002","0.001","0.001","0.006","9000","6","5000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - NonHisp more than one race","0","0","0","0","0.012","0.0064","0.004","0.035","0.001","0.0004","0","0.002","4000","4","2000"
"3 - More than 12 months ago","6 - NonHisp more than one race","0.001","0.0001","0","0.001","0.039","0.0108","0.022","0.067","0.028","0.0081","0.015","0.05","136000","27","39000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - NonHisp more than one race","0.018","0.0007","0.016","0.019","0.018","0.0007","0.016","0.019","0.969","0.0082","0.948","0.982","4722000","2091","198000"
"97 - REFUSED","6 - NonHisp more than one race","0","0","0","0","0.012","0.0125","0.001","0.091","0","0.0002","0","0.002","1000","1","1000"
"98 - MISSING","6 - NonHisp more than one race","0","0","0","0","0.001","0.001","0","0.008","0","0","0","0","0","1","0"
"Overall","7 - Hispanic","0.165","0.003","0.159","0.171","0.165","0.003","0.159","0.171","1","0","N/A","N/A","44341000","10187","823000"
"1 - Within the past 30 days","7 - Hispanic","0","0.0001","0","0","0.102","0.0309","0.054","0.182","0.001","0.0004","0.001","0.002","54000","17","18000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Hispanic","0","0.0001","0","0","0.193","0.062","0.097","0.347","0.001","0.0004","0.001","0.003","62000","15","19000"
"3 - More than 12 months ago","7 - Hispanic","0.001","0.0003","0.001","0.002","0.097","0.0207","0.062","0.147","0.008","0.0017","0.005","0.012","341000","45","78000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Hispanic","0","0","0","0","0.145","0.1396","0.017","0.619","0","0.0002","0","0.001","7000","1","7000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Hispanic","0.163","0.0029","0.157","0.169","0.166","0.003","0.16","0.172","0.989","0.0018","0.984","0.992","43843000","10095","799000"
"97 - REFUSED","7 - Hispanic","0","0","0","0","0.225","0.0961","0.088","0.468","0","0.0002","0","0.001","21000","11","8000"
"98 - MISSING","7 - Hispanic","0","0","0","0","0.122","0.0853","0.027","0.408","0","0.0002","0","0.001","15000","3","10000"
