"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - Male","Overall","0.474","0.0043","0.465","0.483","0.486","0.0043","0.477","0.495","0.967","0.0023","0.962","0.971","133664000","26411","2603000"
"97 - REFUSED","1 - Male","Overall","0","0","0","0","0.202","0.082","0.083","0.413","0","0.0001","0","0","38000","14","9000"
"98 - MISSING","1 - Male","Overall","0.002","0.0003","0.001","0.003","0.565","0.0548","0.454","0.67","0.004","0.0007","0.003","0.006","587000","112","99000"
"Overall","2 - Female","Overall","0.51","0.0041","0.501","0.518","0.51","0.0041","0.501","0.518","1","0","N/A","N/A","143767000","32022","2997000"
"1 - Within the past 30 days","2 - Female","Overall","0.001","0.0002","0","0.001","0.405","0.0862","0.249","0.583","0.001","0.0004","0.001","0.002","175000","52","59000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","Overall","0.001","0.0002","0","0.001","0.24","0.0817","0.114","0.437","0.001","0.0003","0","0.002","141000","35","48000"
"3 - More than 12 months ago","2 - Female","Overall","0.006","0.0005","0.005","0.007","0.328","0.0286","0.274","0.388","0.011","0.0011","0.009","0.013","1568000","351","153000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","Overall","0","0","0","0","0.293","0.1762","0.07","0.696","0","0.0001","0","0","16000","5","9000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - Female","Overall","0.501","0.0042","0.492","0.509","0.514","0.0043","0.505","0.523","0.983","0.0013","0.98","0.985","141266000","31428","2964000"
"97 - REFUSED","2 - Female","Overall","0.001","0.0002","0","0.001","0.798","0.082","0.587","0.917","0.001","0.0004","0","0.002","149000","15","61000"
"98 - MISSING","2 - Female","Overall","0.002","0.0003","0.001","0.002","0.435","0.0548","0.33","0.546","0.003","0.0005","0.002","0.004","452000","136","73000"
"Overall","Overall","1 - Heterosexual, that is, straight","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","225836000","39351","4325000"
"1 - Within the past 30 days","Overall","1 - Heterosexual, that is, straight","0.001","0.0004","0.001","0.002","1","0","N/A","N/A","0.001","0.0004","0.001","0.002","290000","66","85000"
"2 - More than 30 days ago but within the past 12 mos","Overall","1 - Heterosexual, that is, straight","0.002","0.0005","0.001","0.003","1","0","N/A","N/A","0.002","0.0005","0.001","0.003","411000","58","108000"
"3 - More than 12 months ago","Overall","1 - Heterosexual, that is, straight","0.018","0.0012","0.016","0.02","1","0","N/A","N/A","0.018","0.0012","0.016","0.02","4027000","580","289000"
"9 - At some point in the lifetime LOG ASSN","Overall","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","43000","7","21000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","1 - Heterosexual, that is, straight","0.978","0.0014","0.975","0.981","1","0","N/A","N/A","0.978","0.0014","0.975","0.981","220967000","38627","4193000"
"97 - REFUSED","Overall","1 - Heterosexual, that is, straight","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","99000","12","50000"
"98 - MISSING","Overall","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"Overall","1 - Male","1 - Heterosexual, that is, straight","0.498","0.0048","0.489","0.508","0.498","0.0048","0.489","0.508","1","0","N/A","N/A","112562000","18467","2313000"
"1 - Within the past 30 days","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0002","0","0.001","0.645","0.1213","0.385","0.84","0.002","0.0004","0.001","0.003","187000","39","50000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","1 - Heterosexual, that is, straight","0.002","0.0005","0.001","0.003","0.827","0.0691","0.645","0.927","0.003","0.0009","0.002","0.006","340000","37","104000"
"3 - More than 12 months ago","1 - Male","1 - Heterosexual, that is, straight","0.013","0.0011","0.011","0.015","0.706","0.0299","0.643","0.763","0.025","0.0022","0.021","0.03","2844000","345","260000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.884","0.1189","0.426","0.987","0","0.0002","0","0.001","38000","5","22000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - Male","1 - Heterosexual, that is, straight","0.483","0.0051","0.473","0.493","0.494","0.005","0.484","0.504","0.97","0.0025","0.964","0.974","109134000","18034","2231000"
"97 - REFUSED","1 - Male","1 - Heterosexual, that is, straight","0","0","0","0","0.197","0.1076","0.059","0.49","0","0","0","0","19000","6","6000"
"98 - MISSING","1 - Male","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"Overall","2 - Female","1 - Heterosexual, that is, straight","0.502","0.0048","0.492","0.511","0.502","0.0048","0.492","0.511","1","0","N/A","N/A","113274000","20884","2528000"
"1 - Within the past 30 days","2 - Female","1 - Heterosexual, that is, straight","0","0.0002","0","0.001","0.355","0.1213","0.16","0.615","0.001","0.0005","0","0.003","103000","27","56000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.173","0.0691","0.073","0.355","0.001","0.0002","0","0.001","71000","21","27000"
"3 - More than 12 months ago","2 - Female","1 - Heterosexual, that is, straight","0.005","0.0006","0.004","0.007","0.294","0.0299","0.237","0.357","0.01","0.0012","0.008","0.013","1183000","235","131000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","1 - Heterosexual, that is, straight","0","0","0","0","0.116","0.1189","0.013","0.574","0","0","0","0","5000","2","4000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - Female","1 - Heterosexual, that is, straight","0.495","0.0048","0.485","0.505","0.506","0.005","0.496","0.516","0.987","0.0013","0.984","0.99","111833000","20593","2508000"
"97 - REFUSED","2 - Female","1 - Heterosexual, that is, straight","0","0.0002","0","0.001","0.803","0.1076","0.51","0.941","0.001","0.0004","0","0.002","80000","6","50000"
"98 - MISSING","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","2 - Lesbian or Gay","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","7233000","1406","373000"
"1 - Within the past 30 days","Overall","2 - Lesbian or Gay","0.006","0.0025","0.003","0.014","1","0","N/A","N/A","0.006","0.0025","0.003","0.014","44000","9","19000"
"2 - More than 30 days ago but within the past 12 mos","Overall","2 - Lesbian or Gay","0.011","0.0078","0.003","0.045","1","0","N/A","N/A","0.011","0.0078","0.003","0.045","78000","3","58000"
"3 - More than 12 months ago","Overall","2 - Lesbian or Gay","0.033","0.0083","0.02","0.055","1","0","N/A","N/A","0.033","0.0083","0.02","0.055","241000","39","62000"
"9 - At some point in the lifetime LOG ASSN","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","2 - Lesbian or Gay","0.949","0.0106","0.923","0.967","1","0","N/A","N/A","0.949","0.0106","0.923","0.967","6867000","1354","344000"
"97 - REFUSED","Overall","2 - Lesbian or Gay","0","0.0003","0","0.002","1","0","N/A","N/A","0","0.0003","0","0.002","2000","1","2000"
"98 - MISSING","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","2 - Lesbian or Gay","0.593","0.0233","0.546","0.639","0.593","0.0233","0.546","0.639","1","0","N/A","N/A","4291000","639","298000"
"1 - Within the past 30 days","1 - Male","2 - Lesbian or Gay","0.004","0.002","0.001","0.011","0.658","0.1714","0.294","0.899","0.007","0.0034","0.002","0.018","29000","6","15000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","2 - Lesbian or Gay","0.008","0.0075","0.001","0.049","0.77","0.2397","0.181","0.981","0.014","0.0125","0.002","0.08","60000","2","55000"
"3 - More than 12 months ago","1 - Male","2 - Lesbian or Gay","0.023","0.0068","0.012","0.041","0.679","0.1102","0.434","0.854","0.038","0.0116","0.021","0.07","164000","20","50000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - Male","2 - Lesbian or Gay","0.558","0.0222","0.513","0.602","0.588","0.0234","0.54","0.634","0.94","0.0147","0.903","0.964","4035000","610","273000"
"97 - REFUSED","1 - Male","2 - Lesbian or Gay","0","0.0003","0","0.002","1","0","N/A","N/A","0.001","0.0005","0","0.004","2000","1","2000"
"98 - MISSING","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","2 - Lesbian or Gay","0.407","0.0233","0.361","0.454","0.407","0.0233","0.361","0.454","1","0","N/A","N/A","2943000","767","208000"
"1 - Within the past 30 days","2 - Female","2 - Lesbian or Gay","0.002","0.0013","0.001","0.008","0.342","0.1714","0.101","0.706","0.005","0.0033","0.001","0.018","15000","3","10000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","2 - Lesbian or Gay","0.002","0.0025","0","0.018","0.23","0.2397","0.019","0.819","0.006","0.0061","0.001","0.044","18000","1","18000"
"3 - More than 12 months ago","2 - Female","2 - Lesbian or Gay","0.011","0.0045","0.005","0.025","0.321","0.1102","0.146","0.566","0.026","0.0109","0.011","0.06","77000","19","33000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - Female","2 - Lesbian or Gay","0.392","0.0233","0.346","0.439","0.412","0.0234","0.366","0.46","0.962","0.0126","0.927","0.981","2832000","744","201000"
"97 - REFUSED","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","3 - Bisexual","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","15017000","4432","627000"
"1 - Within the past 30 days","Overall","3 - Bisexual","0.004","0.0013","0.002","0.008","1","0","N/A","N/A","0.004","0.0013","0.002","0.008","65000","22","19000"
"2 - More than 30 days ago but within the past 12 mos","Overall","3 - Bisexual","0.005","0.0018","0.002","0.01","1","0","N/A","N/A","0.005","0.0018","0.002","0.01","71000","16","27000"
"3 - More than 12 months ago","Overall","3 - Bisexual","0.026","0.0042","0.019","0.036","1","0","N/A","N/A","0.026","0.0042","0.019","0.036","387000","102","64000"
"9 - At some point in the lifetime LOG ASSN","Overall","3 - Bisexual","0","0","0","0","1","0","N/A","N/A","0","0","0","0","1000","1","1000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","3 - Bisexual","0.965","0.0049","0.954","0.974","1","0","N/A","N/A","0.965","0.0049","0.954","0.974","14491000","4290","613000"
"97 - REFUSED","Overall","3 - Bisexual","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","1000","1","1000"
"98 - MISSING","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","3 - Bisexual","0.29","0.0155","0.26","0.322","0.29","0.0155","0.26","0.322","1","0","N/A","N/A","4353000","969","333000"
"1 - Within the past 30 days","1 - Male","3 - Bisexual","0.001","0.0005","0","0.002","0.203","0.0924","0.074","0.445","0.003","0.0016","0.001","0.009","13000","4","7000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","3 - Bisexual","0.001","0.0007","0","0.004","0.266","0.1445","0.076","0.616","0.004","0.0023","0.002","0.013","19000","4","10000"
"3 - More than 12 months ago","1 - Male","3 - Bisexual","0.008","0.0021","0.005","0.013","0.304","0.0685","0.185","0.455","0.027","0.0074","0.016","0.047","118000","22","31000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - Male","3 - Bisexual","0.28","0.0158","0.249","0.313","0.29","0.0162","0.259","0.324","0.966","0.0078","0.946","0.978","4203000","939","331000"
"97 - REFUSED","1 - Male","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","3 - Bisexual","0.71","0.0155","0.678","0.74","0.71","0.0155","0.678","0.74","1","0","N/A","N/A","10664000","3463","441000"
"1 - Within the past 30 days","2 - Female","3 - Bisexual","0.003","0.0011","0.002","0.007","0.797","0.0924","0.555","0.926","0.005","0.0016","0.003","0.009","52000","18","17000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","3 - Bisexual","0.003","0.0017","0.001","0.009","0.734","0.1445","0.384","0.924","0.005","0.0024","0.002","0.013","52000","12","26000"
"3 - More than 12 months ago","2 - Female","3 - Bisexual","0.018","0.0035","0.012","0.027","0.696","0.0685","0.545","0.815","0.025","0.0049","0.017","0.037","270000","80","54000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","3 - Bisexual","0","0","0","0","1","0","N/A","N/A","0","0.0001","0","0","1000","1","1000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - Female","3 - Bisexual","0.685","0.0156","0.653","0.716","0.71","0.0162","0.676","0.741","0.965","0.0062","0.95","0.975","10288000","3351","433000"
"97 - REFUSED","2 - Female","3 - Bisexual","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","1000","1","1000"
"98 - MISSING","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","85 - BAD DATA Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","80000","30","26000"
"1 - Within the past 30 days","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","85 - BAD DATA Logically assigned","0.988","0.0128","0.906","0.998","1","0","N/A","N/A","0.988","0.0128","0.906","0.998","79000","29","26000"
"97 - REFUSED","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","85 - BAD DATA Logically assigned","0.012","0.0128","0.002","0.094","1","0","N/A","N/A","0.012","0.0128","0.002","0.094","1000","1","1000"
"Overall","1 - Male","85 - BAD DATA Logically assigned","0.814","0.1094","0.506","0.949","0.814","0.1094","0.506","0.949","1","0","N/A","N/A","65000","22","25000"
"1 - Within the past 30 days","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - Male","85 - BAD DATA Logically assigned","0.801","0.1113","0.498","0.943","0.811","0.111","0.501","0.949","0.985","0.0161","0.882","0.998","64000","21","25000"
"97 - REFUSED","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","85 - BAD DATA Logically assigned","0.012","0.0128","0.002","0.094","1","0","N/A","N/A","0.015","0.0161","0.002","0.118","1000","1","1000"
"Overall","2 - Female","85 - BAD DATA Logically assigned","0.186","0.1094","0.051","0.494","0.186","0.1094","0.051","0.494","1","0","N/A","N/A","15000","8","8000"
"1 - Within the past 30 days","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - Female","85 - BAD DATA Logically assigned","0.186","0.1094","0.051","0.494","0.189","0.111","0.051","0.499","1","0","N/A","N/A","15000","8","8000"
"97 - REFUSED","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","94 - DON T KNOW","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","1347000","250","141000"
"1 - Within the past 30 days","Overall","94 - DON T KNOW","0","0.0003","0","0.002","1","0","N/A","N/A","0","0.0003","0","0.002","0","1","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","94 - DON T KNOW","0","0.0003","0","0.003","1","0","N/A","N/A","0","0.0003","0","0.003","0","1","0"
"9 - At some point in the lifetime LOG ASSN","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","94 - DON T KNOW","0.994","0.004","0.977","0.999","1","0","N/A","N/A","0.994","0.004","0.977","0.999","1339000","246","141000"
"97 - REFUSED","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","94 - DON T KNOW","0.005","0.0042","0.001","0.026","1","0","N/A","N/A","0.005","0.0042","0.001","0.026","7000","2","6000"
"Overall","1 - Male","94 - DON T KNOW","0.359","0.0711","0.232","0.51","0.359","0.0711","0.232","0.51","1","0","N/A","N/A","484000","77","102000"
"1 - Within the past 30 days","1 - Male","94 - DON T KNOW","0","0.0003","0","0.002","1","0","N/A","N/A","0.001","0.0007","0","0.005","0","1","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - Male","94 - DON T KNOW","0.359","0.071","0.231","0.51","0.361","0.0715","0.233","0.513","0.999","0.0007","0.995","1","484000","76","102000"
"97 - REFUSED","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","94 - DON T KNOW","0.641","0.0711","0.49","0.768","0.641","0.0711","0.49","0.768","1","0","N/A","N/A","863000","173","140000"
"1 - Within the past 30 days","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","94 - DON T KNOW","0","0.0003","0","0.003","1","0","N/A","N/A","0.001","0.0006","0","0.005","0","1","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - Female","94 - DON T KNOW","0.635","0.0712","0.485","0.764","0.639","0.0715","0.487","0.767","0.991","0.0067","0.96","0.998","856000","170","140000"
"97 - REFUSED","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","94 - DON T KNOW","0.005","0.0042","0.001","0.026","1","0","N/A","N/A","0.008","0.0066","0.002","0.041","7000","2","6000"
"Overall","Overall","97 - REFUSED","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","1884000","412","176000"
"1 - Within the past 30 days","Overall","97 - REFUSED","0.003","0.0033","0","0.025","1","0","N/A","N/A","0.003","0.0033","0","0.025","6000","1","6000"
"2 - More than 30 days ago but within the past 12 mos","Overall","97 - REFUSED","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"3 - More than 12 months ago","Overall","97 - REFUSED","0","0.0005","0","0.004","1","0","N/A","N/A","0","0.0005","0","0.004","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","Overall","97 - REFUSED","0.002","0.0022","0","0.016","1","0","N/A","N/A","0.002","0.0022","0","0.016","4000","1","4000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","97 - REFUSED","0.968","0.0129","0.929","0.986","1","0","N/A","N/A","0.968","0.0129","0.929","0.986","1825000","400","175000"
"97 - REFUSED","Overall","97 - REFUSED","0.026","0.0112","0.011","0.061","1","0","N/A","N/A","0.026","0.0112","0.011","0.061","49000","8","22000"
"98 - MISSING","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","97 - REFUSED","0.431","0.0371","0.358","0.506","0.431","0.0371","0.358","0.506","1","0","N/A","N/A","812000","146","108000"
"1 - Within the past 30 days","1 - Male","97 - REFUSED","0.003","0.0033","0","0.025","1","0","N/A","N/A","0.008","0.0076","0.001","0.055","6000","1","6000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - Male","97 - REFUSED","0.421","0.0368","0.349","0.496","0.435","0.039","0.359","0.514","0.978","0.0116","0.938","0.992","793000","141","109000"
"97 - REFUSED","1 - Male","97 - REFUSED","0.006","0.0036","0.002","0.02","0.248","0.2114","0.033","0.763","0.015","0.0085","0.005","0.046","12000","4","7000"
"98 - MISSING","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","97 - REFUSED","0.569","0.0371","0.494","0.642","0.569","0.0371","0.494","0.642","1","0","N/A","N/A","1073000","266","117000"
"1 - Within the past 30 days","2 - Female","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","97 - REFUSED","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"3 - More than 12 months ago","2 - Female","97 - REFUSED","0","0.0005","0","0.004","1","0","N/A","N/A","0.001","0.0009","0","0.007","1000","1","1000"
