"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - More than 12 months ago","2 - Respondent is 14 or 15 years old","0","0","0","0","0","0.0001","0","0.001","0","0.0001","0","0","1000","3","1000"
"9 - At some point in the lifetime LOG ASSN","2 - Respondent is 14 or 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - Respondent is 14 or 15 years old","0.032","0.0008","0.03","0.034","0.033","0.0008","0.031","0.035","0.998","0.0016","0.99","1","9049000","4277","309000"
"97 - REFUSED","2 - Respondent is 14 or 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Respondent is 14 or 15 years old","0","0.0001","0","0","0.015","0.0139","0.002","0.092","0.002","0.0016","0","0.011","16000","3","14000"
"Overall","3 - Respondent is 16 or 17 years old","0.029","0.0009","0.027","0.031","0.029","0.0009","0.027","0.031","1","0","N/A","N/A","8184000","3759","316000"
"1 - Within the past 30 days","3 - Respondent is 16 or 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Respondent is 16 or 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Respondent is 16 or 17 years old","0","0","0","0","0.001","0.0005","0","0.003","0","0.0003","0","0.002","4000","4","3000"
"9 - At some point in the lifetime LOG ASSN","3 - Respondent is 16 or 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","3 - Respondent is 16 or 17 years old","0.029","0.0009","0.027","0.031","0.03","0.0009","0.028","0.032","0.998","0.0007","0.996","0.999","8171000","3748","315000"
"97 - REFUSED","3 - Respondent is 16 or 17 years old","0","0","0","0","0.034","0.0344","0.004","0.225","0.001","0.0008","0","0.006","6000","1","6000"
"98 - MISSING","3 - Respondent is 16 or 17 years old","0","0","0","0","0.003","0.0013","0.001","0.007","0","0.0002","0","0.001","3000","6","1000"
"Overall","4 - Respondent is between 18 and 20 years old","0.045","0.0012","0.043","0.048","0.045","0.0012","0.043","0.048","1","0","N/A","N/A","12729000","4978","393000"
"1 - Within the past 30 days","4 - Respondent is between 18 and 20 years old","0","0","0","0","0.011","0.0069","0.003","0.038","0","0.0002","0","0.001","5000","6","3000"
"2 - More than 30 days ago but within the past 12 mos","4 - Respondent is between 18 and 20 years old","0","0","0","0","0.013","0.0122","0.002","0.084","0.001","0.0006","0","0.004","7000","2","7000"
"3 - More than 12 months ago","4 - Respondent is between 18 and 20 years old","0","0","0","0","0.002","0.0008","0.001","0.005","0.001","0.0003","0","0.002","10000","7","4000"
"9 - At some point in the lifetime LOG ASSN","4 - Respondent is between 18 and 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","4 - Respondent is between 18 and 20 years old","0.045","0.0011","0.043","0.047","0.046","0.0012","0.044","0.049","0.997","0.0008","0.995","0.998","12689000","4946","389000"
"97 - REFUSED","4 - Respondent is between 18 and 20 years old","0","0","0","0","0.013","0.0102","0.003","0.061","0","0.0001","0","0.001","2000","2","2000"
"98 - MISSING","4 - Respondent is between 18 and 20 years old","0","0","0","0","0.015","0.0059","0.007","0.033","0.001","0.0005","0.001","0.003","15000","15","6000"
"Overall","5 - Respondent is between 21 and 23 years old","0.048","0.0014","0.045","0.051","0.048","0.0014","0.045","0.051","1","0","N/A","N/A","13587000","5565","467000"
"1 - Within the past 30 days","5 - Respondent is between 21 and 23 years old","0","0","0","0","0.01","0.0094","0.001","0.066","0","0.0003","0","0.002","4000","2","4000"
"2 - More than 30 days ago but within the past 12 mos","5 - Respondent is between 21 and 23 years old","0","0","0","0","0.021","0.0138","0.005","0.077","0.001","0.0006","0","0.003","12000","6","8000"
"3 - More than 12 months ago","5 - Respondent is between 21 and 23 years old","0","0.0001","0","0","0.011","0.0036","0.005","0.021","0.004","0.0012","0.002","0.007","51000","23","17000"
"9 - At some point in the lifetime LOG ASSN","5 - Respondent is between 21 and 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","5 - Respondent is between 21 and 23 years old","0.048","0.0013","0.045","0.05","0.049","0.0014","0.046","0.052","0.989","0.0028","0.982","0.994","13440000","5498","447000"
"97 - REFUSED","5 - Respondent is between 21 and 23 years old","0","0.0001","0","0.001","0.207","0.1572","0.037","0.641","0.003","0.0025","0","0.017","39000","3","35000"
"98 - MISSING","5 - Respondent is between 21 and 23 years old","0","0","0","0","0.039","0.0101","0.023","0.066","0.003","0.0008","0.002","0.005","41000","33","11000"
"Overall","6 - Respondent is 24 or 25 years old","0.03","0.0009","0.028","0.032","0.03","0.0009","0.028","0.032","1","0","N/A","N/A","8471000","3764","266000"
"1 - Within the past 30 days","6 - Respondent is 24 or 25 years old","0","0","0","0","0.015","0.0109","0.004","0.062","0.001","0.0005","0","0.003","7000","4","4000"
"2 - More than 30 days ago but within the past 12 mos","6 - Respondent is 24 or 25 years old","0","0","0","0","0.01","0.008","0.002","0.047","0.001","0.0005","0","0.003","6000","2","4000"
"3 - More than 12 months ago","6 - Respondent is 24 or 25 years old","0","0.0001","0","0","0.013","0.0039","0.007","0.024","0.008","0.0022","0.004","0.014","64000","39","19000"
"9 - At some point in the lifetime LOG ASSN","6 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","6 - Respondent is 24 or 25 years old","0.03","0.0009","0.028","0.032","0.03","0.0009","0.029","0.032","0.986","0.0026","0.98","0.991","8356000","3700","262000"
"97 - REFUSED","6 - Respondent is 24 or 25 years old","0","0","0","0","0.026","0.0292","0.002","0.217","0.001","0.0006","0","0.004","5000","1","5000"
"98 - MISSING","6 - Respondent is 24 or 25 years old","0","0","0","0","0.033","0.0117","0.016","0.066","0.004","0.0012","0.002","0.007","34000","18","11000"
"Overall","7 - Respondent is between 26 and 29 years old","0.06","0.0018","0.057","0.064","0.06","0.0018","0.057","0.064","1","0","N/A","N/A","16949000","4003","645000"
"1 - Within the past 30 days","7 - Respondent is between 26 and 29 years old","0","0","0","0","0.044","0.0279","0.012","0.149","0.001","0.0007","0","0.004","19000","10","13000"
"2 - More than 30 days ago but within the past 12 mos","7 - Respondent is between 26 and 29 years old","0","0.0001","0","0","0.06","0.0294","0.022","0.154","0.002","0.0009","0.001","0.005","36000","10","16000"
"3 - More than 12 months ago","7 - Respondent is between 26 and 29 years old","0.001","0.0001","0","0.001","0.033","0.0073","0.021","0.051","0.009","0.0022","0.006","0.015","159000","54","36000"
"9 - At some point in the lifetime LOG ASSN","7 - Respondent is between 26 and 29 years old","0","0","0","0","0.006","0.0062","0.001","0.048","0","0","0","0","0","1","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","7 - Respondent is between 26 and 29 years old","0.059","0.0018","0.056","0.063","0.061","0.0019","0.057","0.065","0.986","0.002","0.981","0.989","16707000","3916","640000"
"97 - REFUSED","7 - Respondent is between 26 and 29 years old","0","0","0","0","0.046","0.0451","0.006","0.273","0.001","0.0005","0","0.003","9000","3","8000"
"98 - MISSING","7 - Respondent is between 26 and 29 years old","0","0","0","0","0.019","0.0093","0.007","0.05","0.001","0.0005","0","0.003","20000","9","9000"
"Overall","8 - Respondent is between 30 and 34 years old","0.082","0.0025","0.078","0.088","0.082","0.0025","0.078","0.088","1","0","N/A","N/A","23261000","5642","903000"
"1 - Within the past 30 days","8 - Respondent is between 30 and 34 years old","0","0","0","0","0.102","0.0371","0.048","0.204","0.002","0.0006","0.001","0.004","44000","19","14000"
"2 - More than 30 days ago but within the past 12 mos","8 - Respondent is between 30 and 34 years old","0","0.0001","0","0","0.068","0.0406","0.02","0.209","0.002","0.001","0.001","0.005","40000","10","22000"
"3 - More than 12 months ago","8 - Respondent is between 30 and 34 years old","0.002","0.0003","0.002","0.003","0.125","0.0206","0.089","0.172","0.026","0.0038","0.019","0.034","596000","142","96000"
"9 - At some point in the lifetime LOG ASSN","8 - Respondent is between 30 and 34 years old","0","0.0001","0","0","0.368","0.2309","0.073","0.811","0.001","0.0008","0","0.006","20000","3","18000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","8 - Respondent is between 30 and 34 years old","0.079","0.0024","0.075","0.084","0.082","0.0025","0.077","0.087","0.963","0.0049","0.952","0.972","22407000","5423","866000"
"97 - REFUSED","8 - Respondent is between 30 and 34 years old","0","0","0","0","0.077","0.0553","0.017","0.284","0.001","0.0004","0","0.003","14000","3","10000"
"98 - MISSING","8 - Respondent is between 30 and 34 years old","0","0.0002","0","0.001","0.134","0.0381","0.074","0.23","0.006","0.0019","0.003","0.011","139000","42","46000"
"Overall","9 - Respondent is between 35 and 49 years old","0.222","0.0031","0.216","0.228","0.222","0.0031","0.216","0.228","1","0","N/A","N/A","62580000","12588","1328000"
"1 - Within the past 30 days","9 - Respondent is between 35 and 49 years old","0.001","0.0002","0.001","0.001","0.634","0.0744","0.476","0.767","0.004","0.0009","0.003","0.006","274000","59","56000"
"2 - More than 30 days ago but within the past 12 mos","9 - Respondent is between 35 and 49 years old","0.001","0.0003","0.001","0.002","0.487","0.0905","0.314","0.663","0.005","0.0012","0.003","0.008","287000","43","76000"
"3 - More than 12 months ago","9 - Respondent is between 35 and 49 years old","0.006","0.0005","0.005","0.007","0.327","0.031","0.268","0.392","0.025","0.0023","0.021","0.03","1561000","284","146000"
"9 - At some point in the lifetime LOG ASSN","9 - Respondent is between 35 and 49 years old","0","0","0","0","0.436","0.2147","0.118","0.817","0","0.0002","0","0.001","23000","5","12000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","9 - Respondent is between 35 and 49 years old","0.213","0.003","0.207","0.219","0.219","0.0031","0.213","0.225","0.961","0.0035","0.954","0.968","60170000","12131","1261000"
"97 - REFUSED","9 - Respondent is between 35 and 49 years old","0","0.0001","0","0","0.202","0.1266","0.05","0.551","0.001","0.0004","0","0.002","38000","7","24000"
"98 - MISSING","9 - Respondent is between 35 and 49 years old","0.001","0.0001","0.001","0.001","0.219","0.0342","0.158","0.295","0.004","0.0006","0.003","0.005","227000","59","36000"
