"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - Within the past 30 days","Overall","1 - Heterosexual, that is, straight","0.001","0.0002","0.001","0.001","1","0","N/A","N/A","0.001","0.0002","0.001","0.001","228000","60","35000"
"2 - More than 30 days ago but within the past 12 mos","Overall","1 - Heterosexual, that is, straight","0.001","0.0003","0.001","0.002","1","0","N/A","N/A","0.001","0.0003","0.001","0.002","261000","61","59000"
"3 - More than 12 months ago","Overall","1 - Heterosexual, that is, straight","0.015","0.0009","0.013","0.017","1","0","N/A","N/A","0.015","0.0009","0.013","0.017","3481000","530","212000"
"8 - At some point in the past 12 months LOG ASSN","Overall","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","25000","1","25000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","1 - Heterosexual, that is, straight","0.982","0.001","0.98","0.984","1","0","N/A","N/A","0.982","0.001","0.98","0.984","226123000","37538","2407000"
"97 - REFUSED","Overall","1 - Heterosexual, that is, straight","0.001","0.0002","0","0.001","1","0","N/A","N/A","0.001","0.0002","0","0.001","127000","20","48000"
"98 - MISSING","Overall","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","6000","4","5000"
"Overall","1 - Male","1 - Heterosexual, that is, straight","0.492","0.0039","0.484","0.5","0.492","0.0039","0.484","0.5","1","0","N/A","N/A","113232000","18463","1462000"
"1 - Within the past 30 days","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0001","0.001","0.001","0.74","0.0628","0.597","0.846","0.001","0.0003","0.001","0.002","169000","43","31000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0003","0","0.002","0.702","0.095","0.486","0.854","0.002","0.0005","0.001","0.003","183000","39","57000"
"3 - More than 12 months ago","1 - Male","1 - Heterosexual, that is, straight","0.01","0.0008","0.009","0.012","0.69","0.0278","0.631","0.742","0.021","0.0016","0.018","0.025","2400000","332","191000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.002","25000","1","25000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","1 - Heterosexual, that is, straight","0.479","0.004","0.471","0.487","0.488","0.0041","0.48","0.496","0.975","0.0018","0.971","0.978","110373000","18035","1407000"
"97 - REFUSED","1 - Male","1 - Heterosexual, that is, straight","0","0.0002","0","0.001","0.596","0.1727","0.259","0.862","0.001","0.0004","0","0.002","76000","10","42000"
"98 - MISSING","1 - Male","1 - Heterosexual, that is, straight","0","0","0","0","0.921","0.095","0.457","0.994","0","0","0","0","6000","3","5000"
"Overall","2 - Female","1 - Heterosexual, that is, straight","0.508","0.0039","0.5","0.516","0.508","0.0039","0.5","0.516","1","0","N/A","N/A","117020000","19751","1609000"
"1 - Within the past 30 days","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0","0.26","0.0628","0.154","0.403","0.001","0.0001","0","0.001","59000","17","16000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.298","0.095","0.146","0.514","0.001","0.0002","0","0.001","78000","22","23000"
"3 - More than 12 months ago","2 - Female","1 - Heterosexual, that is, straight","0.005","0.0005","0.004","0.006","0.31","0.0278","0.258","0.369","0.009","0.0009","0.008","0.011","1081000","198","106000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","1 - Heterosexual, that is, straight","0.503","0.0041","0.495","0.511","0.512","0.0041","0.504","0.52","0.989","0.0009","0.987","0.991","115750000","19503","1623000"
"97 - REFUSED","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.404","0.1727","0.138","0.741","0","0.0002","0","0.001","51000","10","23000"
"98 - MISSING","2 - Female","1 - Heterosexual, that is, straight","0","0","0","0","0.079","0.095","0.006","0.543","0","0","0","0","0","1","0"
"Overall","Overall","2 - Lesbian or Gay","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","4885000","976","250000"
"1 - Within the past 30 days","Overall","2 - Lesbian or Gay","0.002","0.0014","0.001","0.008","1","0","N/A","N/A","0.002","0.0014","0.001","0.008","12000","4","7000"
"2 - More than 30 days ago but within the past 12 mos","Overall","2 - Lesbian or Gay","0.008","0.0041","0.003","0.022","1","0","N/A","N/A","0.008","0.0041","0.003","0.022","41000","5","20000"
"3 - More than 12 months ago","Overall","2 - Lesbian or Gay","0.026","0.0085","0.013","0.05","1","0","N/A","N/A","0.026","0.0085","0.013","0.05","126000","22","42000"
"8 - At some point in the past 12 months LOG ASSN","Overall","2 - Lesbian or Gay","0.001","0.0005","0","0.004","1","0","N/A","N/A","0.001","0.0005","0","0.004","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","Overall","2 - Lesbian or Gay","0.001","0.0009","0","0.007","1","0","N/A","N/A","0.001","0.0009","0","0.007","4000","1","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","2 - Lesbian or Gay","0.962","0.0098","0.936","0.977","1","0","N/A","N/A","0.962","0.0098","0.936","0.977","4698000","942","242000"
"97 - REFUSED","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","2 - Lesbian or Gay","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","1000","1","1000"
"Overall","1 - Male","2 - Lesbian or Gay","0.576","0.0239","0.528","0.624","0.576","0.0239","0.528","0.624","1","0","N/A","N/A","2816000","505","198000"
"1 - Within the past 30 days","1 - Male","2 - Lesbian or Gay","0.001","0.0007","0","0.004","0.329","0.2539","0.046","0.832","0.001","0.0011","0","0.007","4000","2","3000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","2 - Lesbian or Gay","0.007","0.0038","0.002","0.021","0.802","0.1828","0.286","0.976","0.012","0.0065","0.004","0.035","33000","4","19000"
"3 - More than 12 months ago","1 - Male","2 - Lesbian or Gay","0.015","0.0068","0.006","0.037","0.578","0.1605","0.267","0.837","0.026","0.0114","0.011","0.062","73000","11","34000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","2 - Lesbian or Gay","0.001","0.0005","0","0.004","1","0","N/A","N/A","0.001","0.0009","0","0.007","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","2 - Lesbian or Gay","0.001","0.0009","0","0.007","1","0","N/A","N/A","0.002","0.0016","0","0.012","4000","1","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","2 - Lesbian or Gay","0.553","0.0223","0.507","0.597","0.574","0.023","0.528","0.62","0.959","0.013","0.923","0.978","2699000","486","182000"
"97 - REFUSED","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","2 - Lesbian or Gay","0.424","0.0239","0.376","0.472","0.424","0.0239","0.376","0.472","1","0","N/A","N/A","2069000","471","147000"
"1 - Within the past 30 days","2 - Female","2 - Lesbian or Gay","0.002","0.0013","0","0.008","0.671","0.2539","0.168","0.954","0.004","0.003","0.001","0.018","8000","2","6000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","2 - Lesbian or Gay","0.002","0.0017","0","0.012","0.198","0.1828","0.024","0.714","0.004","0.0039","0.001","0.028","8000","1","8000"
"3 - More than 12 months ago","2 - Female","2 - Lesbian or Gay","0.011","0.0051","0.004","0.028","0.422","0.1605","0.163","0.733","0.026","0.0119","0.01","0.064","53000","11","25000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","2 - Lesbian or Gay","0.409","0.0229","0.364","0.456","0.426","0.023","0.38","0.472","0.966","0.013","0.928","0.985","1999000","456","144000"
"97 - REFUSED","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","2 - Lesbian or Gay","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0003","0","0.002","1000","1","1000"
"Overall","Overall","3 - Bisexual","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","9669000","2642","307000"
"1 - Within the past 30 days","Overall","3 - Bisexual","0.01","0.0029","0.005","0.018","1","0","N/A","N/A","0.01","0.0029","0.005","0.018","95000","21","28000"
"2 - More than 30 days ago but within the past 12 mos","Overall","3 - Bisexual","0.005","0.0022","0.002","0.012","1","0","N/A","N/A","0.005","0.0022","0.002","0.012","48000","16","21000"
"3 - More than 12 months ago","Overall","3 - Bisexual","0.034","0.0057","0.024","0.048","1","0","N/A","N/A","0.034","0.0057","0.024","0.048","329000","73","59000"
"8 - At some point in the past 12 months LOG ASSN","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","3 - Bisexual","0.951","0.0078","0.933","0.965","1","0","N/A","N/A","0.951","0.0078","0.933","0.965","9197000","2532","287000"
"97 - REFUSED","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","3 - Bisexual","0.278","0.014","0.25","0.307","0.278","0.014","0.25","0.307","1","0","N/A","N/A","2684000","606","158000"
"1 - Within the past 30 days","1 - Male","3 - Bisexual","0.002","0.0013","0.001","0.007","0.251","0.1237","0.082","0.557","0.009","0.0048","0.003","0.026","24000","5","13000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","3 - Bisexual","0.001","0.0005","0","0.003","0.11","0.0988","0.016","0.484","0.002","0.0018","0","0.012","5000","2","5000"
"3 - More than 12 months ago","1 - Male","3 - Bisexual","0.011","0.0038","0.005","0.022","0.311","0.0886","0.165","0.509","0.038","0.0135","0.019","0.077","103000","14","37000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","3 - Bisexual","0.264","0.014","0.237","0.293","0.278","0.0144","0.25","0.307","0.951","0.0143","0.913","0.973","2552000","585","154000"
"97 - REFUSED","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","3 - Bisexual","0.722","0.014","0.693","0.75","0.722","0.014","0.693","0.75","1","0","N/A","N/A","6985000","2036","262000"
"1 - Within the past 30 days","2 - Female","3 - Bisexual","0.007","0.0026","0.004","0.015","0.749","0.1237","0.443","0.918","0.01","0.0036","0.005","0.021","71000","16","25000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","3 - Bisexual","0.004","0.0021","0.002","0.011","0.89","0.0988","0.516","0.984","0.006","0.0029","0.002","0.016","43000","14","21000"
"3 - More than 12 months ago","2 - Female","3 - Bisexual","0.023","0.0045","0.016","0.034","0.689","0.0886","0.491","0.835","0.032","0.0062","0.022","0.048","227000","59","46000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","3 - Bisexual","0.687","0.0143","0.658","0.715","0.722","0.0144","0.693","0.75","0.951","0.0085","0.931","0.966","6645000","1947","246000"
"97 - REFUSED","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","85 - BAD DATA Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","24000","12","10000"
"1 - Within the past 30 days","Overall","85 - BAD DATA Logically assigned","0.022","0.0231","0.002","0.165","1","0","N/A","N/A","0.022","0.0231","0.002","0.165","1000","1","1000"
"2 - More than 30 days ago but within the past 12 mos","Overall","85 - BAD DATA Logically assigned","0.053","0.0548","0.006","0.334","1","0","N/A","N/A","0.053","0.0548","0.006","0.334","1000","1","1000"
"3 - More than 12 months ago","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","85 - BAD DATA Logically assigned","0.925","0.0614","0.675","0.987","1","0","N/A","N/A","0.925","0.0614","0.675","0.987","22000","10","10000"
"97 - REFUSED","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","85 - BAD DATA Logically assigned","0.809","0.1366","0.418","0.962","0.809","0.1366","0.418","0.962","1","0","N/A","N/A","20000","9","10000"
"1 - Within the past 30 days","1 - Male","85 - BAD DATA Logically assigned","0.022","0.0231","0.002","0.165","1","0","N/A","N/A","0.027","0.0292","0.003","0.207","1000","1","1000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","85 - BAD DATA Logically assigned","0.053","0.0548","0.006","0.334","1","0","N/A","N/A","0.066","0.0689","0.007","0.402","1000","1","1000"
"3 - More than 12 months ago","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","85 - BAD DATA Logically assigned","0.734","0.1523","0.366","0.93","0.794","0.1489","0.382","0.96","0.908","0.0782","0.602","0.985","18000","7","9000"
"97 - REFUSED","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","85 - BAD DATA Logically assigned","0.191","0.1366","0.038","0.582","0.191","0.1366","0.038","0.582","1","0","N/A","N/A","5000","3","3000"
"1 - Within the past 30 days","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","85 - BAD DATA Logically assigned","0.191","0.1366","0.038","0.582","0.206","0.1489","0.04","0.618","1","0","N/A","N/A","5000","3","3000"
"97 - REFUSED","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","94 - DON T KNOW","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","1634000","292","148000"
"1 - Within the past 30 days","Overall","94 - DON T KNOW","0.001","0.0008","0","0.006","1","0","N/A","N/A","0.001","0.0008","0","0.006","1000","1","1000"
"2 - More than 30 days ago but within the past 12 mos","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","94 - DON T KNOW","0.005","0.0037","0.001","0.022","1","0","N/A","N/A","0.005","0.0037","0.001","0.022","8000","2","6000"
"8 - At some point in the past 12 months LOG ASSN","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","94 - DON T KNOW","0.976","0.0136","0.927","0.992","1","0","N/A","N/A","0.976","0.0136","0.927","0.992","1594000","283","144000"
"97 - REFUSED","Overall","94 - DON T KNOW","0.001","0.001","0","0.006","1","0","N/A","N/A","0.001","0.001","0","0.006","2000","2","2000"
"98 - MISSING","Overall","94 - DON T KNOW","0.017","0.0132","0.004","0.078","1","0","N/A","N/A","0.017","0.0132","0.004","0.078","28000","4","22000"
"Overall","1 - Male","94 - DON T KNOW","0.366","0.0424","0.285","0.454","0.366","0.0424","0.285","0.454","1","0","N/A","N/A","598000","112","96000"
"1 - Within the past 30 days","1 - Male","94 - DON T KNOW","0.001","0.0008","0","0.006","1","0","N/A","N/A","0.002","0.0021","0","0.016","1000","1","1000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","94 - DON T KNOW","0.36","0.0424","0.28","0.449","0.369","0.043","0.287","0.458","0.984","0.0077","0.959","0.994","588000","106","96000"
"97 - REFUSED","1 - Male","94 - DON T KNOW","0.001","0.001","0","0.006","1","0","N/A","N/A","0.004","0.0028","0.001","0.016","2000","2","2000"
"98 - MISSING","1 - Male","94 - DON T KNOW","0.004","0.0026","0.001","0.015","0.223","0.2087","0.025","0.763","0.01","0.0074","0.003","0.042","6000","3","4000"
"Overall","2 - Female","94 - DON T KNOW","0.634","0.0424","0.546","0.715","0.634","0.0424","0.546","0.715","1","0","N/A","N/A","1036000","180","106000"
"1 - Within the past 30 days","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","94 - DON T KNOW","0.005","0.0037","0.001","0.022","1","0","N/A","N/A","0.008","0.0058","0.002","0.034","8000","2","6000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","94 - DON T KNOW","0.616","0.0424","0.528","0.697","0.631","0.043","0.542","0.713","0.971","0.0209","0.883","0.993","1007000","177","100000"
"97 - REFUSED","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
