"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - More than 30 days ago but within the past 12 mos","1 - NonHisp White","0.001","0.0002","0.001","0.002","0.795","0.0622","0.643","0.893","0.002","0.0003","0.001","0.003","304000","73","53000"
"3 - More than 12 months ago","1 - NonHisp White","0.011","0.0008","0.009","0.012","0.804","0.0197","0.761","0.841","0.017","0.0012","0.015","0.019","2877000","476","203000"
"8 - At some point in the past 12 months LOG ASSN","1 - NonHisp White","0","0","0","0","1","0","N/A","N/A","0","0","0","0","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","1 - NonHisp White","0","0","0","0","0.155","0.151","0.018","0.65","0","0","0","0","9000","2","7000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - NonHisp White","0.623","0.0049","0.613","0.633","0.635","0.0049","0.625","0.644","0.978","0.0013","0.975","0.981","166847000","32604","1842000"
"97 - REFUSED","1 - NonHisp White","0","0.0001","0","0.001","0.368","0.1129","0.18","0.607","0","0.0002","0","0.001","68000","15","26000"
"98 - MISSING","1 - NonHisp White","0","0.0002","0","0.001","0.752","0.0974","0.515","0.897","0.001","0.0003","0","0.002","129000","19","55000"
"Overall","2 - NonHisp Black/Afr Am","0.12","0.003","0.114","0.126","0.12","0.003","0.114","0.126","1","0","N/A","N/A","32068000","7279","855000"
"1 - Within the past 30 days","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.062","0.0398","0.017","0.207","0.001","0.0005","0","0.003","25000","5","17000"
"2 - More than 30 days ago but within the past 12 mos","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.078","0.0361","0.03","0.188","0.001","0.0005","0","0.003","30000","5","15000"
"3 - More than 12 months ago","2 - NonHisp Black/Afr Am","0.001","0.0002","0.001","0.001","0.065","0.0139","0.042","0.099","0.007","0.0016","0.005","0.011","234000","29","51000"
"8 - At some point in the past 12 months LOG ASSN","2 - NonHisp Black/Afr Am","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - NonHisp Black/Afr Am","0","0","0","0","0.079","0.0803","0.009","0.441","0","0.0001","0","0.001","4000","2","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - NonHisp Black/Afr Am","0.118","0.003","0.113","0.124","0.121","0.003","0.115","0.127","0.988","0.0019","0.984","0.992","31697000","7222","858000"
"97 - REFUSED","2 - NonHisp Black/Afr Am","0","0.0001","0","0.001","0.278","0.1094","0.114","0.535","0.002","0.0008","0.001","0.005","51000","9","26000"
"98 - MISSING","2 - NonHisp Black/Afr Am","0","0","0","0","0.154","0.0821","0.049","0.392","0.001","0.0004","0","0.002","26000","7","13000"
"Overall","3 - NonHisp Native Am/AK Native","0.005","0.0005","0.004","0.006","0.005","0.0005","0.004","0.006","1","0","N/A","N/A","1412000","894","139000"
"1 - Within the past 30 days","3 - NonHisp Native Am/AK Native","0","0","0","0","0.002","0.0023","0","0.017","0.001","0.0006","0","0.005","1000","1","1000"
"2 - More than 30 days ago but within the past 12 mos","3 - NonHisp Native Am/AK Native","0","0","0","0","0.014","0.011","0.003","0.065","0.004","0.0029","0.001","0.017","5000","3","4000"
"3 - More than 12 months ago","3 - NonHisp Native Am/AK Native","0","0","0","0","0.009","0.0031","0.004","0.018","0.022","0.0075","0.011","0.043","31000","21","11000"
"8 - At some point in the past 12 months LOG ASSN","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - NonHisp Native Am/AK Native","0.005","0.0005","0.004","0.006","0.005","0.0005","0.004","0.006","0.974","0.008","0.952","0.986","1375000","869","137000"
"97 - REFUSED","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","4 - NonHisp Native HI/Other Pac Isl","0.003","0.0003","0.002","0.004","0.003","0.0003","0.002","0.004","1","0","N/A","N/A","752000","299","86000"
"1 - Within the past 30 days","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.005","0.0051","0.001","0.037","0.003","0.0027","0","0.02","2000","1","2000"
"2 - More than 30 days ago but within the past 12 mos","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.002","0.0022","0","0.017","0.011","0.0105","0.001","0.075","8000","1","8000"
"8 - At some point in the past 12 months LOG ASSN","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - NonHisp Native HI/Other Pac Isl","0.003","0.0003","0.002","0.003","0.003","0.0003","0.002","0.004","0.982","0.0116","0.936","0.995","739000","296","85000"
"97 - REFUSED","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.018","0.018","0.002","0.126","0.004","0.0042","0.001","0.031","3000","1","3000"
"98 - MISSING","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","5 - NonHisp Asian","0.055","0.0023","0.05","0.059","0.055","0.0023","0.05","0.059","1","0","N/A","N/A","14598000","2541","685000"
"1 - Within the past 30 days","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - NonHisp Asian","0","0","0","0","0.005","0.0053","0.001","0.039","0","0.0001","0","0.001","2000","1","2000"
"3 - More than 12 months ago","5 - NonHisp Asian","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"8 - At some point in the past 12 months LOG ASSN","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - NonHisp Asian","0.054","0.0023","0.05","0.059","0.055","0.0024","0.051","0.06","0.998","0.0007","0.996","0.999","14575000","2531","686000"
"97 - REFUSED","5 - NonHisp Asian","0","0","0","0","0.095","0.0502","0.031","0.253","0.001","0.0006","0","0.003","17000","5","9000"
"98 - MISSING","5 - NonHisp Asian","0","0","0","0","0.021","0.0205","0.003","0.139","0","0.0002","0","0.001","4000","3","3000"
"Overall","6 - NonHisp more than one race","0.018","0.0008","0.016","0.019","0.018","0.0008","0.016","0.019","1","0","N/A","N/A","4764000","2216","204000"
"1 - Within the past 30 days","6 - NonHisp more than one race","0","0","0","0","0.024","0.0124","0.008","0.067","0.002","0.001","0.001","0.006","10000","6","5000"
"2 - More than 30 days ago but within the past 12 mos","6 - NonHisp more than one race","0","0","0","0","0.016","0.0122","0.004","0.071","0.001","0.001","0","0.006","6000","5","5000"
"3 - More than 12 months ago","6 - NonHisp more than one race","0.001","0.0001","0","0.001","0.042","0.0092","0.027","0.065","0.031","0.0066","0.021","0.048","150000","41","32000"
"8 - At some point in the past 12 months LOG ASSN","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - NonHisp more than one race","0.017","0.0008","0.016","0.019","0.017","0.0008","0.016","0.019","0.965","0.0066","0.949","0.976","4595000","2160","199000"
"97 - REFUSED","6 - NonHisp more than one race","0","0","0","0","0.012","0.0096","0.002","0.059","0","0.0004","0","0.002","2000","2","2000"
"98 - MISSING","6 - NonHisp more than one race","0","0","0","0","0.004","0.0033","0.001","0.02","0","0.0001","0","0.001","1000","2","1000"
"Overall","7 - Hispanic","0.163","0.0033","0.156","0.169","0.163","0.0033","0.156","0.169","1","0","N/A","N/A","43563000","10667","959000"
"1 - Within the past 30 days","7 - Hispanic","0","0.0001","0","0.001","0.161","0.0583","0.075","0.314","0.002","0.0006","0.001","0.003","66000","12","24000"
"2 - More than 30 days ago but within the past 12 mos","7 - Hispanic","0","0.0001","0","0","0.091","0.0442","0.033","0.226","0.001","0.0004","0","0.002","35000","8","18000"
"3 - More than 12 months ago","7 - Hispanic","0.001","0.0002","0.001","0.002","0.078","0.0147","0.053","0.113","0.006","0.0012","0.004","0.009","279000","61","54000"
"8 - At some point in the past 12 months LOG ASSN","7 - Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Hispanic","0","0.0001","0","0.001","0.766","0.1923","0.275","0.966","0.001","0.0009","0","0.006","42000","3","37000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Hispanic","0.161","0.0033","0.154","0.168","0.164","0.0033","0.157","0.171","0.989","0.0017","0.985","0.992","43087000","10571","968000"
"97 - REFUSED","7 - Hispanic","0","0.0001","0","0","0.23","0.091","0.096","0.456","0.001","0.0005","0","0.003","42000","7","21000"
"98 - MISSING","7 - Hispanic","0","0","0","0","0.068","0.0399","0.02","0.205","0","0.0001","0","0.001","12000","5","6000"
