"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","2 - NonHisp Black/Afr Am","0.121","0.0048","0.112","0.131","0.121","0.0048","0.112","0.131","1","0","N/A","N/A","33619000","3025","1546000"
"1 - Within the past 30 days","2 - NonHisp Black/Afr Am","0","0.0002","0","0.001","0.149","0.1017","0.034","0.467","0.002","0.0017","0","0.01","75000","3","57000"
"2 - More than 30 days ago but within the past 12 mos","2 - NonHisp Black/Afr Am","0","0.0001","0","0.001","0.041","0.0401","0.005","0.249","0.001","0.0007","0","0.005","25000","1","25000"
"3 - More than 12 months ago","2 - NonHisp Black/Afr Am","0.001","0.0006","0.001","0.003","0.103","0.0378","0.048","0.207","0.012","0.0046","0.006","0.026","409000","14","157000"
"9 - At some point in the lifetime LOG ASSN","2 - NonHisp Black/Afr Am","0","0.0004","0","0.003","0.421","0.2835","0.066","0.883","0.003","0.0033","0","0.024","113000","1","113000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - NonHisp Black/Afr Am","0.118","0.0045","0.109","0.128","0.121","0.0046","0.112","0.131","0.974","0.0065","0.957","0.984","32739000","2977","1463000"
"97 - REFUSED","2 - NonHisp Black/Afr Am","0","0.0001","0","0.001","0.233","0.15","0.053","0.621","0.001","0.0009","0","0.005","42000","2","32000"
"98 - MISSING","2 - NonHisp Black/Afr Am","0.001","0.0002","0","0.001","0.143","0.0349","0.086","0.228","0.006","0.0016","0.004","0.011","215000","27","59000"
"Overall","3 - NonHisp Native Am/AK Native","0.006","0.0008","0.005","0.008","0.006","0.0008","0.005","0.008","1","0","N/A","N/A","1658000","291","216000"
"1 - Within the past 30 days","3 - NonHisp Native Am/AK Native","0","0","0","0","0.023","0.0229","0.003","0.156","0.007","0.0072","0.001","0.054","11000","1","11000"
"2 - More than 30 days ago but within the past 12 mos","3 - NonHisp Native Am/AK Native","0","0.0001","0","0.001","0.056","0.0528","0.008","0.308","0.02","0.0202","0.003","0.138","34000","2","34000"
"3 - More than 12 months ago","3 - NonHisp Native Am/AK Native","0","0","0","0","0","0.0002","0","0.001","0.001","0.0005","0","0.003","1000","2","1000"
"9 - At some point in the lifetime LOG ASSN","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","3 - NonHisp Native Am/AK Native","0.006","0.0008","0.004","0.008","0.006","0.0008","0.004","0.008","0.955","0.0241","0.873","0.985","1584000","281","220000"
"97 - REFUSED","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - NonHisp Native Am/AK Native","0","0.0001","0","0","0.019","0.0095","0.007","0.051","0.017","0.0088","0.006","0.048","28000","5","14000"
"Overall","4 - NonHisp Native HI/Other Pac Isl","0.003","0.0007","0.002","0.005","0.003","0.0007","0.002","0.005","1","0","N/A","N/A","881000","133","204000"
"1 - Within the past 30 days","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","4 - NonHisp Native HI/Other Pac Isl","0.003","0.0007","0.002","0.005","0.003","0.0007","0.002","0.005","0.999","0.0005","0.997","1","880000","131","204000"
"97 - REFUSED","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0","0.0003","0","0.002","0.001","0.0005","0","0.003","1000","2","0"
"Overall","5 - NonHisp Asian","0.06","0.0025","0.055","0.065","0.06","0.0025","0.055","0.065","1","0","N/A","N/A","16489000","1857","692000"
"1 - Within the past 30 days","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","5 - NonHisp Asian","0","0","0","0","0.002","0.0013","0.001","0.008","0","0.0003","0","0.002","8000","4","5000"
"9 - At some point in the lifetime LOG ASSN","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","5 - NonHisp Asian","0.059","0.0025","0.054","0.064","0.061","0.0025","0.056","0.066","0.992","0.0022","0.986","0.996","16361000","1835","695000"
"97 - REFUSED","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","5 - NonHisp Asian","0","0.0001","0","0.001","0.08","0.0235","0.043","0.141","0.007","0.0022","0.004","0.013","120000","18","36000"
"Overall","6 - NonHisp more than one race","0.019","0.0012","0.016","0.021","0.019","0.0012","0.016","0.021","1","0","N/A","N/A","5141000","1329","338000"
"1 - Within the past 30 days","6 - NonHisp more than one race","0","0","0","0","0.021","0.0124","0.007","0.067","0.002","0.0012","0.001","0.007","11000","5","6000"
"2 - More than 30 days ago but within the past 12 mos","6 - NonHisp more than one race","0","0","0","0","0.027","0.0193","0.007","0.107","0.003","0.0021","0.001","0.012","17000","3","11000"
"3 - More than 12 months ago","6 - NonHisp more than one race","0.001","0.0004","0","0.002","0.055","0.0244","0.022","0.13","0.042","0.0195","0.016","0.104","216000","23","98000"
"9 - At some point in the lifetime LOG ASSN","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","6 - NonHisp more than one race","0.017","0.0013","0.015","0.02","0.018","0.0013","0.015","0.021","0.941","0.0217","0.879","0.972","4837000","1287","356000"
"97 - REFUSED","6 - NonHisp more than one race","0","0","0","0","0.005","0.0042","0.001","0.027","0","0.0001","0","0.001","1000","2","1000"
"98 - MISSING","6 - NonHisp more than one race","0","0.0002","0","0.001","0.04","0.0301","0.009","0.168","0.012","0.0089","0.003","0.052","60000","9","45000"
"Overall","7 - Hispanic","0.175","0.006","0.163","0.187","0.175","0.006","0.163","0.187","1","0","N/A","N/A","48380000","4896","1953000"
"1 - Within the past 30 days","7 - Hispanic","0","0.0001","0","0.001","0.089","0.054","0.025","0.271","0.001","0.0006","0","0.003","45000","5","28000"
"2 - More than 30 days ago but within the past 12 mos","7 - Hispanic","0","0.0002","0","0.001","0.201","0.0834","0.082","0.417","0.003","0.0011","0.001","0.006","122000","11","54000"
"3 - More than 12 months ago","7 - Hispanic","0.001","0.0004","0.001","0.003","0.099","0.0254","0.058","0.163","0.008","0.0022","0.005","0.014","391000","25","112000"
"9 - At some point in the lifetime LOG ASSN","7 - Hispanic","0","0.0003","0","0.002","0.259","0.2283","0.031","0.792","0.001","0.0014","0","0.011","69000","1","69000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","7 - Hispanic","0.171","0.0059","0.16","0.183","0.176","0.006","0.164","0.188","0.981","0.0033","0.973","0.986","47439000","4820","1911000"
"97 - REFUSED","7 - Hispanic","0","0.0001","0","0.001","0.294","0.1499","0.089","0.64","0.001","0.0006","0","0.003","53000","7","30000"
"98 - MISSING","7 - Hispanic","0.001","0.0002","0.001","0.002","0.173","0.0449","0.1","0.282","0.005","0.0014","0.003","0.009","260000","27","68000"
