"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - More than 12 months ago","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Respondent is 12 years old","0.014","0.0004","0.013","0.014","0.014","0.0004","0.013","0.015","0.993","0.0025","0.985","0.996","3714000","2025","108000"
"97 - REFUSED","1 - Respondent is 12 years old","0","0","0","0","0.057","0.0281","0.021","0.147","0.003","0.0016","0.001","0.008","12000","6","6000"
"98 - MISSING","1 - Respondent is 12 years old","0","0","0","0","0.177","0.0797","0.067","0.392","0.004","0.002","0.002","0.011","15000","8","7000"
"Overall","10 - Respondent is 21 years old","0.015","0.0006","0.014","0.017","0.015","0.0006","0.014","0.017","1","0","N/A","N/A","4134000","1614","173000"
"1 - Within the past 30 days","10 - Respondent is 21 years old","0","0","0","0","0.01","0.0079","0.002","0.048","0.001","0.0009","0","0.006","5000","2","4000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","10 - Respondent is 21 years old","0","0","0","0","0.022","0.0133","0.007","0.072","0.002","0.0014","0.001","0.008","10000","3","6000"
"3 - More than 12 months ago","10 - Respondent is 21 years old","0","0","0","0","0.005","0.0024","0.002","0.013","0.004","0.0021","0.002","0.012","18000","9","9000"
"8 - At some point in the past 12 months LOG ASSN","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","10 - Respondent is 21 years old","0.015","0.0006","0.014","0.016","0.015","0.0007","0.014","0.017","0.989","0.003","0.981","0.994","4091000","1596","175000"
"97 - REFUSED","10 - Respondent is 21 years old","0","0","0","0","0.015","0.0114","0.003","0.067","0.001","0.0006","0","0.003","3000","2","2000"
"98 - MISSING","10 - Respondent is 21 years old","0","0","0","0","0.085","0.0623","0.019","0.317","0.002","0.0013","0","0.008","7000","2","5000"
"Overall","11 - Respondent is 22 or 23 years old","0.032","0.0007","0.03","0.033","0.032","0.0007","0.03","0.033","1","0","N/A","N/A","8586000","3555","193000"
"1 - Within the past 30 days","11 - Respondent is 22 or 23 years old","0","0","0","0","0.033","0.0158","0.012","0.084","0.002","0.0009","0.001","0.005","16000","6","8000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","11 - Respondent is 22 or 23 years old","0","0","0","0","0.055","0.0244","0.022","0.13","0.003","0.0012","0.001","0.007","25000","7","11000"
"3 - More than 12 months ago","11 - Respondent is 22 or 23 years old","0","0.0001","0","0","0.022","0.0052","0.014","0.035","0.009","0.0022","0.006","0.015","78000","37","19000"
"8 - At some point in the past 12 months LOG ASSN","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","11 - Respondent is 22 or 23 years old","0","0","0","0","0.02","0.0205","0.002","0.146","0","0","0","0","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","11 - Respondent is 22 or 23 years old","0.031","0.0007","0.03","0.033","0.032","0.0008","0.03","0.033","0.986","0.0027","0.979","0.99","8465000","3502","193000"
"97 - REFUSED","11 - Respondent is 22 or 23 years old","0","0","0","0","0.008","0.0067","0.002","0.041","0","0.0002","0","0.001","2000","2","1000"
"98 - MISSING","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","12 - Respondent is 24 or 25 years old","0.032","0.0009","0.03","0.034","0.032","0.0009","0.03","0.034","1","0","N/A","N/A","8745000","3679","240000"
"1 - Within the past 30 days","12 - Respondent is 24 or 25 years old","0","0.0001","0","0","0.08","0.0326","0.034","0.175","0.005","0.0019","0.002","0.01","40000","15","16000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","12 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","12 - Respondent is 24 or 25 years old","0","0","0","0","0.121","0.0307","0.072","0.197","0.006","0.0015","0.004","0.01","54000","19","13000"
"3 - More than 12 months ago","12 - Respondent is 24 or 25 years old","0","0.0001","0","0.001","0.029","0.0063","0.018","0.044","0.011","0.0023","0.008","0.017","100000","45","20000"
"8 - At some point in the past 12 months LOG ASSN","12 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","12 - Respondent is 24 or 25 years old","0","0","0","0","0.136","0.127","0.018","0.579","0","0.0003","0","0.002","2000","1","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","12 - Respondent is 24 or 25 years old","0.031","0.0009","0.03","0.033","0.032","0.0009","0.03","0.034","0.977","0.0036","0.968","0.983","8541000","3597","239000"
"97 - REFUSED","12 - Respondent is 24 or 25 years old","0","0","0","0","0.024","0.0235","0.003","0.158","0.001","0.0006","0","0.004","5000","1","5000"
"98 - MISSING","12 - Respondent is 24 or 25 years old","0","0","0","0","0.026","0.0264","0.003","0.176","0","0.0003","0","0.002","2000","1","2000"
"Overall","13 - Respondent is between 26 and 29 years old","0.067","0.0014","0.064","0.069","0.067","0.0014","0.064","0.069","1","0","N/A","N/A","18100000","3989","392000"
"1 - Within the past 30 days","13 - Respondent is between 26 and 29 years old","0","0.0001","0","0","0.13","0.0424","0.066","0.241","0.004","0.0013","0.002","0.007","65000","13","23000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","13 - Respondent is between 26 and 29 years old","0","0","0","0","1","0","N/A","N/A","0","0.0003","0","0.003","6000","1","6000"
"2 - More than 30 days ago but within the past 12 mos","13 - Respondent is between 26 and 29 years old","0","0.0001","0","0","0.126","0.0369","0.069","0.221","0.003","0.001","0.002","0.006","56000","15","18000"
"3 - More than 12 months ago","13 - Respondent is between 26 and 29 years old","0.001","0.0002","0.001","0.001","0.074","0.0111","0.054","0.099","0.014","0.0023","0.01","0.02","259000","66","41000"
"8 - At some point in the past 12 months LOG ASSN","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","13 - Respondent is between 26 and 29 years old","0","0","0","0","0.235","0.1827","0.038","0.703","0","0.0002","0","0.001","4000","2","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","13 - Respondent is between 26 and 29 years old","0.065","0.0014","0.062","0.068","0.066","0.0015","0.063","0.069","0.977","0.0031","0.97","0.982","17683000","3889","390000"
"97 - REFUSED","13 - Respondent is between 26 and 29 years old","0","0.0001","0","0","0.129","0.0709","0.04","0.345","0.002","0.0009","0","0.005","27000","3","16000"
"98 - MISSING","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","14 - Respondent is between 30 and 34 years old","0.079","0.0014","0.076","0.082","0.079","0.0014","0.076","0.082","1","0","N/A","N/A","21459000","4797","392000"
"1 - Within the past 30 days","14 - Respondent is between 30 and 34 years old","0","0.0001","0","0.001","0.21","0.049","0.128","0.325","0.005","0.0014","0.003","0.009","105000","28","29000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","14 - Respondent is between 30 and 34 years old","0","0.0001","0","0.001","0.17","0.0468","0.095","0.285","0.004","0.0011","0.002","0.007","76000","17","24000"
"3 - More than 12 months ago","14 - Respondent is between 30 and 34 years old","0.002","0.0002","0.001","0.002","0.12","0.0172","0.09","0.159","0.02","0.0029","0.015","0.026","422000","96","61000"
"8 - At some point in the past 12 months LOG ASSN","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","14 - Respondent is between 30 and 34 years old","0.077","0.0014","0.074","0.079","0.078","0.0014","0.075","0.081","0.97","0.0032","0.963","0.976","20825000","4650","393000"
"97 - REFUSED","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.093","0.059","0.025","0.295","0.001","0.0006","0","0.003","20000","4","12000"
"98 - MISSING","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.129","0.0896","0.029","0.424","0.001","0.0004","0","0.002","11000","2","8000"
"Overall","15 - Respondent is between 35 and 49 years old","0.224","0.0028","0.218","0.23","0.224","0.0028","0.218","0.23","1","0","N/A","N/A","60964000","11214","795000"
"1 - Within the past 30 days","15 - Respondent is between 35 and 49 years old","0.001","0.0001","0","0.001","0.368","0.0608","0.256","0.496","0.003","0.0005","0.002","0.004","183000","43","33000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","15 - Respondent is between 35 and 49 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","15 - Respondent is between 35 and 49 years old","0","0.0001","0","0.001","0.265","0.0708","0.148","0.428","0.002","0.0006","0.001","0.004","118000","21","37000"
"3 - More than 12 months ago","15 - Respondent is between 35 and 49 years old","0.004","0.0003","0.003","0.004","0.276","0.0217","0.235","0.321","0.016","0.0015","0.013","0.019","969000","197","91000"
"8 - At some point in the past 12 months LOG ASSN","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.332","0.3134","0.028","0.895","0","0","0","0","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","15 - Respondent is between 35 and 49 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","15 - Respondent is between 35 and 49 years old","0.219","0.0028","0.214","0.225","0.223","0.0028","0.218","0.229","0.978","0.0016","0.975","0.981","59649000","10945","775000"
"97 - REFUSED","15 - Respondent is between 35 and 49 years old","0","0.0001","0","0","0.184","0.0834","0.069","0.408","0.001","0.0003","0","0.002","39000","5","19000"
"98 - MISSING","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.041","0.0335","0.008","0.192","0","0","0","0","4000","2","3000"
"Overall","16 - Respondent is between 50 and 64 years old","0.23","0.0028","0.224","0.235","0.23","0.0028","0.224","0.235","1","0","N/A","N/A","62458000","4997","962000"
"1 - Within the past 30 days","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0.001","0.12","0.0438","0.056","0.239","0.001","0.0004","0","0.002","60000","8","24000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","16 - Respondent is between 50 and 64 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0.001","0.148","0.0665","0.057","0.334","0.001","0.0005","0","0.003","66000","6","34000"
"3 - More than 12 months ago","16 - Respondent is between 50 and 64 years old","0.005","0.0006","0.004","0.006","0.38","0.0312","0.32","0.444","0.021","0.0025","0.017","0.027","1336000","124","158000"
"8 - At some point in the past 12 months LOG ASSN","16 - Respondent is between 50 and 64 years old","0","0","0","0","0.668","0.3134","0.105","0.972","0","0","0","0","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","16 - Respondent is between 50 and 64 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","16 - Respondent is between 50 and 64 years old","0.224","0.0028","0.218","0.23","0.228","0.0028","0.222","0.234","0.976","0.0027","0.969","0.98","60931000","4855","939000"
"97 - REFUSED","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0.001","0.296","0.152","0.089","0.645","0.001","0.0006","0","0.004","63000","3","41000"
"98 - MISSING","16 - Respondent is between 50 and 64 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","17 - Respondent is 65 years old or older","0.183","0.0034","0.177","0.19","0.183","0.0034","0.177","0.19","1","0","N/A","N/A","49873000","3717","1117000"
"1 - Within the past 30 days","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","17 - Respondent is 65 years old or older","0","0","0","0","0.023","0.0226","0.003","0.151","0","0.0002","0","0.002","10000","1","10000"
"3 - More than 12 months ago","17 - Respondent is 65 years old or older","0.001","0.0002","0.001","0.002","0.078","0.0185","0.048","0.124","0.005","0.0013","0.003","0.009","273000","25","67000"
"8 - At some point in the past 12 months LOG ASSN","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","17 - Respondent is 65 years old or older","0.182","0.0034","0.175","0.189","0.185","0.0035","0.179","0.192","0.994","0.0014","0.99","0.996","49572000","3688","1126000"
"97 - REFUSED","17 - Respondent is 65 years old or older","0","0","0","0","0.007","0.0074","0.001","0.057","0","0","0","0","1000","1","1000"
"98 - MISSING","17 - Respondent is 65 years old or older","0","0.0001","0","0","0.194","0.1453","0.036","0.609","0","0.0003","0","0.002","17000","2","15000"
"Overall","2 - Respondent is 13 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.014","0.016","1","0","N/A","N/A","4036000","2268","98000"
"1 - Within the past 30 days","2 - Respondent is 13 years old","0","0","0","0","0.007","0.0067","0.001","0.046","0.001","0.0008","0","0.005","4000","2","3000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Respondent is 13 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.014","0.016","0.997","0.0013","0.993","0.999","4022000","2259","97000"
"97 - REFUSED","2 - Respondent is 13 years old","0","0","0","0","0.02","0.0123","0.006","0.067","0.001","0.0006","0","0.003","4000","4","2000"
"98 - MISSING","2 - Respondent is 13 years old","0","0","0","0","0.065","0.0407","0.018","0.211","0.001","0.0009","0","0.005","6000","3","4000"
"Overall","3 - Respondent is 14 years old","0.016","0.0004","0.015","0.017","0.016","0.0004","0.015","0.017","1","0","N/A","N/A","4314000","2278","115000"
"1 - Within the past 30 days","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Respondent is 14 years old","0","0","0","0","0.001","0.0007","0","0.005","0.001","0.0006","0","0.004","2000","1","2000"
"8 - At some point in the past 12 months LOG ASSN","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Respondent is 14 years old","0.016","0.0004","0.015","0.017","0.016","0.0004","0.015","0.017","0.995","0.002","0.989","0.998","4294000","2270","116000"
"97 - REFUSED","3 - Respondent is 14 years old","0","0","0","0","0.055","0.0407","0.012","0.219","0.003","0.0016","0.001","0.009","12000","5","7000"
"98 - MISSING","3 - Respondent is 14 years old","0","0","0","0","0.063","0.0456","0.014","0.241","0.001","0.0009","0","0.005","5000","2","4000"
"Overall","4 - Respondent is 15 years old","0.016","0.0004","0.015","0.016","0.016","0.0004","0.015","0.016","1","0","N/A","N/A","4235000","2381","106000"
"1 - Within the past 30 days","4 - Respondent is 15 years old","0","0","0","0","0.009","0.0088","0.001","0.063","0.001","0.001","0","0.008","4000","1","4000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Respondent is 15 years old","0","0","0","0","0.005","0.0046","0.001","0.034","0","0.0005","0","0.004","2000","1","2000"
"3 - More than 12 months ago","4 - Respondent is 15 years old","0","0","0","0","0.002","0.0014","0","0.009","0.002","0.0012","0","0.007","6000","2","5000"
"8 - At some point in the past 12 months LOG ASSN","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Respondent is 15 years old","0","0","0","0","0.171","0.1527","0.023","0.642","0.001","0.0007","0","0.005","3000","1","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Respondent is 15 years old","0.015","0.0004","0.015","0.016","0.016","0.0004","0.015","0.016","0.993","0.0026","0.985","0.996","4203000","2369","107000"
"97 - REFUSED","4 - Respondent is 15 years old","0","0","0","0","0.047","0.0309","0.012","0.165","0.002","0.0016","0.001","0.009","10000","4","7000"
"98 - MISSING","4 - Respondent is 15 years old","0","0","0","0","0.067","0.0437","0.018","0.226","0.001","0.0009","0","0.005","6000","3","4000"
"Overall","5 - Respondent is 16 years old","0.016","0.0005","0.015","0.017","0.016","0.0005","0.015","0.017","1","0","N/A","N/A","4383000","2400","138000"
"1 - Within the past 30 days","5 - Respondent is 16 years old","0","0","0","0","0.016","0.0111","0.004","0.062","0.002","0.0013","0","0.008","8000","3","6000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Respondent is 16 years old","0","0","0","0","0.009","0.0075","0.001","0.048","0.001","0.0008","0","0.005","4000","2","3000"
"3 - More than 12 months ago","5 - Respondent is 16 years old","0","0","0","0","0.001","0.0009","0","0.005","0.001","0.0007","0","0.004","5000","3","3000"
"8 - At some point in the past 12 months LOG ASSN","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Respondent is 16 years old","0.016","0.0005","0.015","0.017","0.016","0.0005","0.015","0.017","0.994","0.0017","0.989","0.996","4354000","2385","138000"
"97 - REFUSED","5 - Respondent is 16 years old","0","0","0","0","0.021","0.0165","0.004","0.098","0.001","0.0008","0","0.005","4000","3","3000"
"98 - MISSING","5 - Respondent is 16 years old","0","0","0","0","0.085","0.0412","0.031","0.212","0.002","0.0009","0.001","0.005","7000","4","4000"
"Overall","6 - Respondent is 17 years old","0.016","0.0004","0.015","0.016","0.016","0.0004","0.015","0.016","1","0","N/A","N/A","4235000","2356","89000"
"1 - Within the past 30 days","6 - Respondent is 17 years old","0","0","0","0","0.003","0.0023","0.001","0.014","0","0.0003","0","0.002","1000","2","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Respondent is 17 years old","0","0","0","0","0.004","0.0039","0","0.029","0","0.0004","0","0.003","2000","1","2000"
"3 - More than 12 months ago","6 - Respondent is 17 years old","0","0","0","0","0.002","0.001","0","0.006","0.001","0.0008","0","0.005","6000","5","4000"
"8 - At some point in the past 12 months LOG ASSN","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Respondent is 17 years old","0.016","0.0004","0.015","0.016","0.016","0.0004","0.015","0.017","0.997","0.0011","0.994","0.999","4223000","2346","90000"
"97 - REFUSED","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","6 - Respondent is 17 years old","0","0","0","0","0.028","0.0213","0.006","0.122","0.001","0.0004","0","0.003","2000","2","2000"
"Overall","7 - Respondent is 18 years old","0.016","0.0006","0.015","0.017","0.016","0.0006","0.015","0.017","1","0","N/A","N/A","4400000","1730","162000"
"1 - Within the past 30 days","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Respondent is 18 years old","0","0","0","0","0.036","0.0175","0.013","0.093","0.004","0.0016","0.001","0.009","16000","7","7000"
"3 - More than 12 months ago","7 - Respondent is 18 years old","0","0","0","0","0.006","0.0028","0.002","0.015","0.005","0.0023","0.002","0.012","20000","8","10000"
"8 - At some point in the past 12 months LOG ASSN","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Respondent is 18 years old","0","0","0","0","0.261","0.2289","0.032","0.793","0.001","0.001","0","0.008","5000","1","5000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Respondent is 18 years old","0.016","0.0006","0.015","0.017","0.016","0.0006","0.015","0.018","0.988","0.003","0.98","0.993","4347000","1710","161000"
"97 - REFUSED","7 - Respondent is 18 years old","0","0","0","0","0.043","0.0307","0.01","0.167","0.002","0.0015","0","0.009","9000","2","7000"
"98 - MISSING","7 - Respondent is 18 years old","0","0","0","0","0.035","0.024","0.009","0.131","0.001","0.0005","0","0.003","3000","2","2000"
"Overall","8 - Respondent is 19 years old","0.016","0.0007","0.014","0.017","0.016","0.0007","0.014","0.017","1","0","N/A","N/A","4299000","1626","182000"
"1 - Within the past 30 days","8 - Respondent is 19 years old","0","0","0","0","0.014","0.0106","0.003","0.064","0.002","0.0012","0","0.007","7000","2","5000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","8 - Respondent is 19 years old","0","0","0","0","0.01","0.0071","0.002","0.041","0.001","0.0008","0","0.004","5000","2","3000"
"3 - More than 12 months ago","8 - Respondent is 19 years old","0","0","0","0","0.003","0.0014","0.001","0.008","0.002","0.0011","0.001","0.006","11000","6","5000"
"8 - At some point in the past 12 months LOG ASSN","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
