"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - More than 12 months ago","4 - NonHisp Native HI/Other Pac Isl","0","0.0002","0","0.001","0.014","0.0102","0.003","0.059","0.055","0.0356","0.015","0.187","67000","4","49000"
"9 - At some point in the lifetime LOG ASSN","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","4 - NonHisp Native HI/Other Pac Isl","0.004","0.0006","0.003","0.005","0.004","0.0006","0.003","0.006","0.921","0.0408","0.791","0.973","1118000","243","172000"
"97 - REFUSED","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.001","0.0015","0","0.011","0.001","0.0011","0","0.008","2000","1","2000"
"Overall","5 - NonHisp Asian","0.061","0.0033","0.055","0.068","0.061","0.0033","0.055","0.068","1","0","N/A","N/A","17183000","3066","1079000"
"1 - Within the past 30 days","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - NonHisp Asian","0","0.0002","0","0.001","0.111","0.089","0.02","0.433","0.004","0.0035","0.001","0.024","65000","2","60000"
"3 - More than 12 months ago","5 - NonHisp Asian","0","0","0","0","0.001","0.0006","0","0.004","0","0.0002","0","0.001","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","5 - NonHisp Asian","0.06","0.0033","0.054","0.067","0.062","0.0034","0.055","0.069","0.991","0.0041","0.978","0.996","17026000","3048","1086000"
"97 - REFUSED","5 - NonHisp Asian","0","0.0001","0","0.001","0.13","0.12","0.017","0.557","0.001","0.0014","0","0.01","24000","2","24000"
"98 - MISSING","5 - NonHisp Asian","0","0.0001","0","0","0.062","0.0232","0.029","0.129","0.004","0.0014","0.002","0.008","65000","13","24000"
"Overall","6 - NonHisp more than one race","0.02","0.0008","0.019","0.022","0.02","0.0008","0.019","0.022","1","0","N/A","N/A","5767000","2496","250000"
"1 - Within the past 30 days","6 - NonHisp more than one race","0","0.0001","0","0","0.079","0.0346","0.032","0.182","0.006","0.0026","0.002","0.014","34000","11","15000"
"2 - More than 30 days ago but within the past 12 mos","6 - NonHisp more than one race","0","0","0","0","0.037","0.0204","0.012","0.108","0.004","0.0021","0.001","0.011","22000","7","12000"
"3 - More than 12 months ago","6 - NonHisp more than one race","0","0.0001","0","0","0.015","0.0045","0.009","0.028","0.013","0.0037","0.007","0.023","74000","33","21000"
"9 - At some point in the lifetime LOG ASSN","6 - NonHisp more than one race","0","0.0001","0","0","0.347","0.2371","0.061","0.813","0.003","0.0032","0","0.023","19000","2","18000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","6 - NonHisp more than one race","0.02","0.0008","0.018","0.021","0.02","0.0008","0.019","0.022","0.971","0.0065","0.954","0.981","5597000","2435","250000"
"97 - REFUSED","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","6 - NonHisp more than one race","0","0","0","0","0.021","0.012","0.006","0.065","0.004","0.0021","0.001","0.012","22000","8","12000"
"Overall","7 - Hispanic","0.181","0.0063","0.168","0.194","0.181","0.0063","0.168","0.194","1","0","N/A","N/A","50904000","11068","2183000"
"1 - Within the past 30 days","7 - Hispanic","0","0.0001","0","0","0.117","0.0528","0.045","0.27","0.001","0.0004","0","0.002","51000","16","22000"
"2 - More than 30 days ago but within the past 12 mos","7 - Hispanic","0","0.0001","0","0","0.045","0.0284","0.012","0.151","0.001","0.0003","0","0.002","26000","5","16000"
"3 - More than 12 months ago","7 - Hispanic","0.002","0.0004","0.001","0.003","0.121","0.0254","0.078","0.181","0.011","0.0023","0.007","0.017","576000","84","115000"
"9 - At some point in the lifetime LOG ASSN","7 - Hispanic","0","0","0","0","0.074","0.0651","0.012","0.349","0","0.0001","0","0","4000","2","3000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","7 - Hispanic","0.177","0.0063","0.165","0.19","0.182","0.0064","0.169","0.195","0.982","0.0023","0.977","0.987","50007000","10903","2166000"
"97 - REFUSED","7 - Hispanic","0","0.0001","0","0.001","0.293","0.1609","0.08","0.663","0.001","0.0007","0","0.004","55000","9","36000"
"98 - MISSING","7 - Hispanic","0.001","0.0002","0","0.001","0.179","0.0442","0.106","0.285","0.004","0.0011","0.002","0.007","186000","49","55000"
