"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Respondent is 12 years old","0","0","0","0","0.004","0.0039","0","0.029","0","0.0003","0","0.002","1000","1","1000"
"3 - More than 12 months ago","1 - Respondent is 12 years old","0","0","0","0","0.002","0.0012","0","0.007","0.002","0.0011","0","0.006","6000","2","4000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Respondent is 12 years old","0.014","0.0004","0.013","0.015","0.014","0.0004","0.013","0.015","0.993","0.002","0.988","0.996","3716000","2164","106000"
"97 - REFUSED","1 - Respondent is 12 years old","0","0","0","0","0.091","0.0637","0.021","0.32","0.002","0.0015","0.001","0.009","8000","4","6000"
"98 - MISSING","1 - Respondent is 12 years old","0","0","0","0","0.086","0.0319","0.04","0.176","0.003","0.0009","0.001","0.005","10000","7","3000"
"Overall","10 - Respondent is 21 years old","0.016","0.0006","0.015","0.018","0.016","0.0006","0.015","0.018","1","0","N/A","N/A","4372000","1721","156000"
"1 - Within the past 30 days","10 - Respondent is 21 years old","0","0","0","0","0.013","0.0088","0.004","0.049","0.002","0.0011","0","0.006","7000","3","5000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","10 - Respondent is 21 years old","0","0","0","0","0.01","0.0077","0.002","0.045","0.001","0.0006","0","0.003","3000","2","2000"
"3 - More than 12 months ago","10 - Respondent is 21 years old","0","0","0","0","0.006","0.0029","0.002","0.016","0.004","0.0024","0.002","0.013","19000","6","10000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","10 - Respondent is 21 years old","0.016","0.0006","0.015","0.017","0.016","0.0006","0.015","0.018","0.993","0.0027","0.985","0.997","4342000","1710","155000"
"97 - REFUSED","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","11 - Respondent is 22 or 23 years old","0.033","0.0008","0.031","0.034","0.033","0.0008","0.031","0.034","1","0","N/A","N/A","8798000","3454","230000"
"1 - Within the past 30 days","11 - Respondent is 22 or 23 years old","0","0","0","0","0.034","0.0125","0.016","0.07","0.002","0.0008","0.001","0.004","18000","14","7000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","11 - Respondent is 22 or 23 years old","0","0","0","0","0.108","0.028","0.063","0.178","0.004","0.0011","0.002","0.007","34000","19","9000"
"3 - More than 12 months ago","11 - Respondent is 22 or 23 years old","0","0","0","0","0.012","0.0033","0.007","0.021","0.005","0.0012","0.003","0.008","41000","23","11000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","11 - Respondent is 22 or 23 years old","0.032","0.0008","0.031","0.034","0.033","0.0008","0.031","0.035","0.989","0.0018","0.984","0.992","8697000","3396","231000"
"97 - REFUSED","11 - Respondent is 22 or 23 years old","0","0","0","0","0.026","0.0265","0.003","0.18","0","0.0003","0","0.002","2000","1","2000"
"98 - MISSING","11 - Respondent is 22 or 23 years old","0","0","0","0","0.042","0.0411","0.006","0.254","0.001","0.0006","0","0.004","5000","1","5000"
"Overall","12 - Respondent is 24 or 25 years old","0.033","0.0008","0.031","0.034","0.033","0.0008","0.031","0.034","1","0","N/A","N/A","8765000","3573","200000"
"1 - Within the past 30 days","12 - Respondent is 24 or 25 years old","0","0","0","0","0.039","0.0151","0.018","0.084","0.002","0.0008","0.001","0.005","21000","12","7000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","12 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","12 - Respondent is 24 or 25 years old","0","0","0","0","0.077","0.0298","0.035","0.162","0.003","0.001","0.001","0.006","25000","13","9000"
"3 - More than 12 months ago","12 - Respondent is 24 or 25 years old","0","0.0001","0","0.001","0.034","0.0059","0.024","0.048","0.013","0.0024","0.009","0.019","118000","48","21000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","12 - Respondent is 24 or 25 years old","0","0","0","0","0.107","0.1351","0.007","0.672","0","0.0002","0","0.002","2000","1","2000"
"9 - At some point in the lifetime LOG ASSN","12 - Respondent is 24 or 25 years old","0","0","0","0","0.083","0.0847","0.009","0.459","0","0.0005","0","0.004","4000","1","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","12 - Respondent is 24 or 25 years old","0.032","0.0008","0.03","0.033","0.032","0.0008","0.031","0.034","0.98","0.0032","0.972","0.985","8588000","3495","198000"
"97 - REFUSED","12 - Respondent is 24 or 25 years old","0","0","0","0","0.081","0.0539","0.02","0.274","0.001","0.0005","0","0.003","7000","3","5000"
"98 - MISSING","12 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","13 - Respondent is between 26 and 29 years old","0.065","0.0012","0.062","0.067","0.065","0.0012","0.062","0.067","1","0","N/A","N/A","17482000","3948","349000"
"1 - Within the past 30 days","13 - Respondent is between 26 and 29 years old","0","0.0001","0","0.001","0.177","0.0377","0.114","0.266","0.005","0.0014","0.003","0.009","93000","24","24000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","13 - Respondent is between 26 and 29 years old","0","0.0001","0","0","0.188","0.0567","0.099","0.328","0.003","0.0011","0.002","0.007","60000","12","20000"
"3 - More than 12 months ago","13 - Respondent is between 26 and 29 years old","0.001","0.0001","0.001","0.001","0.064","0.0098","0.047","0.087","0.013","0.0019","0.01","0.017","225000","51","35000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","13 - Respondent is between 26 and 29 years old","0.063","0.0012","0.061","0.066","0.065","0.0012","0.062","0.067","0.977","0.0025","0.971","0.982","17079000","3859","341000"
"97 - REFUSED","13 - Respondent is between 26 and 29 years old","0","0.0001","0","0.001","0.256","0.192","0.044","0.723","0.001","0.0013","0","0.009","24000","2","23000"
"98 - MISSING","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","14 - Respondent is between 30 and 34 years old","0.079","0.0014","0.076","0.082","0.079","0.0014","0.076","0.082","1","0","N/A","N/A","21340000","4803","389000"
"1 - Within the past 30 days","14 - Respondent is between 30 and 34 years old","0","0.0001","0","0.001","0.189","0.0464","0.112","0.3","0.005","0.0011","0.003","0.008","99000","20","25000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","14 - Respondent is between 30 and 34 years old","0","0.0001","0","0","0.202","0.0514","0.117","0.324","0.003","0.0008","0.002","0.005","64000","17","18000"
"3 - More than 12 months ago","14 - Respondent is between 30 and 34 years old","0.001","0.0002","0.001","0.002","0.098","0.013","0.075","0.128","0.016","0.0023","0.012","0.021","346000","84","48000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.17","0.1591","0.021","0.663","0","0.0004","0","0.003","9000","1","9000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","14 - Respondent is between 30 and 34 years old","0.077","0.0014","0.075","0.08","0.079","0.0014","0.076","0.081","0.975","0.0029","0.969","0.981","20815000","4679","382000"
"97 - REFUSED","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.005","0.0057","0.001","0.043","0","0","0","0","0","1","0"
"98 - MISSING","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.048","0.0462","0.006","0.279","0","0.0003","0","0.002","6000","1","6000"
"Overall","15 - Respondent is between 35 and 49 years old","0.225","0.0028","0.22","0.231","0.225","0.0028","0.22","0.231","1","0","N/A","N/A","60734000","11361","948000"
"1 - Within the past 30 days","15 - Respondent is between 35 and 49 years old","0.001","0.0002","0","0.001","0.352","0.0636","0.237","0.487","0.003","0.0007","0.002","0.005","185000","34","45000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","15 - Respondent is between 35 and 49 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","15 - Respondent is between 35 and 49 years old","0","0.0001","0","0.001","0.244","0.077","0.123","0.428","0.001","0.0004","0.001","0.003","78000","17","27000"
"3 - More than 12 months ago","15 - Respondent is between 35 and 49 years old","0.004","0.0003","0.003","0.004","0.277","0.019","0.241","0.317","0.016","0.0013","0.014","0.019","975000","189","82000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","15 - Respondent is between 35 and 49 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","15 - Respondent is between 35 and 49 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","15 - Respondent is between 35 and 49 years old","0.221","0.0027","0.215","0.226","0.225","0.0027","0.219","0.23","0.979","0.0016","0.976","0.982","59468000","11116","914000"
"97 - REFUSED","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.179","0.1231","0.039","0.54","0","0.0002","0","0.001","16000","3","13000"
"98 - MISSING","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.097","0.0778","0.018","0.39","0","0.0002","0","0.001","12000","2","10000"
"Overall","16 - Respondent is between 50 and 64 years old","0.231","0.0039","0.224","0.239","0.231","0.0039","0.224","0.239","1","0","N/A","N/A","62350000","5241","1261000"
"1 - Within the past 30 days","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0.001","0.158","0.0421","0.09","0.262","0.001","0.0004","0.001","0.002","83000","6","23000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","16 - Respondent is between 50 and 64 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0","0.131","0.0712","0.041","0.346","0.001","0.0004","0","0.002","42000","4","24000"
"3 - More than 12 months ago","16 - Respondent is between 50 and 64 years old","0.005","0.0005","0.004","0.006","0.391","0.0306","0.332","0.454","0.022","0.0023","0.018","0.027","1377000","131","143000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","16 - Respondent is between 50 and 64 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0","0.714","0.1825","0.293","0.938","0.001","0.0003","0","0.002","36000","4","21000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","16 - Respondent is between 50 and 64 years old","0.226","0.0039","0.218","0.234","0.229","0.004","0.222","0.238","0.975","0.0023","0.97","0.979","60767000","5091","1258000"
"97 - REFUSED","16 - Respondent is between 50 and 64 years old","0","0","0","0","0.076","0.0745","0.01","0.408","0","0.0001","0","0.001","7000","1","7000"
"98 - MISSING","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0","0.323","0.1007","0.159","0.546","0.001","0.0002","0","0.001","39000","4","16000"
"Overall","17 - Respondent is 65 years old or older","0.178","0.0034","0.172","0.185","0.178","0.0034","0.172","0.185","1","0","N/A","N/A","48057000","3612","1024000"
"1 - Within the past 30 days","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","17 - Respondent is 65 years old or older","0","0","0","0","0.003","0.0026","0","0.019","0","0","0","0","1000","1","1000"
"3 - More than 12 months ago","17 - Respondent is 65 years old or older","0.001","0.0003","0.001","0.002","0.101","0.0245","0.061","0.162","0.007","0.0019","0.004","0.012","356000","28","90000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","17 - Respondent is 65 years old or older","0","0.0001","0","0","0.893","0.1351","0.328","0.993","0","0.0003","0","0.002","16000","1","16000"
"9 - At some point in the lifetime LOG ASSN","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","17 - Respondent is 65 years old or older","0.177","0.0034","0.17","0.184","0.18","0.0034","0.173","0.187","0.992","0.0017","0.988","0.995","47668000","3579","1032000"
"97 - REFUSED","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","17 - Respondent is 65 years old or older","0","0","0","0","0.137","0.0801","0.039","0.382","0","0.0002","0","0.001","16000","3","11000"
"Overall","2 - Respondent is 13 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.014","0.016","1","0","N/A","N/A","4079000","2445","121000"
"1 - Within the past 30 days","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Respondent is 13 years old","0","0","0","0","0.001","0.001","0","0.007","0.001","0.0008","0","0.006","4000","2","3000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Respondent is 13 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.014","0.016","0.995","0.0018","0.989","0.997","4057000","2427","120000"
"97 - REFUSED","2 - Respondent is 13 years old","0","0","0","0","0.143","0.0684","0.051","0.338","0.003","0.0013","0.001","0.007","13000","9","5000"
"98 - MISSING","2 - Respondent is 13 years old","0","0","0","0","0.046","0.0296","0.013","0.157","0.001","0.0009","0","0.005","6000","7","4000"
"Overall","3 - Respondent is 14 years old","0.016","0.0005","0.015","0.016","0.016","0.0005","0.015","0.016","1","0","N/A","N/A","4182000","2445","122000"
"1 - Within the past 30 days","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Respondent is 14 years old","0","0","0","0","0","0.0004","0","0.003","0","0.0003","0","0.002","1000","1","1000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Respondent is 14 years old","0","0","0","0","0.033","0.0354","0.004","0.24","0","0.0004","0","0.003","2000","1","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Respondent is 14 years old","0.015","0.0005","0.015","0.016","0.016","0.0005","0.015","0.017","0.998","0.0007","0.996","0.999","4175000","2439","122000"
"97 - REFUSED","3 - Respondent is 14 years old","0","0","0","0","0.009","0.0096","0.001","0.072","0","0.0002","0","0.002","1000","1","1000"
"98 - MISSING","3 - Respondent is 14 years old","0","0","0","0","0.027","0.0166","0.008","0.09","0.001","0.0005","0","0.003","3000","3","2000"
"Overall","4 - Respondent is 15 years old","0.016","0.0004","0.016","0.017","0.016","0.0004","0.016","0.017","1","0","N/A","N/A","4419000","2495","113000"
"1 - Within the past 30 days","4 - Respondent is 15 years old","0","0","0","0","0.008","0.0078","0.001","0.056","0.001","0.0009","0","0.007","4000","1","4000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Respondent is 15 years old","0","0","0","0","1","0","N/A","N/A","0.001","0.0006","0","0.004","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - Respondent is 15 years old","0","0","0","0","0","0.0001","0","0.001","0","0.0001","0","0.001","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Respondent is 15 years old","0.016","0.0004","0.016","0.017","0.017","0.0004","0.016","0.018","0.998","0.0012","0.993","0.999","4410000","2490","113000"
"97 - REFUSED","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","4 - Respondent is 15 years old","0","0","0","0","0.016","0.0143","0.003","0.091","0","0.0004","0","0.002","2000","2","2000"
"Overall","5 - Respondent is 16 years old","0.016","0.0004","0.015","0.017","0.016","0.0004","0.015","0.017","1","0","N/A","N/A","4353000","2454","116000"
"1 - Within the past 30 days","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Respondent is 16 years old","0","0","0","0","0.009","0.0087","0.001","0.062","0.001","0.0006","0","0.005","3000","1","3000"
"3 - More than 12 months ago","5 - Respondent is 16 years old","0","0","0","0","0.001","0.0006","0","0.004","0","0.0005","0","0.004","2000","1","2000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Respondent is 16 years old","0.016","0.0004","0.015","0.017","0.016","0.0004","0.016","0.017","0.998","0.0013","0.993","0.999","4343000","2450","116000"
"97 - REFUSED","5 - Respondent is 16 years old","0","0","0","0","0.06","0.0477","0.011","0.259","0.001","0.001","0","0.006","6000","2","4000"
"98 - MISSING","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","6 - Respondent is 17 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.014","0.016","1","0","N/A","N/A","4122000","2255","119000"
"1 - Within the past 30 days","6 - Respondent is 17 years old","0","0","0","0","0.004","0.0028","0.001","0.017","0.001","0.0003","0","0.002","2000","3","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Respondent is 17 years old","0","0","0","0","0.001","0.0008","0","0.006","0","0.0001","0","0","0","1","0"
"3 - More than 12 months ago","6 - Respondent is 17 years old","0","0","0","0","0.001","0.0007","0","0.004","0.001","0.0006","0","0.003","5000","5","3000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Respondent is 17 years old","0.015","0.0004","0.014","0.016","0.016","0.0004","0.015","0.016","0.997","0.0013","0.993","0.999","4108000","2243","119000"
"97 - REFUSED","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","6 - Respondent is 17 years old","0","0","0","0","0.052","0.0314","0.015","0.164","0.002","0.0009","0","0.005","6000","3","4000"
"Overall","7 - Respondent is 18 years old","0.017","0.0006","0.016","0.018","0.017","0.0006","0.016","0.018","1","0","N/A","N/A","4511000","1776","148000"
"1 - Within the past 30 days","7 - Respondent is 18 years old","0","0","0","0","0.001","0.0008","0","0.005","0","0.0001","0","0.001","1000","2","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Respondent is 18 years old","0","0","0","0","0.005","0.005","0.001","0.036","0","0.0004","0","0.003","2000","1","2000"
"3 - More than 12 months ago","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Respondent is 18 years old","0.017","0.0005","0.016","0.018","0.017","0.0006","0.016","0.018","0.997","0.0013","0.993","0.999","4499000","1769","146000"
"97 - REFUSED","7 - Respondent is 18 years old","0","0","0","0","0.026","0.027","0.003","0.183","0.001","0.0005","0","0.004","2000","1","2000"
"98 - MISSING","7 - Respondent is 18 years old","0","0","0","0","0.063","0.0432","0.015","0.226","0.002","0.0011","0","0.006","8000","3","5000"
"Overall","8 - Respondent is 19 years old","0.015","0.0006","0.013","0.016","0.015","0.0006","0.013","0.016","1","0","N/A","N/A","3927000","1529","165000"
"1 - Within the past 30 days","8 - Respondent is 19 years old","0","0","0","0","0.019","0.017","0.003","0.106","0.003","0.0023","0","0.016","10000","2","9000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","8 - Respondent is 19 years old","0","0","0","0","0.007","0.0066","0.001","0.044","0.001","0.0006","0","0.004","2000","2","2000"
"3 - More than 12 months ago","8 - Respondent is 19 years old","0","0","0","0","0.004","0.0017","0.002","0.009","0.004","0.0015","0.001","0.008","14000","7","6000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
