"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"9 - At some point in the lifetime LOG ASSN","Overall","1 - Heterosexual, that is, straight","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","47000","3","38000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","1 - Heterosexual, that is, straight","0.982","0.0011","0.98","0.984","1","0","N/A","N/A","0.982","0.0011","0.98","0.984","224008000","39436","2274000"
"97 - REFUSED","Overall","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","98000","18","34000"
"98 - MISSING","Overall","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","34000","6","22000"
"Overall","1 - Male","1 - Heterosexual, that is, straight","0.488","0.0039","0.48","0.496","0.488","0.0039","0.48","0.496","1","0","N/A","N/A","111321000","18718","1564000"
"1 - Within the past 30 days","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0002","0.001","0.002","0.848","0.0464","0.73","0.92","0.003","0.0004","0.002","0.004","292000","51","47000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0002","0.001","0.002","0.692","0.0648","0.549","0.805","0.002","0.0004","0.001","0.003","236000","43","48000"
"3 - More than 12 months ago","1 - Male","1 - Heterosexual, that is, straight","0.01","0.0008","0.009","0.012","0.707","0.0233","0.658","0.752","0.021","0.0017","0.017","0.024","2292000","343","189000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","1 - Heterosexual, that is, straight","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0003","0","0.002","47000","3","38000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","1 - Heterosexual, that is, straight","0.475","0.0038","0.467","0.483","0.484","0.0039","0.476","0.492","0.973","0.0019","0.969","0.977","108367000","18262","1535000"
"97 - REFUSED","1 - Male","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.613","0.1688","0.275","0.869","0.001","0.0002","0","0.001","60000","12","27000"
"98 - MISSING","1 - Male","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.772","0.1892","0.281","0.967","0","0.0002","0","0.001","26000","4","21000"
"Overall","2 - Female","1 - Heterosexual, that is, straight","0.512","0.0039","0.504","0.52","0.512","0.0039","0.504","0.52","1","0","N/A","N/A","116794000","21436","1317000"
"1 - Within the past 30 days","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0","0.152","0.0464","0.08","0.27","0","0.0001","0","0.001","52000","19","18000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.308","0.0648","0.195","0.451","0.001","0.0002","0.001","0.001","105000","39","23000"
"3 - More than 12 months ago","2 - Female","1 - Heterosexual, that is, straight","0.004","0.0004","0.003","0.005","0.293","0.0233","0.248","0.342","0.008","0.0007","0.007","0.01","949000","196","82000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","1 - Heterosexual, that is, straight","0.507","0.0039","0.499","0.515","0.516","0.0039","0.508","0.524","0.99","0.0008","0.988","0.992","115641000","21174","1307000"
"97 - REFUSED","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.387","0.1688","0.131","0.725","0","0.0002","0","0.001","38000","6","21000"
"98 - MISSING","2 - Female","1 - Heterosexual, that is, straight","0","0","0","0","0.228","0.1892","0.033","0.719","0","0","0","0","8000","2","6000"
"Overall","Overall","2 - Lesbian or Gay","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","4351000","900","214000"
"1 - Within the past 30 days","Overall","2 - Lesbian or Gay","0.008","0.0044","0.003","0.024","1","0","N/A","N/A","0.008","0.0044","0.003","0.024","37000","6","19000"
"2 - More than 30 days ago but within the past 12 mos","Overall","2 - Lesbian or Gay","0.003","0.002","0.001","0.012","1","0","N/A","N/A","0.003","0.002","0.001","0.012","12000","2","9000"
"3 - More than 12 months ago","Overall","2 - Lesbian or Gay","0.014","0.0043","0.007","0.026","1","0","N/A","N/A","0.014","0.0043","0.007","0.026","59000","22","18000"
"8 - At some point in the past 12 months LOG ASSN","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","2 - Lesbian or Gay","0.975","0.0074","0.955","0.986","1","0","N/A","N/A","0.975","0.0074","0.955","0.986","4243000","870","215000"
"97 - REFUSED","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","2 - Lesbian or Gay","0.565","0.0309","0.502","0.626","0.565","0.0309","0.502","0.626","1","0","N/A","N/A","2459000","451","169000"
"1 - Within the past 30 days","1 - Male","2 - Lesbian or Gay","0.008","0.0044","0.003","0.024","0.926","0.0788","0.554","0.992","0.014","0.0076","0.005","0.041","34000","5","19000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","2 - Lesbian or Gay","0.003","0.002","0.001","0.012","1","0","N/A","N/A","0.005","0.0035","0.001","0.021","12000","2","9000"
"3 - More than 12 months ago","1 - Male","2 - Lesbian or Gay","0.009","0.0047","0.003","0.026","0.625","0.1903","0.246","0.895","0.015","0.0084","0.005","0.046","37000","10","21000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","2 - Lesbian or Gay","0.546","0.0305","0.484","0.606","0.56","0.0313","0.496","0.622","0.966","0.0132","0.927","0.985","2376000","434","167000"
"97 - REFUSED","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","2 - Lesbian or Gay","0.435","0.0309","0.374","0.498","0.435","0.0309","0.374","0.498","1","0","N/A","N/A","1892000","449","173000"
"1 - Within the past 30 days","2 - Female","2 - Lesbian or Gay","0.001","0.0006","0","0.005","0.074","0.0788","0.008","0.446","0.001","0.0014","0","0.011","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","2 - Lesbian or Gay","0.005","0.0021","0.002","0.011","0.375","0.1903","0.105","0.754","0.012","0.0048","0.005","0.027","22000","12","9000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","2 - Lesbian or Gay","0.429","0.031","0.368","0.492","0.44","0.0313","0.378","0.504","0.987","0.005","0.972","0.994","1867000","436","173000"
"97 - REFUSED","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","3 - Bisexual","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","6200000","1748","217000"
"1 - Within the past 30 days","Overall","3 - Bisexual","0.003","0.0017","0.001","0.009","1","0","N/A","N/A","0.003","0.0017","0.001","0.009","22000","6","10000"
"2 - More than 30 days ago but within the past 12 mos","Overall","3 - Bisexual","0.003","0.0012","0.001","0.007","1","0","N/A","N/A","0.003","0.0012","0.001","0.007","16000","7","8000"
"3 - More than 12 months ago","Overall","3 - Bisexual","0.042","0.0079","0.029","0.061","1","0","N/A","N/A","0.042","0.0079","0.029","0.061","261000","58","50000"
"8 - At some point in the past 12 months LOG ASSN","Overall","3 - Bisexual","0","0.0002","0","0.002","1","0","N/A","N/A","0","0.0002","0","0.002","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","3 - Bisexual","0.952","0.0084","0.932","0.966","1","0","N/A","N/A","0.952","0.0084","0.932","0.966","5900000","1675","216000"
"97 - REFUSED","Overall","3 - Bisexual","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"98 - MISSING","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","3 - Bisexual","0.284","0.0186","0.248","0.322","0.284","0.0186","0.248","0.322","1","0","N/A","N/A","1759000","378","143000"
"1 - Within the past 30 days","1 - Male","3 - Bisexual","0.001","0.0006","0","0.004","0.249","0.1737","0.049","0.682","0.003","0.0022","0.001","0.013","5000","2","4000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","3 - Bisexual","0","0.0003","0","0.002","0.125","0.1233","0.014","0.579","0.001","0.0011","0","0.009","2000","1","2000"
"3 - More than 12 months ago","1 - Male","3 - Bisexual","0.016","0.0061","0.007","0.034","0.373","0.0984","0.203","0.581","0.055","0.0214","0.025","0.118","97000","15","38000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","3 - Bisexual","0.267","0.0188","0.231","0.306","0.28","0.0194","0.243","0.321","0.941","0.0218","0.878","0.972","1655000","360","141000"
"97 - REFUSED","1 - Male","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","3 - Bisexual","0.716","0.0186","0.678","0.752","0.716","0.0186","0.678","0.752","1","0","N/A","N/A","4441000","1370","169000"
"1 - Within the past 30 days","2 - Female","3 - Bisexual","0.003","0.0016","0.001","0.009","0.751","0.1737","0.318","0.951","0.004","0.0022","0.001","0.012","16000","4","10000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","3 - Bisexual","0.002","0.0012","0.001","0.006","0.875","0.1233","0.421","0.986","0.003","0.0016","0.001","0.009","14000","6","7000"
"3 - More than 12 months ago","2 - Female","3 - Bisexual","0.026","0.0047","0.018","0.038","0.627","0.0984","0.419","0.797","0.037","0.0065","0.026","0.052","163000","43","29000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","3 - Bisexual","0","0.0002","0","0.002","1","0","N/A","N/A","0","0.0003","0","0.002","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","3 - Bisexual","0.685","0.0191","0.645","0.722","0.72","0.0194","0.679","0.757","0.956","0.0074","0.939","0.969","4246000","1315","172000"
"97 - REFUSED","2 - Female","3 - Bisexual","0","0","0","0","1","0","N/A","N/A","0","0.0001","0","0","0","1","0"
"98 - MISSING","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","94 - DON T KNOW","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","1448000","248","136000"
"1 - Within the past 30 days","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","94 - DON T KNOW","0.003","0.0031","0","0.022","1","0","N/A","N/A","0.003","0.0031","0","0.022","5000","1","5000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","94 - DON T KNOW","0.983","0.0085","0.954","0.994","1","0","N/A","N/A","0.983","0.0085","0.954","0.994","1423000","244","134000"
"97 - REFUSED","Overall","94 - DON T KNOW","0.004","0.0045","0.001","0.033","1","0","N/A","N/A","0.004","0.0045","0.001","0.033","6000","1","6000"
"98 - MISSING","Overall","94 - DON T KNOW","0.009","0.0067","0.002","0.039","1","0","N/A","N/A","0.009","0.0067","0.002","0.039","14000","2","10000"
"Overall","1 - Male","94 - DON T KNOW","0.321","0.0383","0.25","0.403","0.321","0.0383","0.25","0.403","1","0","N/A","N/A","465000","90","75000"
"1 - Within the past 30 days","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","94 - DON T KNOW","0.318","0.0393","0.245","0.401","0.323","0.0393","0.25","0.407","0.989","0.0111","0.919","0.999","460000","89","75000"
"97 - REFUSED","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","94 - DON T KNOW","0.003","0.0035","0","0.025","0.37","0.3298","0.033","0.91","0.011","0.0111","0.001","0.081","5000","1","5000"
"Overall","2 - Female","94 - DON T KNOW","0.679","0.0383","0.597","0.75","0.679","0.0383","0.597","0.75","1","0","N/A","N/A","982000","158","102000"
"1 - Within the past 30 days","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","94 - DON T KNOW","0.003","0.0031","0","0.022","1","0","N/A","N/A","0.005","0.0045","0.001","0.032","5000","1","5000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","94 - DON T KNOW","0.665","0.0378","0.585","0.736","0.677","0.0393","0.593","0.75","0.98","0.0114","0.938","0.994","963000","155","99000"
"97 - REFUSED","2 - Female","94 - DON T KNOW","0.004","0.0045","0.001","0.033","1","0","N/A","N/A","0.007","0.0066","0.001","0.049","6000","1","6000"
"98 - MISSING","2 - Female","94 - DON T KNOW","0.006","0.0058","0.001","0.041","0.63","0.3298","0.09","0.967","0.009","0.0085","0.001","0.06","9000","1","9000"
"Overall","Overall","97 - REFUSED","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","2539000","493","186000"
"1 - Within the past 30 days","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","97 - REFUSED","0.001","0.0013","0","0.01","1","0","N/A","N/A","0.001","0.0013","0","0.01","3000","1","3000"
"3 - More than 12 months ago","Overall","97 - REFUSED","0.004","0.0018","0.001","0.01","1","0","N/A","N/A","0.004","0.0018","0.001","0.01","9000","5","5000"
"8 - At some point in the past 12 months LOG ASSN","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","97 - REFUSED","0.973","0.0092","0.947","0.986","1","0","N/A","N/A","0.973","0.0092","0.947","0.986","2470000","476","176000"
"97 - REFUSED","Overall","97 - REFUSED","0.018","0.0084","0.007","0.045","1","0","N/A","N/A","0.018","0.0084","0.007","0.045","46000","8","23000"
"98 - MISSING","Overall","97 - REFUSED","0.004","0.0031","0.001","0.019","1","0","N/A","N/A","0.004","0.0031","0.001","0.019","10000","3","8000"
"Overall","1 - Male","97 - REFUSED","0.394","0.0328","0.331","0.462","0.394","0.0328","0.331","0.462","1","0","N/A","N/A","1001000","184","109000"
"1 - Within the past 30 days","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","97 - REFUSED","0.001","0.0013","0","0.01","1","0","N/A","N/A","0.003","0.0033","0","0.025","3000","1","3000"
"3 - More than 12 months ago","1 - Male","97 - REFUSED","0.001","0.0009","0","0.005","0.39","0.2218","0.089","0.806","0.004","0.0021","0.001","0.012","4000","3","2000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","97 - REFUSED","0.38","0.0328","0.316","0.447","0.39","0.0341","0.324","0.46","0.963","0.0177","0.906","0.986","964000","174","103000"
"97 - REFUSED","1 - Male","97 - REFUSED","0.009","0.0063","0.002","0.037","0.477","0.2434","0.114","0.866","0.022","0.0162","0.005","0.092","22000","4","17000"
"98 - MISSING","1 - Male","97 - REFUSED","0.003","0.003","0","0.022","0.796","0.2284","0.188","0.985","0.008","0.0076","0.001","0.053","8000","2","8000"
"Overall","2 - Female","97 - REFUSED","0.606","0.0328","0.538","0.669","0.606","0.0328","0.538","0.669","1","0","N/A","N/A","1538000","309","143000"
"1 - Within the past 30 days","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","97 - REFUSED","0.002","0.0016","0.001","0.009","0.61","0.2218","0.194","0.911","0.004","0.0027","0.001","0.016","6000","2","4000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","97 - REFUSED","0.593","0.0345","0.522","0.66","0.61","0.0341","0.54","0.676","0.979","0.0103","0.944","0.992","1506000","302","142000"
"97 - REFUSED","2 - Female","97 - REFUSED","0.01","0.0058","0.003","0.032","0.523","0.2434","0.134","0.886","0.016","0.0098","0.004","0.054","24000","4","15000"
"98 - MISSING","2 - Female","97 - REFUSED","0.001","0.0008","0","0.006","0.204","0.2284","0.015","0.812","0.001","0.0013","0","0.01","2000","1","2000"
"Overall","Overall","98 - BLANK","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","148000","18","57000"
