"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - More than 30 days ago but within the past 12 mos","1 - NonHisp White","0.001","0.0002","0.001","0.002","0.803","0.0436","0.7","0.876","0.002","0.0003","0.002","0.003","358000","82","54000"
"3 - More than 12 months ago","1 - NonHisp White","0.011","0.0008","0.009","0.012","0.82","0.0264","0.761","0.867","0.017","0.0012","0.015","0.019","2880000","505","216000"
"8 - At some point in the past 12 months LOG ASSN","1 - NonHisp White","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - NonHisp White","0","0","0","0","0.336","0.1854","0.087","0.729","0","0","0","0","6000","2","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - NonHisp White","0.614","0.0043","0.605","0.622","0.625","0.0043","0.616","0.633","0.978","0.0013","0.975","0.98","166950000","32391","1691000"
"97 - REFUSED","1 - NonHisp White","0","0.0001","0","0.001","0.57","0.1155","0.34","0.774","0.001","0.0002","0","0.001","121000","21","40000"
"98 - MISSING","1 - NonHisp White","0","0.0001","0","0","0.555","0.1141","0.331","0.76","0","0.0001","0","0.001","48000","16","20000"
"Overall","2 - NonHisp Black/Afr Am","0.121","0.0035","0.114","0.128","0.121","0.0035","0.114","0.128","1","0","N/A","N/A","32864000","7047","977000"
"1 - Within the past 30 days","2 - NonHisp Black/Afr Am","0","0","0","0","0.025","0.0149","0.007","0.08","0","0.0002","0","0.001","12000","3","7000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - NonHisp Black/Afr Am","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.107","0.0426","0.047","0.227","0.001","0.0006","0.001","0.003","48000","7","21000"
"3 - More than 12 months ago","2 - NonHisp Black/Afr Am","0.001","0.0002","0","0.001","0.046","0.0132","0.026","0.081","0.005","0.0013","0.003","0.009","162000","25","45000"
"8 - At some point in the past 12 months LOG ASSN","2 - NonHisp Black/Afr Am","0","0","0","0","0.668","0.3134","0.105","0.972","0","0.0001","0","0.001","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","2 - NonHisp Black/Afr Am","0","0","0","0","0.171","0.1527","0.023","0.642","0","0.0001","0","0.001","3000","1","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - NonHisp Black/Afr Am","0.12","0.0034","0.113","0.127","0.122","0.0035","0.115","0.129","0.991","0.0015","0.988","0.994","32582000","6992","965000"
"97 - REFUSED","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.163","0.0721","0.063","0.36","0.001","0.0005","0","0.003","34000","8","15000"
"98 - MISSING","2 - NonHisp Black/Afr Am","0","0","0","0","0.224","0.0769","0.106","0.412","0.001","0.0002","0","0.001","20000","10","6000"
"Overall","3 - NonHisp Native Am/AK Native","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1481000","846","117000"
"1 - Within the past 30 days","3 - NonHisp Native Am/AK Native","0","0","0","0","0.006","0.0035","0.002","0.019","0.002","0.0012","0.001","0.006","3000","4","2000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - NonHisp Native Am/AK Native","0","0","0","0","0.034","0.0163","0.013","0.087","0.01","0.0051","0.004","0.027","15000","6","8000"
"3 - More than 12 months ago","3 - NonHisp Native Am/AK Native","0","0.0001","0","0.001","0.019","0.0076","0.009","0.042","0.046","0.0172","0.021","0.096","68000","24","26000"
"8 - At some point in the past 12 months LOG ASSN","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - NonHisp Native Am/AK Native","0.005","0.0004","0.004","0.006","0.005","0.0004","0.004","0.006","0.939","0.0161","0.898","0.965","1391000","811","110000"
"97 - REFUSED","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - NonHisp Native Am/AK Native","0","0","0","0","0.041","0.0405","0.005","0.253","0.002","0.0023","0","0.017","4000","1","4000"
"Overall","4 - NonHisp Native HI/Other Pac Isl","0.004","0.0006","0.003","0.005","0.004","0.0006","0.003","0.005","1","0","N/A","N/A","1074000","260","158000"
"1 - Within the past 30 days","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.002","0.0022","0","0.015","0.008","0.0072","0.001","0.048","9000","3","8000"
"8 - At some point in the past 12 months LOG ASSN","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - NonHisp Native HI/Other Pac Isl","0.004","0.0006","0.003","0.005","0.004","0.0006","0.003","0.005","0.992","0.0072","0.952","0.999","1066000","257","158000"
"97 - REFUSED","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","5 - NonHisp Asian","0.056","0.0018","0.053","0.06","0.056","0.0018","0.053","0.06","1","0","N/A","N/A","15299000","2631","490000"
"1 - Within the past 30 days","5 - NonHisp Asian","0","0.0001","0","0","0.056","0.0331","0.016","0.172","0.002","0.0011","0.001","0.006","28000","3","17000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","5 - NonHisp Asian","0","0","0","0","0.001","0.0006","0","0.004","0","0.0001","0","0.001","2000","1","2000"
"8 - At some point in the past 12 months LOG ASSN","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - NonHisp Asian","0","0","0","0","0.261","0.2289","0.032","0.793","0","0.0003","0","0.002","5000","1","5000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - NonHisp Asian","0.056","0.0018","0.053","0.06","0.057","0.0018","0.053","0.061","0.997","0.0015","0.992","0.999","15248000","2622","480000"
"97 - REFUSED","5 - NonHisp Asian","0","0","0","0","0.069","0.0481","0.016","0.25","0.001","0.0007","0","0.004","15000","3","10000"
"98 - MISSING","5 - NonHisp Asian","0","0","0","0","0.022","0.0226","0.003","0.154","0","0.0001","0","0.001","2000","1","2000"
"Overall","6 - NonHisp more than one race","0.018","0.001","0.016","0.02","0.018","0.001","0.016","0.02","1","0","N/A","N/A","4896000","2159","266000"
"1 - Within the past 30 days","6 - NonHisp more than one race","0","0","0","0","0.022","0.0107","0.008","0.058","0.002","0.001","0.001","0.006","11000","5","5000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - NonHisp more than one race","0","0","0","0","0.025","0.0144","0.008","0.077","0.002","0.0013","0.001","0.007","11000","6","6000"
"3 - More than 12 months ago","6 - NonHisp more than one race","0","0.0001","0","0","0.014","0.0044","0.007","0.026","0.01","0.0032","0.005","0.019","48000","17","16000"
"8 - At some point in the past 12 months LOG ASSN","6 - NonHisp more than one race","0","0","0","0","0.332","0.3134","0.028","0.895","0","0.0003","0","0.002","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","6 - NonHisp more than one race","0","0","0","0","0.02","0.0205","0.002","0.146","0","0.0001","0","0.001","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - NonHisp more than one race","0.018","0.0009","0.016","0.02","0.018","0.001","0.016","0.02","0.985","0.0038","0.975","0.991","4821000","2126","266000"
"97 - REFUSED","6 - NonHisp more than one race","0","0","0","0","0.01","0.0078","0.002","0.045","0","0.0003","0","0.002","2000","2","2000"
"98 - MISSING","6 - NonHisp more than one race","0","0","0","0","0.02","0.0188","0.003","0.124","0","0.0004","0","0.003","2000","1","2000"
"Overall","7 - Hispanic","0.168","0.0039","0.16","0.176","0.168","0.0039","0.16","0.176","1","0","N/A","N/A","45726000","10216","1099000"
"1 - Within the past 30 days","7 - Hispanic","0","0.0001","0","0","0.101","0.0399","0.045","0.214","0.001","0.0005","0","0.003","50000","11","21000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Hispanic","0","0","0","0","0.032","0.0186","0.01","0.099","0","0.0002","0","0.001","14000","3","8000"
"3 - More than 12 months ago","7 - Hispanic","0.001","0.0003","0.001","0.002","0.098","0.0217","0.062","0.151","0.008","0.0018","0.005","0.012","345000","56","80000"
"8 - At some point in the past 12 months LOG ASSN","7 - Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Hispanic","0","0","0","0","0.212","0.169","0.034","0.673","0","0.0001","0","0","4000","2","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Hispanic","0.166","0.0039","0.159","0.174","0.169","0.004","0.161","0.177","0.99","0.0019","0.985","0.993","45261000","10128","1100000"
"97 - REFUSED","7 - Hispanic","0","0.0001","0","0","0.188","0.0788","0.076","0.395","0.001","0.0004","0","0.002","40000","11","18000"
"98 - MISSING","7 - Hispanic","0","0","0","0","0.138","0.0682","0.048","0.336","0","0.0001","0","0.001","12000","5","6000"
