"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"8 - At some point in the past 12 months LOG ASSN","12 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","12 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","12 - Respondent is 24 or 25 years old","0.03","0.0007","0.029","0.031","0.031","0.0007","0.029","0.032","0.983","0.0022","0.978","0.987","8254000","3654","210000"
"97 - REFUSED","12 - Respondent is 24 or 25 years old","0","0","0","0","0.023","0.0133","0.007","0.072","0.001","0.0003","0","0.002","5000","4","3000"
"98 - MISSING","12 - Respondent is 24 or 25 years old","0","0","0","0","0.008","0.006","0.002","0.036","0","0.0001","0","0.001","1000","2","1000"
"Overall","13 - Respondent is between 26 and 29 years old","0.066","0.0015","0.063","0.069","0.066","0.0015","0.063","0.069","1","0","N/A","N/A","18121000","3907","462000"
"1 - Within the past 30 days","13 - Respondent is between 26 and 29 years old","0","0.0001","0","0.001","0.166","0.0635","0.073","0.333","0.003","0.0014","0.001","0.008","56000","11","25000"
"2 - More than 30 days ago but within the past 12 mos","13 - Respondent is between 26 and 29 years old","0","0.0001","0","0","0.125","0.0475","0.056","0.254","0.002","0.001","0.001","0.005","44000","14","18000"
"3 - More than 12 months ago","13 - Respondent is between 26 and 29 years old","0.001","0.0002","0.001","0.001","0.067","0.0117","0.047","0.095","0.015","0.0027","0.01","0.021","266000","61","49000"
"8 - At some point in the past 12 months LOG ASSN","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","13 - Respondent is between 26 and 29 years old","0.064","0.0015","0.062","0.068","0.066","0.0015","0.063","0.069","0.98","0.0031","0.972","0.985","17750000","3819","460000"
"97 - REFUSED","13 - Respondent is between 26 and 29 years old","0","0","0","0","0.015","0.0104","0.003","0.06","0","0.0001","0","0.001","3000","2","2000"
"98 - MISSING","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","14 - Respondent is between 30 and 34 years old","0.081","0.0015","0.078","0.084","0.081","0.0015","0.078","0.084","1","0","N/A","N/A","22202000","4694","456000"
"1 - Within the past 30 days","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.062","0.0273","0.025","0.145","0.001","0.0004","0","0.002","21000","9","9000"
"2 - More than 30 days ago but within the past 12 mos","14 - Respondent is between 30 and 34 years old","0","0.0001","0","0","0.158","0.0512","0.08","0.289","0.003","0.0008","0.001","0.005","56000","15","17000"
"3 - More than 12 months ago","14 - Respondent is between 30 and 34 years old","0.002","0.0002","0.001","0.002","0.115","0.0146","0.089","0.148","0.021","0.0026","0.016","0.027","456000","103","59000"
"8 - At some point in the past 12 months LOG ASSN","14 - Respondent is between 30 and 34 years old","0","0","0","0","1","0","N/A","N/A","0","0.0001","0","0.001","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","14 - Respondent is between 30 and 34 years old","0.079","0.0015","0.076","0.082","0.08","0.0016","0.077","0.083","0.976","0.0028","0.969","0.981","21659000","4565","452000"
"97 - REFUSED","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.03","0.03","0.004","0.197","0","0.0003","0","0.002","7000","1","7000"
"98 - MISSING","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","15 - Respondent is between 35 and 49 years old","0.221","0.0024","0.217","0.226","0.221","0.0024","0.217","0.226","1","0","N/A","N/A","60908000","11134","842000"
"1 - Within the past 30 days","15 - Respondent is between 35 and 49 years old","0.001","0.0001","0","0.001","0.516","0.0594","0.398","0.633","0.003","0.0004","0.002","0.004","176000","38","26000"
"2 - More than 30 days ago but within the past 12 mos","15 - Respondent is between 35 and 49 years old","0","0.0001","0","0.001","0.292","0.0811","0.158","0.476","0.002","0.0004","0.001","0.003","104000","21","27000"
"3 - More than 12 months ago","15 - Respondent is between 35 and 49 years old","0.004","0.0003","0.003","0.005","0.262","0.0226","0.219","0.31","0.017","0.0015","0.014","0.02","1041000","215","94000"
"8 - At some point in the past 12 months LOG ASSN","15 - Respondent is between 35 and 49 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","15 - Respondent is between 35 and 49 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","15 - Respondent is between 35 and 49 years old","0.216","0.0023","0.212","0.221","0.22","0.0024","0.216","0.225","0.977","0.0017","0.974","0.981","59534000","10851","810000"
"97 - REFUSED","15 - Respondent is between 35 and 49 years old","0","0.0001","0","0.001","0.215","0.0997","0.077","0.473","0.001","0.0004","0","0.002","50000","7","25000"
"98 - MISSING","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.031","0.0287","0.005","0.178","0","0.0001","0","0","4000","2","4000"
"Overall","16 - Respondent is between 50 and 64 years old","0.227","0.0036","0.22","0.235","0.227","0.0036","0.22","0.235","1","0","N/A","N/A","62590000","4880","1196000"
"1 - Within the past 30 days","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0","0.11","0.0605","0.035","0.299","0.001","0.0004","0","0.002","38000","4","23000"
"2 - More than 30 days ago but within the past 12 mos","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0","0.074","0.0515","0.018","0.265","0","0.0003","0","0.002","26000","5","19000"
"3 - More than 12 months ago","16 - Respondent is between 50 and 64 years old","0.006","0.0006","0.004","0.007","0.381","0.0334","0.317","0.45","0.024","0.0026","0.019","0.03","1515000","122","169000"
"8 - At some point in the past 12 months LOG ASSN","16 - Respondent is between 50 and 64 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","16 - Respondent is between 50 and 64 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","16 - Respondent is between 50 and 64 years old","0.221","0.0036","0.214","0.229","0.226","0.0036","0.218","0.233","0.974","0.0028","0.968","0.979","60951000","4744","1172000"
"97 - REFUSED","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0.001","0.171","0.1279","0.033","0.558","0.001","0.0005","0","0.004","40000","4","34000"
"98 - MISSING","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0.001","0.161","0.1459","0.022","0.627","0","0.0004","0","0.003","22000","1","22000"
"Overall","17 - Respondent is 65 years old or older","0.192","0.0033","0.185","0.198","0.192","0.0033","0.185","0.198","1","0","N/A","N/A","52762000","3898","1120000"
"1 - Within the past 30 days","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","17 - Respondent is 65 years old or older","0","0.0002","0","0.001","0.173","0.1173","0.039","0.521","0.001","0.0009","0","0.006","61000","2","49000"
"3 - More than 12 months ago","17 - Respondent is 65 years old or older","0.002","0.0004","0.001","0.003","0.13","0.0259","0.086","0.191","0.01","0.0021","0.006","0.015","516000","43","112000"
"8 - At some point in the past 12 months LOG ASSN","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","17 - Respondent is 65 years old or older","0","0.0001","0","0.001","0.783","0.2061","0.24","0.976","0","0.0005","0","0.003","25000","1","25000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","17 - Respondent is 65 years old or older","0.189","0.0033","0.183","0.196","0.193","0.0033","0.186","0.199","0.986","0.0026","0.98","0.991","52031000","3844","1110000"
"97 - REFUSED","17 - Respondent is 65 years old or older","0","0.0001","0","0.001","0.357","0.1218","0.161","0.617","0.002","0.0007","0.001","0.004","82000","6","37000"
"98 - MISSING","17 - Respondent is 65 years old or older","0","0.0001","0","0.001","0.34","0.1692","0.102","0.701","0.001","0.0006","0","0.004","46000","2","33000"
"Overall","2 - Respondent is 13 years old","0.015","0.0004","0.015","0.016","0.015","0.0004","0.015","0.016","1","0","N/A","N/A","4218000","2247","104000"
"1 - Within the past 30 days","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Respondent is 13 years old","0","0","0","0","0.006","0.0062","0.001","0.045","0.001","0.0005","0","0.004","2000","1","2000"
"3 - More than 12 months ago","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Respondent is 13 years old","0.015","0.0004","0.015","0.016","0.016","0.0004","0.015","0.016","0.996","0.0013","0.993","0.998","4203000","2239","103000"
"97 - REFUSED","2 - Respondent is 13 years old","0","0","0","0","0.01","0.0105","0.001","0.079","0.001","0.0005","0","0.004","2000","1","2000"
"98 - MISSING","2 - Respondent is 13 years old","0","0","0","0","0.08","0.0429","0.026","0.219","0.003","0.0013","0.001","0.007","11000","6","5000"
"Overall","3 - Respondent is 14 years old","0.016","0.0005","0.015","0.017","0.016","0.0005","0.015","0.017","1","0","N/A","N/A","4294000","2222","127000"
"1 - Within the past 30 days","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Respondent is 14 years old","0","0","0","0","0.001","0.0006","0","0.004","0.001","0.0005","0","0.003","3000","2","2000"
"8 - At some point in the past 12 months LOG ASSN","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Respondent is 14 years old","0","0","0","0","0.036","0.0449","0.003","0.335","0","0.0003","0","0.002","1000","1","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Respondent is 14 years old","0.016","0.0005","0.015","0.016","0.016","0.0005","0.015","0.017","0.994","0.002","0.988","0.997","4268000","2209","129000"
"97 - REFUSED","3 - Respondent is 14 years old","0","0","0","0","0.042","0.0242","0.013","0.128","0.002","0.0012","0.001","0.006","10000","5","5000"
"98 - MISSING","3 - Respondent is 14 years old","0","0","0","0","0.091","0.0564","0.025","0.282","0.003","0.0015","0.001","0.008","12000","5","6000"
"Overall","4 - Respondent is 15 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.014","0.016","1","0","N/A","N/A","4189000","2323","110000"
"1 - Within the past 30 days","4 - Respondent is 15 years old","0","0","0","0","0.004","0.0041","0.001","0.03","0","0.0003","0","0.002","1000","1","1000"
"2 - More than 30 days ago but within the past 12 mos","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - Respondent is 15 years old","0","0","0","0","0.001","0.001","0","0.007","0.001","0.001","0","0.007","4000","2","4000"
"8 - At some point in the past 12 months LOG ASSN","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Respondent is 15 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.015","0.016","0.997","0.0014","0.992","0.999","4178000","2318","110000"
"97 - REFUSED","4 - Respondent is 15 years old","0","0","0","0","0.003","0.0031","0","0.023","0","0.0002","0","0.001","1000","1","1000"
"98 - MISSING","4 - Respondent is 15 years old","0","0","0","0","0.031","0.0308","0.004","0.203","0.001","0.001","0","0.007","4000","1","4000"
"Overall","5 - Respondent is 16 years old","0.015","0.0005","0.014","0.016","0.015","0.0005","0.014","0.016","1","0","N/A","N/A","4155000","2293","131000"
"1 - Within the past 30 days","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","5 - Respondent is 16 years old","0","0","0","0","0.001","0.0008","0","0.004","0.001","0.0007","0","0.004","5000","3","3000"
"8 - At some point in the past 12 months LOG ASSN","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Respondent is 16 years old","0.015","0.0005","0.014","0.016","0.015","0.0005","0.014","0.016","0.998","0.0008","0.996","0.999","4147000","2287","131000"
"97 - REFUSED","5 - Respondent is 16 years old","0","0","0","0","0.004","0.004","0.001","0.027","0","0.0002","0","0.001","1000","2","1000"
"98 - MISSING","5 - Respondent is 16 years old","0","0","0","0","0.015","0.0175","0.001","0.143","0","0.0005","0","0.004","2000","1","2000"
"Overall","6 - Respondent is 17 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.014","0.016","1","0","N/A","N/A","4113000","2226","123000"
"1 - Within the past 30 days","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Respondent is 17 years old","0","0","0","0","0.001","0.0011","0","0.008","0","0.0001","0","0.001","0","1","0"
"3 - More than 12 months ago","6 - Respondent is 17 years old","0","0","0","0","0","0.0001","0","0.001","0","0.0001","0","0.001","0","2","0"
"8 - At some point in the past 12 months LOG ASSN","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Respondent is 17 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.014","0.016","0.998","0.0009","0.995","0.999","4106000","2218","123000"
"97 - REFUSED","6 - Respondent is 17 years old","0","0","0","0","0.023","0.0174","0.005","0.1","0.001","0.0009","0","0.005","5000","3","4000"
"98 - MISSING","6 - Respondent is 17 years old","0","0","0","0","0.006","0.0045","0.001","0.027","0","0.0001","0","0.001","1000","2","1000"
"Overall","7 - Respondent is 18 years old","0.017","0.0006","0.016","0.019","0.017","0.0006","0.016","0.019","1","0","N/A","N/A","4738000","1912","181000"
"1 - Within the past 30 days","7 - Respondent is 18 years old","0","0","0","0","0.001","0.0009","0","0.007","0","0.0001","0","0","0","1","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","7 - Respondent is 18 years old","0","0","0","0","0.001","0.0005","0","0.003","0.001","0.0004","0","0.003","3000","2","2000"
"8 - At some point in the past 12 months LOG ASSN","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Respondent is 18 years old","0","0","0","0","0.141","0.1642","0.011","0.714","0.001","0.0009","0","0.007","4000","1","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Respondent is 18 years old","0.017","0.0006","0.016","0.018","0.017","0.0006","0.016","0.019","0.997","0.0014","0.992","0.999","4724000","1905","180000"
"97 - REFUSED","7 - Respondent is 18 years old","0","0","0","0","0.007","0.0051","0.002","0.03","0","0.0002","0","0.001","2000","2","1000"
"98 - MISSING","7 - Respondent is 18 years old","0","0","0","0","0.032","0.0316","0.004","0.203","0.001","0.0009","0","0.007","4000","1","4000"
"Overall","8 - Respondent is 19 years old","0.016","0.0005","0.015","0.017","0.016","0.0005","0.015","0.017","1","0","N/A","N/A","4338000","1769","157000"
"1 - Within the past 30 days","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","8 - Respondent is 19 years old","0","0","0","0","0.006","0.0044","0.002","0.025","0.001","0.0003","0","0.002","2000","3","1000"
"3 - More than 12 months ago","8 - Respondent is 19 years old","0","0","0","0","0","0.0003","0","0.002","0","0.0003","0","0.002","1000","1","1000"
"8 - At some point in the past 12 months LOG ASSN","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","8 - Respondent is 19 years old","0.016","0.0005","0.015","0.017","0.016","0.0006","0.015","0.017","0.996","0.0017","0.991","0.999","4323000","1757","159000"
"97 - REFUSED","8 - Respondent is 19 years old","0","0","0","0","0.02","0.0159","0.004","0.095","0.001","0.0008","0","0.005","5000","3","3000"
"98 - MISSING","8 - Respondent is 19 years old","0","0","0","0","0.053","0.0375","0.012","0.2","0.002","0.0012","0","0.007","7000","5","5000"
"Overall","9 - Respondent is 20 years old","0.015","0.0005","0.014","0.016","0.015","0.0005","0.014","0.016","1","0","N/A","N/A","4115000","1688","149000"
"1 - Within the past 30 days","9 - Respondent is 20 years old","0","0","0","0","0.011","0.0104","0.002","0.072","0.001","0.0009","0","0.006","4000","2","4000"
"2 - More than 30 days ago but within the past 12 mos","9 - Respondent is 20 years old","0","0","0","0","0.018","0.0123","0.005","0.069","0.002","0.0011","0","0.007","6000","2","5000"
"3 - More than 12 months ago","9 - Respondent is 20 years old","0","0","0","0","0.002","0.0006","0.001","0.004","0.002","0.0006","0.001","0.004","9000","7","2000"
"8 - At some point in the past 12 months LOG ASSN","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","9 - Respondent is 20 years old","0.015","0.0005","0.014","0.016","0.015","0.0005","0.014","0.016","0.995","0.0015","0.991","0.998","4096000","1676","149000"
"97 - REFUSED","9 - Respondent is 20 years old","0","0","0","0","0.001","0.0012","0","0.01","0","0.0001","0","0","0","1","0"
"98 - MISSING","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
