"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - More than 12 months ago","10 - Respondent is 21 years old","0","0","0","0","0.006","0.0012","0.004","0.009","0.006","0.001","0.004","0.008","7000","52","1000"
"8 - At some point in the past 12 months LOG ASSN","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","10 - Respondent is 21 years old","0","0","0","0","0.004","0.0037","0.001","0.025","0","0","0","0","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","10 - Respondent is 21 years old","0.015","0.0003","0.015","0.016","0.016","0.0003","0.015","0.016","0.991","0.0012","0.988","0.993","1150000","8326","22000"
"97 - REFUSED","10 - Respondent is 21 years old","0","0","0","0","0.012","0.0055","0.005","0.03","0.001","0.0002","0","0.001","1000","5","0"
"98 - MISSING","10 - Respondent is 21 years old","0","0","0","0","0.012","0.0089","0.003","0.051","0","0.0003","0","0.002","0","2","0"
"Overall","11 - Respondent is 22 or 23 years old","0.031","0.0003","0.031","0.032","0.031","0.0003","0.031","0.032","1","0","N/A","N/A","2360000","17470","25000"
"1 - Within the past 30 days","11 - Respondent is 22 or 23 years old","0","0","0","0","0.032","0.0065","0.021","0.048","0.002","0.0003","0.001","0.002","4000","39","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","11 - Respondent is 22 or 23 years old","0","0","0","0","0.068","0.0121","0.047","0.097","0.003","0.0006","0.002","0.004","7000","53","1000"
"3 - More than 12 months ago","11 - Respondent is 22 or 23 years old","0","0","0","0","0.016","0.0022","0.012","0.021","0.007","0.0009","0.005","0.009","16000","138","2000"
"8 - At some point in the past 12 months LOG ASSN","11 - Respondent is 22 or 23 years old","0","0","0","0","0.172","0.1108","0.042","0.498","0","0","0","0","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","11 - Respondent is 22 or 23 years old","0","0","0","0","0.021","0.0195","0.003","0.127","0","0.0001","0","0.001","0","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","11 - Respondent is 22 or 23 years old","0.031","0.0003","0.03","0.032","0.031","0.0003","0.031","0.032","0.988","0.001","0.985","0.99","2331000","17224","25000"
"97 - REFUSED","11 - Respondent is 22 or 23 years old","0","0","0","0","0.025","0.011","0.011","0.06","0.001","0.0002","0","0.001","1000","9","1000"
"98 - MISSING","11 - Respondent is 22 or 23 years old","0","0","0","0","0.017","0.0099","0.006","0.054","0","0.0001","0","0.001","1000","4","0"
"Overall","12 - Respondent is 24 or 25 years old","0.032","0.0004","0.031","0.033","0.032","0.0004","0.031","0.033","1","0","N/A","N/A","2417000","18333","32000"
"1 - Within the past 30 days","12 - Respondent is 24 or 25 years old","0","0","0","0","0.063","0.0119","0.043","0.091","0.003","0.0006","0.002","0.005","8000","58","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","12 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","12 - Respondent is 24 or 25 years old","0","0","0","0","0.081","0.0133","0.058","0.112","0.004","0.0005","0.003","0.005","9000","65","1000"
"3 - More than 12 months ago","12 - Respondent is 24 or 25 years old","0","0","0","0","0.026","0.0019","0.023","0.03","0.011","0.0008","0.01","0.013","27000","235","2000"
"8 - At some point in the past 12 months LOG ASSN","12 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","12 - Respondent is 24 or 25 years old","0","0","0","0","0.128","0.1609","0.008","0.726","0","0","0","0","0","2","0"
"9 - At some point in the lifetime LOG ASSN","12 - Respondent is 24 or 25 years old","0","0","0","0","0.049","0.0281","0.015","0.148","0","0.0001","0","0.001","1000","3","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","12 - Respondent is 24 or 25 years old","0.031","0.0004","0.031","0.032","0.032","0.0004","0.031","0.033","0.981","0.0012","0.978","0.983","2370000","17952","31000"
"97 - REFUSED","12 - Respondent is 24 or 25 years old","0","0","0","0","0.04","0.0125","0.021","0.074","0.001","0.0003","0","0.002","2000","14","1000"
"98 - MISSING","12 - Respondent is 24 or 25 years old","0","0","0","0","0.016","0.0111","0.004","0.063","0","0.0002","0","0.001","1000","4","0"
"Overall","13 - Respondent is between 26 and 29 years old","0.065","0.0006","0.064","0.066","0.065","0.0006","0.064","0.066","1","0","N/A","N/A","4921000","19793","49000"
"1 - Within the past 30 days","13 - Respondent is between 26 and 29 years old","0","0","0","0","0.14","0.0193","0.105","0.183","0.003","0.0006","0.003","0.005","17000","68","3000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","13 - Respondent is between 26 and 29 years old","0","0","0","0","0.372","0.2977","0.044","0.885","0","0.0001","0","0.001","0","1","0"
"2 - More than 30 days ago but within the past 12 mos","13 - Respondent is between 26 and 29 years old","0","0","0","0","0.125","0.0219","0.088","0.176","0.003","0.0005","0.002","0.004","13000","59","2000"
"3 - More than 12 months ago","13 - Respondent is between 26 and 29 years old","0.001","0.0001","0.001","0.001","0.071","0.0059","0.061","0.084","0.015","0.0013","0.012","0.018","73000","307","6000"
"8 - At some point in the past 12 months LOG ASSN","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","13 - Respondent is between 26 and 29 years old","0","0","0","0","0.024","0.0167","0.006","0.094","0","0","0","0","0","3","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","13 - Respondent is between 26 and 29 years old","0.064","0.0006","0.063","0.065","0.065","0.0006","0.064","0.066","0.977","0.0014","0.975","0.98","4810000","19335","48000"
"97 - REFUSED","13 - Respondent is between 26 and 29 years old","0","0","0","0","0.108","0.0314","0.059","0.189","0.001","0.0003","0.001","0.002","5000","14","2000"
"98 - MISSING","13 - Respondent is between 26 and 29 years old","0","0","0","0","0.058","0.0249","0.024","0.133","0","0.0002","0","0.001","2000","6","1000"
"Overall","14 - Respondent is between 30 and 34 years old","0.08","0.0008","0.078","0.081","0.08","0.0008","0.078","0.081","1","0","N/A","N/A","6027000","24223","57000"
"1 - Within the past 30 days","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.194","0.0205","0.156","0.239","0.004","0.0004","0.003","0.005","24000","96","3000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.166","0.0208","0.129","0.212","0.003","0.0003","0.002","0.004","18000","79","2000"
"3 - More than 12 months ago","14 - Respondent is between 30 and 34 years old","0.001","0.0001","0.001","0.002","0.111","0.0068","0.098","0.126","0.019","0.0011","0.017","0.021","113000","497","6000"
"8 - At some point in the past 12 months LOG ASSN","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.311","0.2008","0.064","0.748","0","0","0","0","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.042","0.0464","0.004","0.309","0","0.0001","0","0.001","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","14 - Respondent is between 30 and 34 years old","0.078","0.0008","0.076","0.079","0.079","0.0008","0.078","0.081","0.973","0.0011","0.971","0.976","5867000","23532","57000"
"97 - REFUSED","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.067","0.0199","0.037","0.12","0.001","0.0002","0","0.001","3000","12","1000"
"98 - MISSING","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.052","0.0205","0.023","0.112","0","0.0001","0","0.001","2000","5","1000"
"Overall","15 - Respondent is between 35 and 49 years old","0.224","0.0013","0.221","0.227","0.224","0.0013","0.221","0.227","1","0","N/A","N/A","16903000","56566","110000"
"1 - Within the past 30 days","15 - Respondent is between 35 and 49 years old","0.001","0.0001","0","0.001","0.371","0.03","0.313","0.433","0.003","0.0002","0.002","0.003","45000","170","4000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.47","0.3133","0.066","0.917","0","0","0","0","0","1","0"
"2 - More than 30 days ago but within the past 12 mos","15 - Respondent is between 35 and 49 years old","0","0.0001","0","0.001","0.283","0.0323","0.223","0.352","0.002","0.0002","0.001","0.002","30000","106","4000"
"3 - More than 12 months ago","15 - Respondent is between 35 and 49 years old","0.004","0.0001","0.003","0.004","0.268","0.0101","0.248","0.289","0.016","0.0007","0.015","0.017","272000","989","11000"
"8 - At some point in the past 12 months LOG ASSN","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.171","0.1748","0.017","0.71","0","0","0","0","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","15 - Respondent is between 35 and 49 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.124","0.0751","0.034","0.362","0","0.0001","0","0","1000","3","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","15 - Respondent is between 35 and 49 years old","0.219","0.0013","0.217","0.222","0.223","0.0013","0.221","0.226","0.979","0.0008","0.977","0.98","16542000","55256","109000"
"97 - REFUSED","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.18","0.0497","0.1","0.301","0.001","0.0001","0","0.001","9000","28","2000"
"98 - MISSING","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.094","0.0411","0.038","0.215","0","0.0001","0","0","3000","12","2000"
"Overall","16 - Respondent is between 50 and 64 years old","0.23","0.0017","0.226","0.233","0.23","0.0017","0.226","0.233","1","0","N/A","N/A","17329000","25213","160000"
"1 - Within the past 30 days","16 - Respondent is between 50 and 64 years old","0","0","0","0","0.149","0.0246","0.106","0.206","0.001","0.0002","0.001","0.002","18000","32","4000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","16 - Respondent is between 50 and 64 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0","0.172","0.0371","0.109","0.259","0.001","0.0003","0.001","0.002","18000","36","4000"
"3 - More than 12 months ago","16 - Respondent is between 50 and 64 years old","0.005","0.0002","0.005","0.006","0.392","0.0126","0.368","0.418","0.023","0.0011","0.021","0.025","398000","618","19000"
"8 - At some point in the past 12 months LOG ASSN","16 - Respondent is between 50 and 64 years old","0","0","0","0","0.346","0.2873","0.04","0.871","0","0","0","0","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","16 - Respondent is between 50 and 64 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","16 - Respondent is between 50 and 64 years old","0","0","0","0","0.505","0.1176","0.283","0.724","0","0.0001","0","0.001","6000","7","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","16 - Respondent is between 50 and 64 years old","0.224","0.0017","0.22","0.227","0.228","0.0017","0.224","0.231","0.974","0.0011","0.972","0.976","16875000","24500","158000"
"97 - REFUSED","16 - Respondent is between 50 and 64 years old","0","0","0","0","0.211","0.0555","0.12","0.343","0.001","0.0002","0","0.001","10000","13","3000"
"98 - MISSING","16 - Respondent is between 50 and 64 years old","0","0","0","0","0.101","0.0428","0.042","0.225","0","0.0001","0","0","3000","6","2000"
"Overall","17 - Respondent is 65 years old or older","0.183","0.0017","0.18","0.187","0.183","0.0017","0.18","0.187","1","0","N/A","N/A","13827000","18794","143000"
"1 - Within the past 30 days","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","17 - Respondent is 65 years old or older","0","0","0","0","0.043","0.0249","0.013","0.131","0","0.0002","0","0.001","5000","5","3000"
"3 - More than 12 months ago","17 - Respondent is 65 years old or older","0.001","0.0002","0.001","0.002","0.096","0.0109","0.076","0.12","0.007","0.0009","0.005","0.009","97000","147","12000"
"8 - At some point in the past 12 months LOG ASSN","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","17 - Respondent is 65 years old or older","0","0","0","0","0.872","0.1609","0.274","0.992","0","0.0001","0","0","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","17 - Respondent is 65 years old or older","0","0","0","0","0.121","0.1143","0.016","0.544","0","0.0001","0","0.001","1000","1","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","17 - Respondent is 65 years old or older","0.182","0.0017","0.178","0.185","0.185","0.0017","0.182","0.188","0.991","0.0009","0.989","0.993","13707000","18618","143000"
"97 - REFUSED","17 - Respondent is 65 years old or older","0","0","0","0","0.161","0.0503","0.083","0.288","0.001","0.0002","0","0.001","8000","12","3000"
"98 - MISSING","17 - Respondent is 65 years old or older","0","0","0","0","0.234","0.0763","0.115","0.418","0.001","0.0002","0","0.001","8000","10","3000"
"Overall","2 - Respondent is 13 years old","0.015","0.0002","0.015","0.015","0.015","0.0002","0.015","0.015","1","0","N/A","N/A","1134000","11445","13000"
"1 - Within the past 30 days","2 - Respondent is 13 years old","0","0","0","0","0.002","0.0015","0","0.01","0","0.0002","0","0.001","0","2","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Respondent is 13 years old","0","0","0","0","0.001","0.0011","0","0.008","0","0.0001","0","0.001","0","1","0"
"3 - More than 12 months ago","2 - Respondent is 13 years old","0","0","0","0","0","0.0002","0","0.001","0","0.0002","0","0.001","0","2","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Respondent is 13 years old","0","0","0","0","0.004","0.0036","0","0.027","0","0","0","0","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Respondent is 13 years old","0.015","0.0002","0.015","0.015","0.015","0.0002","0.015","0.016","0.996","0.0007","0.995","0.997","1130000","11397","13000"
"97 - REFUSED","2 - Respondent is 13 years old","0","0","0","0","0.03","0.0094","0.016","0.056","0.001","0.0004","0.001","0.002","1000","16","0"
"98 - MISSING","2 - Respondent is 13 years old","0","0","0","0","0.067","0.0193","0.037","0.118","0.002","0.0005","0.001","0.003","2000","26","1000"
"Overall","3 - Respondent is 14 years old","0.016","0.0002","0.015","0.016","0.016","0.0002","0.015","0.016","1","0","N/A","N/A","1193000","11525","16000"
"1 - Within the past 30 days","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Respondent is 14 years old","0","0","0","0","0.001","0.0003","0","0.001","0","0.0002","0","0.001","1000","6","0"
"8 - At some point in the past 12 months LOG ASSN","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Respondent is 14 years old","0","0","0","0","0.018","0.0116","0.005","0.064","0","0.0001","0","0.001","0","3","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Respondent is 14 years old","0.016","0.0002","0.015","0.016","0.016","0.0002","0.016","0.017","0.996","0.0009","0.994","0.997","1189000","11486","15000"
"97 - REFUSED","3 - Respondent is 14 years old","0","0","0","0","0.048","0.019","0.021","0.104","0.002","0.0007","0.001","0.004","2000","15","1000"
"98 - MISSING","3 - Respondent is 14 years old","0","0","0","0","0.052","0.018","0.025","0.102","0.001","0.0004","0.001","0.003","2000","15","1000"
"Overall","4 - Respondent is 15 years old","0.016","0.0002","0.015","0.016","0.016","0.0002","0.015","0.016","1","0","N/A","N/A","1181000","11782","16000"
"1 - Within the past 30 days","4 - Respondent is 15 years old","0","0","0","0","0.005","0.003","0.002","0.016","0.001","0.0003","0","0.002","1000","4","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Respondent is 15 years old","0","0","0","0","0.158","0.163","0.016","0.688","0","0.0001","0","0.001","0","1","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Respondent is 15 years old","0","0","0","0","0.003","0.0019","0.001","0.011","0","0.0002","0","0.001","0","3","0"
"3 - More than 12 months ago","4 - Respondent is 15 years old","0","0","0","0","0.001","0.0004","0","0.002","0.001","0.0003","0","0.002","1000","6","0"
"8 - At some point in the past 12 months LOG ASSN","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Respondent is 15 years old","0","0","0","0","0.023","0.0174","0.005","0.101","0","0.0002","0","0.001","0","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Respondent is 15 years old","0.016","0.0002","0.015","0.016","0.016","0.0002","0.015","0.016","0.997","0.0008","0.994","0.998","1177000","11748","16000"
"97 - REFUSED","4 - Respondent is 15 years old","0","0","0","0","0.017","0.0082","0.006","0.044","0.001","0.0003","0","0.002","1000","8","0"
"98 - MISSING","4 - Respondent is 15 years old","0","0","0","0","0.034","0.0135","0.015","0.074","0.001","0.0004","0","0.002","1000","10","0"
"Overall","5 - Respondent is 16 years old","0.016","0.0002","0.015","0.016","0.016","0.0002","0.015","0.016","1","0","N/A","N/A","1193000","11786","16000"
"1 - Within the past 30 days","5 - Respondent is 16 years old","0","0","0","0","0.004","0.0026","0.001","0.015","0","0.0003","0","0.002","0","3","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Respondent is 16 years old","0","0","0","0","0.005","0.0028","0.002","0.015","0","0.0003","0","0.001","1000","5","0"
"3 - More than 12 months ago","5 - Respondent is 16 years old","0","0","0","0","0.001","0.0003","0","0.002","0.001","0.0002","0","0.001","1000","11","0"
"8 - At some point in the past 12 months LOG ASSN","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Respondent is 16 years old","0.016","0.0002","0.015","0.016","0.016","0.0002","0.016","0.016","0.997","0.0007","0.995","0.998","1190000","11749","16000"
"97 - REFUSED","5 - Respondent is 16 years old","0","0","0","0","0.015","0.0063","0.006","0.034","0.001","0.0003","0","0.001","1000","10","0"
"98 - MISSING","5 - Respondent is 16 years old","0","0","0","0","0.036","0.0205","0.011","0.109","0.001","0.0006","0","0.003","1000","8","1000"
"Overall","6 - Respondent is 17 years old","0.015","0.0002","0.015","0.016","0.015","0.0002","0.015","0.016","1","0","N/A","N/A","1166000","11320","15000"
"1 - Within the past 30 days","6 - Respondent is 17 years old","0","0","0","0","0.005","0.0022","0.002","0.012","0.001","0.0002","0","0.001","1000","9","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Respondent is 17 years old","0","0","0","0","0.003","0.0019","0.001","0.011","0","0.0002","0","0.001","0","4","0"
"3 - More than 12 months ago","6 - Respondent is 17 years old","0","0","0","0","0.001","0.0003","0","0.002","0.001","0.0002","0","0.001","1000","16","0"
"8 - At some point in the past 12 months LOG ASSN","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Respondent is 17 years old","0.015","0.0002","0.015","0.016","0.016","0.0002","0.015","0.016","0.997","0.0006","0.996","0.998","1162000","11279","15000"
"97 - REFUSED","6 - Respondent is 17 years old","0","0","0","0","0.015","0.0092","0.004","0.05","0.001","0.0004","0","0.002","1000","4","0"
"98 - MISSING","6 - Respondent is 17 years old","0","0","0","0","0.016","0.0073","0.006","0.04","0","0.0002","0","0.001","1000","8","0"
"Overall","7 - Respondent is 18 years old","0.017","0.0002","0.016","0.017","0.017","0.0002","0.016","0.017","1","0","N/A","N/A","1280000","9123","19000"
