"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","Overall","0","0","0","0","0.332","0.3134","0.028","0.895","0","0","0","0","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","Overall","0","0","0","0","0.579","0.2369","0.164","0.907","0","0","0","0","10000","5","5000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","Overall","0.474","0.0029","0.468","0.479","0.482","0.0029","0.476","0.488","0.976","0.0014","0.973","0.979","128871000","26465","1125000"
"97 - REFUSED","1 - Male","Overall","0","0.0001","0","0.001","0.501","0.1163","0.283","0.719","0.001","0.0002","0","0.001","106000","25","30000"
"98 - MISSING","1 - Male","Overall","0","0.0001","0","0","0.832","0.0795","0.612","0.939","0.001","0.0002","0","0.001","73000","28","21000"
"Overall","2 - Female","Overall","0.515","0.0028","0.509","0.52","0.515","0.0028","0.509","0.52","1","0","N/A","N/A","140111000","29239","1285000"
"1 - Within the past 30 days","2 - Female","Overall","0","0.0001","0","0.001","0.247","0.0447","0.168","0.347","0.001","0.0002","0.001","0.001","123000","39","27000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","6000","1","6000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","Overall","0.001","0.0001","0","0.001","0.348","0.0541","0.248","0.462","0.001","0.0002","0.001","0.002","155000","41","27000"
"3 - More than 12 months ago","2 - Female","Overall","0.005","0.0005","0.004","0.006","0.355","0.0308","0.296","0.419","0.009","0.001","0.007","0.011","1248000","267","137000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","Overall","0","0","0","0","0.668","0.3134","0.105","0.972","0","0","0","0","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","Overall","0","0","0","0","0.421","0.2369","0.093","0.836","0","0","0","0","7000","2","5000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","Overall","0.509","0.0029","0.503","0.515","0.518","0.0029","0.512","0.524","0.988","0.0011","0.986","0.99","138449000","28862","1282000"
"97 - REFUSED","2 - Female","Overall","0","0.0001","0","0.001","0.499","0.1163","0.281","0.717","0.001","0.0003","0","0.002","106000","20","37000"
"98 - MISSING","2 - Female","Overall","0","0","0","0","0.168","0.0795","0.061","0.388","0","0","0","0","15000","6","7000"
"Overall","Overall","1 - Heterosexual, that is, straight","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","230459000","38862","1781000"
"1 - Within the past 30 days","Overall","1 - Heterosexual, that is, straight","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","427000","100","56000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","1 - Heterosexual, that is, straight","0.002","0.0003","0.001","0.002","1","0","N/A","N/A","0.002","0.0003","0.001","0.002","387000","89","59000"
"3 - More than 12 months ago","Overall","1 - Heterosexual, that is, straight","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","0.013","0.0008","0.012","0.015","3063000","532","197000"
"8 - At some point in the past 12 months LOG ASSN","Overall","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","4000","2","3000"
"9 - At some point in the lifetime LOG ASSN","Overall","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","5000","3","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","1 - Heterosexual, that is, straight","0.983","0.001","0.981","0.984","1","0","N/A","N/A","0.983","0.001","0.981","0.984","226452000","38118","1733000"
"97 - REFUSED","Overall","1 - Heterosexual, that is, straight","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","104000","13","44000"
"98 - MISSING","Overall","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","17000","5","9000"
"Overall","1 - Male","1 - Heterosexual, that is, straight","0.489","0.0032","0.483","0.496","0.489","0.0032","0.483","0.496","1","0","N/A","N/A","112739000","18764","1159000"
"1 - Within the past 30 days","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0002","0.001","0.002","0.778","0.0491","0.664","0.861","0.003","0.0004","0.002","0.004","332000","73","48000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0002","0.001","0.002","0.636","0.0582","0.513","0.744","0.002","0.0004","0.001","0.003","246000","54","49000"
"3 - More than 12 months ago","1 - Male","1 - Heterosexual, that is, straight","0.009","0.0007","0.008","0.01","0.664","0.0315","0.598","0.724","0.018","0.0014","0.015","0.021","2034000","326","164000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","1 - Heterosexual, that is, straight","0","0","0","0","0.332","0.3134","0.028","0.895","0","0","0","0","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","5000","3","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","1 - Heterosexual, that is, straight","0.478","0.0033","0.471","0.484","0.486","0.0034","0.479","0.493","0.976","0.0017","0.973","0.979","110067000","18296","1148000"
"97 - REFUSED","1 - Male","1 - Heterosexual, that is, straight","0","0.0001","0","0","0.383","0.1894","0.11","0.756","0","0.0002","0","0.001","40000","7","21000"
"98 - MISSING","1 - Male","1 - Heterosexual, that is, straight","0","0","0","0","0.788","0.196","0.261","0.975","0","0.0001","0","0","13000","4","8000"
"Overall","2 - Female","1 - Heterosexual, that is, straight","0.511","0.0032","0.504","0.517","0.511","0.0032","0.504","0.517","1","0","N/A","N/A","117720000","20098","1157000"
"1 - Within the past 30 days","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.222","0.0491","0.139","0.336","0.001","0.0002","0","0.001","95000","27","24000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","1 - Heterosexual, that is, straight","0.001","0.0001","0","0.001","0.364","0.0582","0.256","0.487","0.001","0.0002","0.001","0.002","141000","35","27000"
"3 - More than 12 months ago","2 - Female","1 - Heterosexual, that is, straight","0.004","0.0005","0.004","0.006","0.336","0.0315","0.276","0.402","0.009","0.001","0.007","0.011","1029000","206","116000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","1 - Heterosexual, that is, straight","0","0","0","0","0.668","0.3134","0.105","0.972","0","0","0","0","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","1 - Heterosexual, that is, straight","0.505","0.0034","0.498","0.512","0.514","0.0034","0.507","0.521","0.989","0.0011","0.986","0.991","116385000","19822","1165000"
"97 - REFUSED","2 - Female","1 - Heterosexual, that is, straight","0","0.0002","0","0.001","0.617","0.1894","0.244","0.89","0.001","0.0003","0","0.002","64000","6","39000"
"98 - MISSING","2 - Female","1 - Heterosexual, that is, straight","0","0","0","0","0.212","0.196","0.025","0.739","0","0","0","0","4000","1","4000"
"Overall","Overall","2 - Lesbian or Gay","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","4815000","951","272000"
"1 - Within the past 30 days","Overall","2 - Lesbian or Gay","0.002","0.0015","0.001","0.009","1","0","N/A","N/A","0.002","0.0015","0.001","0.009","12000","5","7000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","2 - Lesbian or Gay","0.007","0.004","0.002","0.022","1","0","N/A","N/A","0.007","0.004","0.002","0.022","34000","5","19000"
"3 - More than 12 months ago","Overall","2 - Lesbian or Gay","0.015","0.0045","0.008","0.027","1","0","N/A","N/A","0.015","0.0045","0.008","0.027","71000","19","22000"
"8 - At some point in the past 12 months LOG ASSN","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","2 - Lesbian or Gay","0.974","0.0068","0.956","0.984","1","0","N/A","N/A","0.974","0.0068","0.956","0.984","4689000","920","268000"
"97 - REFUSED","Overall","2 - Lesbian or Gay","0.002","0.0019","0","0.013","1","0","N/A","N/A","0.002","0.0019","0","0.013","10000","2","9000"
"98 - MISSING","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","2 - Lesbian or Gay","0.555","0.029","0.496","0.612","0.555","0.029","0.496","0.612","1","0","N/A","N/A","2672000","486","236000"
"1 - Within the past 30 days","1 - Male","2 - Lesbian or Gay","0.002","0.0014","0","0.009","0.777","0.1967","0.263","0.972","0.003","0.0026","0.001","0.016","9000","3","7000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","2 - Lesbian or Gay","0.007","0.004","0.002","0.022","1","0","N/A","N/A","0.013","0.007","0.004","0.038","34000","5","19000"
"3 - More than 12 months ago","1 - Male","2 - Lesbian or Gay","0.012","0.0048","0.005","0.027","0.799","0.1214","0.466","0.948","0.021","0.0088","0.009","0.048","57000","10","23000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","2 - Lesbian or Gay","0.532","0.0294","0.473","0.59","0.547","0.0297","0.487","0.605","0.959","0.0128","0.924","0.978","2563000","466","232000"
"97 - REFUSED","1 - Male","2 - Lesbian or Gay","0.002","0.0019","0","0.013","1","0","N/A","N/A","0.004","0.0035","0.001","0.025","10000","2","9000"
"98 - MISSING","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","2 - Lesbian or Gay","0.445","0.029","0.388","0.504","0.445","0.029","0.388","0.504","1","0","N/A","N/A","2143000","465","153000"
"1 - Within the past 30 days","2 - Female","2 - Lesbian or Gay","0.001","0.0005","0","0.003","0.223","0.1967","0.028","0.737","0.001","0.001","0","0.007","3000","2","2000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","2 - Lesbian or Gay","0.003","0.0015","0.001","0.008","0.201","0.1214","0.052","0.534","0.007","0.0033","0.002","0.018","14000","9","7000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","2 - Lesbian or Gay","0.442","0.0288","0.385","0.5","0.453","0.0297","0.395","0.513","0.992","0.0027","0.984","0.996","2126000","454","153000"
"97 - REFUSED","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","3 - Bisexual","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","7481000","1989","258000"
"1 - Within the past 30 days","Overall","3 - Bisexual","0.003","0.0015","0.001","0.008","1","0","N/A","N/A","0.003","0.0015","0.001","0.008","24000","10","11000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","3 - Bisexual","0.001","0.0008","0","0.006","1","0","N/A","N/A","0.001","0.0008","0","0.006","6000","1","6000"
"2 - More than 30 days ago but within the past 12 mos","Overall","3 - Bisexual","0.002","0.0014","0.001","0.008","1","0","N/A","N/A","0.002","0.0014","0.001","0.008","18000","6","10000"
"3 - More than 12 months ago","Overall","3 - Bisexual","0.04","0.0087","0.026","0.062","1","0","N/A","N/A","0.04","0.0087","0.026","0.062","300000","58","66000"
"8 - At some point in the past 12 months LOG ASSN","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","3 - Bisexual","0","0.0004","0","0.003","1","0","N/A","N/A","0","0.0004","0","0.003","3000","1","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","3 - Bisexual","0.953","0.0089","0.932","0.968","1","0","N/A","N/A","0.953","0.0089","0.932","0.968","7130000","1913","252000"
"97 - REFUSED","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","3 - Bisexual","0.292","0.0141","0.265","0.321","0.292","0.0141","0.265","0.321","1","0","N/A","N/A","2187000","456","138000"
"1 - Within the past 30 days","1 - Male","3 - Bisexual","0.001","0.0006","0","0.004","0.226","0.1737","0.038","0.682","0.003","0.002","0","0.013","5000","3","4000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","3 - Bisexual","0.001","0.0005","0","0.004","0.226","0.212","0.025","0.769","0.002","0.0019","0","0.014","4000","1","4000"
"3 - More than 12 months ago","1 - Male","3 - Bisexual","0.015","0.0054","0.008","0.031","0.383","0.1029","0.206","0.598","0.053","0.0182","0.026","0.103","115000","15","41000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","3 - Bisexual","0.276","0.014","0.249","0.305","0.289","0.0144","0.261","0.319","0.943","0.0181","0.894","0.97","2063000","437","134000"
"97 - REFUSED","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","3 - Bisexual","0.708","0.0141","0.679","0.735","0.708","0.0141","0.679","0.735","1","0","N/A","N/A","5293000","1533","198000"
"1 - Within the past 30 days","2 - Female","3 - Bisexual","0.003","0.0014","0.001","0.007","0.774","0.1737","0.318","0.962","0.004","0.0019","0.001","0.01","19000","7","10000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","3 - Bisexual","0.001","0.0008","0","0.006","1","0","N/A","N/A","0.001","0.0012","0","0.009","6000","1","6000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","3 - Bisexual","0.002","0.0013","0","0.007","0.774","0.212","0.231","0.975","0.003","0.0018","0.001","0.01","14000","5","9000"
"3 - More than 12 months ago","2 - Female","3 - Bisexual","0.025","0.0065","0.014","0.042","0.617","0.1029","0.402","0.794","0.035","0.0092","0.02","0.059","185000","43","50000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","3 - Bisexual","0","0.0004","0","0.003","1","0","N/A","N/A","0.001","0.0005","0","0.004","3000","1","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","3 - Bisexual","0.677","0.015","0.647","0.707","0.711","0.0144","0.681","0.739","0.957","0.0097","0.933","0.973","5067000","1476","193000"
"97 - REFUSED","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","85 - BAD DATA Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","27000","7","12000"
"1 - Within the past 30 days","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","85 - BAD DATA Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","27000","7","12000"
"97 - REFUSED","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","85 - BAD DATA Logically assigned","0.988","0.0131","0.9","0.999","0.988","0.0131","0.9","0.999","1","0","N/A","N/A","27000","6","12000"
"1 - Within the past 30 days","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","85 - BAD DATA Logically assigned","0.988","0.0131","0.9","0.999","0.988","0.0131","0.9","0.999","1","0","N/A","N/A","27000","6","12000"
"97 - REFUSED","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","85 - BAD DATA Logically assigned","0.012","0.0131","0.001","0.1","0.012","0.0131","0.001","0.1","1","0","N/A","N/A","0","1","0"
"1 - Within the past 30 days","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","85 - BAD DATA Logically assigned","0.012","0.0131","0.001","0.1","0.012","0.0131","0.001","0.1","1","0","N/A","N/A","0","1","0"
"97 - REFUSED","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","94 - DON T KNOW","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","1416000","256","156000"
"1 - Within the past 30 days","Overall","94 - DON T KNOW","0.01","0.0101","0.001","0.073","1","0","N/A","N/A","0.01","0.0101","0.001","0.073","14000","1","14000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","94 - DON T KNOW","0.03","0.0164","0.01","0.087","1","0","N/A","N/A","0.03","0.0164","0.01","0.087","43000","5","23000"
"8 - At some point in the past 12 months LOG ASSN","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","94 - DON T KNOW","0.003","0.0034","0","0.026","1","0","N/A","N/A","0.003","0.0034","0","0.026","5000","1","5000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","94 - DON T KNOW","0.948","0.0208","0.887","0.977","1","0","N/A","N/A","0.948","0.0208","0.887","0.977","1343000","245","158000"
"97 - REFUSED","Overall","94 - DON T KNOW","0.004","0.0036","0","0.027","1","0","N/A","N/A","0.004","0.0036","0","0.027","5000","1","5000"
"98 - MISSING","Overall","94 - DON T KNOW","0.004","0.0034","0.001","0.021","1","0","N/A","N/A","0.004","0.0034","0.001","0.021","6000","3","5000"
"Overall","1 - Male","94 - DON T KNOW","0.359","0.0468","0.271","0.457","0.359","0.0468","0.271","0.457","1","0","N/A","N/A","508000","90","81000"
