"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","Overall","0.474","0.0031","0.467","0.48","0.482","0.0031","0.476","0.488","0.977","0.0012","0.975","0.979","127605000","26606","1398000"
"97 - REFUSED","1 - Male","Overall","0","0","0","0","0.358","0.1283","0.154","0.631","0","0.0001","0","0","33000","18","10000"
"98 - MISSING","1 - Male","Overall","0","0.0001","0","0","0.487","0.1276","0.254","0.726","0","0.0001","0","0.001","59000","21","18000"
"Overall","2 - Female","Overall","0.515","0.0031","0.509","0.521","0.515","0.0031","0.509","0.521","1","0","N/A","N/A","138818000","29756","1416000"
"1 - Within the past 30 days","2 - Female","Overall","0.001","0.0001","0","0.001","0.35","0.0473","0.262","0.45","0.001","0.0003","0.001","0.002","184000","47","35000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","Overall","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","Overall","0","0.0001","0","0.001","0.325","0.0577","0.221","0.45","0.001","0.0002","0","0.001","104000","40","23000"
"3 - More than 12 months ago","2 - Female","Overall","0.005","0.0004","0.004","0.005","0.347","0.0228","0.302","0.394","0.009","0.0007","0.007","0.01","1220000","224","98000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","Overall","0","0","0","0","0.107","0.1351","0.007","0.672","0","0","0","0","2000","1","2000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","Overall","0","0","0","0","0.204","0.1352","0.046","0.577","0","0","0","0","10000","3","6000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","Overall","0.509","0.0031","0.503","0.515","0.518","0.0031","0.512","0.524","0.988","0.0008","0.986","0.99","137177000","29413","1406000"
"97 - REFUSED","2 - Female","Overall","0","0.0001","0","0.001","0.642","0.1283","0.369","0.846","0","0.0002","0","0.001","59000","11","28000"
"98 - MISSING","2 - Female","Overall","0","0.0001","0","0","0.513","0.1276","0.274","0.746","0","0.0001","0","0.001","62000","17","21000"
"Overall","Overall","1 - Heterosexual, that is, straight","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","229245000","39206","1951000"
"1 - Within the past 30 days","Overall","1 - Heterosexual, that is, straight","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","426000","92","51000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","1 - Heterosexual, that is, straight","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","288000","71","38000"
"3 - More than 12 months ago","Overall","1 - Heterosexual, that is, straight","0.014","0.0009","0.012","0.016","1","0","N/A","N/A","0.014","0.0009","0.012","0.016","3171000","506","202000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","1 - Heterosexual, that is, straight","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","18000","2","16000"
"9 - At some point in the lifetime LOG ASSN","Overall","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","39000","4","22000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","1 - Heterosexual, that is, straight","0.983","0.0009","0.981","0.984","1","0","N/A","N/A","0.983","0.0009","0.981","0.984","225265000","38522","1923000"
"97 - REFUSED","Overall","1 - Heterosexual, that is, straight","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","28000","6","15000"
"98 - MISSING","Overall","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","12000","3","7000"
"Overall","1 - Male","1 - Heterosexual, that is, straight","0.488","0.0032","0.482","0.495","0.488","0.0032","0.482","0.495","1","0","N/A","N/A","111975000","18702","1218000"
"1 - Within the past 30 days","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0002","0.001","0.002","0.69","0.0513","0.579","0.783","0.003","0.0003","0.002","0.003","294000","64","38000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0001","0.001","0.001","0.717","0.0665","0.567","0.83","0.002","0.0003","0.001","0.002","206000","48","31000"
"3 - More than 12 months ago","1 - Male","1 - Heterosexual, that is, straight","0.01","0.0007","0.008","0.011","0.689","0.0231","0.641","0.734","0.02","0.0014","0.017","0.023","2185000","337","162000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.893","0.1351","0.328","0.993","0","0.0001","0","0.001","16000","1","16000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.885","0.12","0.418","0.988","0","0.0002","0","0.001","34000","3","22000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","1 - Heterosexual, that is, straight","0.476","0.0032","0.47","0.483","0.485","0.0032","0.478","0.491","0.975","0.0013","0.973","0.978","109226000","18245","1197000"
"97 - REFUSED","1 - Male","1 - Heterosexual, that is, straight","0","0","0","0","0.179","0.1501","0.027","0.629","0","0","0","0","5000","2","4000"
"98 - MISSING","1 - Male","1 - Heterosexual, that is, straight","0","0","0","0","0.738","0.2368","0.194","0.971","0","0.0001","0","0","9000","2","6000"
"Overall","2 - Female","1 - Heterosexual, that is, straight","0.512","0.0032","0.505","0.518","0.512","0.0032","0.505","0.518","1","0","N/A","N/A","117271000","20504","1224000"
"1 - Within the past 30 days","2 - Female","1 - Heterosexual, that is, straight","0.001","0.0001","0","0.001","0.31","0.0513","0.217","0.421","0.001","0.0002","0.001","0.002","132000","28","29000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.283","0.0665","0.17","0.433","0.001","0.0002","0","0.001","81000","23","23000"
"3 - More than 12 months ago","2 - Female","1 - Heterosexual, that is, straight","0.004","0.0004","0.004","0.005","0.311","0.0231","0.266","0.359","0.008","0.0008","0.007","0.01","985000","169","93000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","1 - Heterosexual, that is, straight","0","0","0","0","0.107","0.1351","0.007","0.672","0","0","0","0","2000","1","2000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","1 - Heterosexual, that is, straight","0","0","0","0","0.115","0.12","0.012","0.582","0","0","0","0","4000","1","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","1 - Heterosexual, that is, straight","0.506","0.0032","0.5","0.513","0.515","0.0032","0.509","0.522","0.989","0.0008","0.988","0.991","116039000","20277","1216000"
"97 - REFUSED","2 - Female","1 - Heterosexual, that is, straight","0","0.0001","0","0","0.821","0.1501","0.371","0.973","0","0.0001","0","0.001","23000","4","14000"
"98 - MISSING","2 - Female","1 - Heterosexual, that is, straight","0","0","0","0","0.262","0.2368","0.029","0.806","0","0","0","0","3000","1","3000"
"Overall","Overall","2 - Lesbian or Gay","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","4449000","880","294000"
"1 - Within the past 30 days","Overall","2 - Lesbian or Gay","0.005","0.0027","0.002","0.015","1","0","N/A","N/A","0.005","0.0027","0.002","0.015","23000","6","12000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","2 - Lesbian or Gay","0.001","0.001","0","0.007","1","0","N/A","N/A","0.001","0.001","0","0.007","4000","1","4000"
"3 - More than 12 months ago","Overall","2 - Lesbian or Gay","0.029","0.0105","0.014","0.059","1","0","N/A","N/A","0.029","0.0105","0.014","0.059","130000","17","49000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","2 - Lesbian or Gay","0.002","0.0016","0.001","0.009","1","0","N/A","N/A","0.002","0.0016","0.001","0.009","10000","2","7000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","2 - Lesbian or Gay","0.963","0.0109","0.933","0.979","1","0","N/A","N/A","0.963","0.0109","0.933","0.979","4282000","854","282000"
"97 - REFUSED","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","2 - Lesbian or Gay","0.574","0.0253","0.523","0.624","0.574","0.0253","0.523","0.624","1","0","N/A","N/A","2554000","473","202000"
"1 - Within the past 30 days","1 - Male","2 - Lesbian or Gay","0.005","0.0027","0.002","0.015","0.985","0.0164","0.873","0.998","0.009","0.0047","0.003","0.025","23000","5","12000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","2 - Lesbian or Gay","0.001","0.001","0","0.007","1","0","N/A","N/A","0.002","0.0017","0","0.013","4000","1","4000"
"3 - More than 12 months ago","1 - Male","2 - Lesbian or Gay","0.011","0.0058","0.004","0.032","0.374","0.1739","0.118","0.726","0.019","0.0102","0.006","0.055","49000","7","27000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","2 - Lesbian or Gay","0.001","0.0013","0","0.009","0.574","0.3457","0.073","0.959","0.002","0.0022","0","0.016","6000","1","6000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","2 - Lesbian or Gay","0.556","0.0259","0.503","0.607","0.577","0.0261","0.524","0.629","0.968","0.0115","0.935","0.985","2473000","459","196000"
"97 - REFUSED","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","2 - Lesbian or Gay","0.426","0.0253","0.376","0.477","0.426","0.0253","0.376","0.477","1","0","N/A","N/A","1896000","407","169000"
"1 - Within the past 30 days","2 - Female","2 - Lesbian or Gay","0","0.0001","0","0.001","0.015","0.0164","0.002","0.127","0","0.0002","0","0.001","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","2 - Lesbian or Gay","0.018","0.009","0.007","0.048","0.626","0.1739","0.274","0.882","0.043","0.0209","0.016","0.111","81000","10","41000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","2 - Lesbian or Gay","0.001","0.0009","0","0.007","0.426","0.3457","0.041","0.927","0.002","0.0022","0","0.016","4000","1","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","2 - Lesbian or Gay","0.407","0.0256","0.356","0.459","0.423","0.0261","0.371","0.476","0.955","0.021","0.888","0.982","1810000","395","165000"
"97 - REFUSED","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","3 - Bisexual","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","6102000","1773","267000"
"1 - Within the past 30 days","Overall","3 - Bisexual","0.011","0.0032","0.006","0.019","1","0","N/A","N/A","0.011","0.0032","0.006","0.019","64000","18","20000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","3 - Bisexual","0.003","0.001","0.002","0.006","1","0","N/A","N/A","0.003","0.001","0.002","0.006","18000","15","6000"
"3 - More than 12 months ago","Overall","3 - Bisexual","0.029","0.0059","0.019","0.043","1","0","N/A","N/A","0.029","0.0059","0.019","0.043","174000","48","36000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","3 - Bisexual","0.958","0.0067","0.942","0.969","1","0","N/A","N/A","0.958","0.0067","0.942","0.969","5843000","1691","261000"
"97 - REFUSED","Overall","3 - Bisexual","0","0.0004","0","0.003","1","0","N/A","N/A","0","0.0004","0","0.003","2000","1","2000"
"98 - MISSING","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","3 - Bisexual","0.283","0.0168","0.25","0.318","0.283","0.0168","0.25","0.318","1","0","N/A","N/A","1726000","387","141000"
"1 - Within the past 30 days","1 - Male","3 - Bisexual","0.003","0.0017","0.001","0.009","0.261","0.1262","0.087","0.568","0.01","0.0061","0.003","0.034","17000","4","10000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","3 - Bisexual","0","0.0003","0","0.001","0.123","0.0858","0.028","0.409","0.001","0.0009","0","0.005","2000","2","2000"
"3 - More than 12 months ago","1 - Male","3 - Bisexual","0.005","0.0028","0.002","0.015","0.192","0.0852","0.073","0.417","0.019","0.0094","0.007","0.051","33000","9","17000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","3 - Bisexual","0.274","0.0162","0.243","0.308","0.286","0.0173","0.253","0.322","0.97","0.0111","0.938","0.985","1673000","372","138000"
"97 - REFUSED","1 - Male","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","3 - Bisexual","0.717","0.0168","0.682","0.75","0.717","0.0168","0.682","0.75","1","0","N/A","N/A","4376000","1386","195000"
"1 - Within the past 30 days","2 - Female","3 - Bisexual","0.008","0.0025","0.004","0.015","0.739","0.1262","0.432","0.913","0.011","0.0035","0.006","0.021","48000","14","16000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","3 - Bisexual","0.003","0.0009","0.001","0.005","0.877","0.0858","0.591","0.972","0.004","0.0013","0.002","0.007","16000","13","6000"
"3 - More than 12 months ago","2 - Female","3 - Bisexual","0.023","0.0051","0.015","0.036","0.808","0.0852","0.583","0.927","0.032","0.0073","0.02","0.05","141000","39","31000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","3 - Bisexual","0.683","0.0185","0.645","0.719","0.714","0.0173","0.678","0.747","0.953","0.0081","0.934","0.967","4170000","1319","193000"
"97 - REFUSED","2 - Female","3 - Bisexual","0","0.0004","0","0.003","1","0","N/A","N/A","0.001","0.0006","0","0.004","2000","1","2000"
"98 - MISSING","2 - Female","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","89 - LEGITIMATE SKIP Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","5000","2","4000"
"1 - Within the past 30 days","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","89 - LEGITIMATE SKIP Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","5000","2","4000"
"97 - REFUSED","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","89 - LEGITIMATE SKIP Logically assigned","0.25","0.2651","0.019","0.851","0.25","0.2651","0.019","0.851","1","0","N/A","N/A","1000","1","1000"
"1 - Within the past 30 days","1 - Male","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","89 - LEGITIMATE SKIP Logically assigned","0.25","0.2651","0.019","0.851","0.25","0.2651","0.019","0.851","1","0","N/A","N/A","1000","1","1000"
"97 - REFUSED","1 - Male","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","89 - LEGITIMATE SKIP Logically assigned","0.75","0.2651","0.149","0.981","0.75","0.2651","0.149","0.981","1","0","N/A","N/A","4000","1","4000"
"1 - Within the past 30 days","2 - Female","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","89 - LEGITIMATE SKIP Logically assigned","0.75","0.2651","0.149","0.981","0.75","0.2651","0.149","0.981","1","0","N/A","N/A","4000","1","4000"
"97 - REFUSED","2 - Female","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","94 - DON T KNOW","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","1569000","272","149000"
"1 - Within the past 30 days","Overall","94 - DON T KNOW","0.005","0.0035","0.001","0.021","1","0","N/A","N/A","0.005","0.0035","0.001","0.021","7000","2","5000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","94 - DON T KNOW","0.003","0.0023","0.001","0.013","1","0","N/A","N/A","0.003","0.0023","0.001","0.013","5000","2","3000"
"3 - More than 12 months ago","Overall","94 - DON T KNOW","0.005","0.0038","0.001","0.022","1","0","N/A","N/A","0.005","0.0038","0.001","0.022","8000","2","6000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
