"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - More than 30 days ago but within the past 12 mos","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Respondent is 12 years old","0.014","0.0005","0.013","0.015","0.014","0.0005","0.013","0.015","0.996","0.0021","0.988","0.998","3797000","2062","130000"
"97 - REFUSED","1 - Respondent is 12 years old","0","0","0","0","0.001","0.001","0","0.008","0","0","0","0","0","1","0"
"98 - MISSING","1 - Respondent is 12 years old","0","0","0","0","0.098","0.0527","0.032","0.265","0.004","0.0021","0.002","0.012","17000","7","8000"
"Overall","10 - Respondent is 21 years old","0.016","0.0005","0.015","0.017","0.016","0.0005","0.015","0.017","1","0","N/A","N/A","4165000","1734","139000"
"1 - Within the past 30 days","10 - Respondent is 21 years old","0","0","0","0","0.001","0.0013","0","0.01","0","0.0001","0","0.001","1000","1","1000"
"2 - More than 30 days ago but within the past 12 mos","10 - Respondent is 21 years old","0","0","0","0","0.022","0.0119","0.007","0.064","0.002","0.0011","0.001","0.006","8000","4","5000"
"3 - More than 12 months ago","10 - Respondent is 21 years old","0","0","0","0","0.009","0.0035","0.004","0.02","0.008","0.003","0.003","0.017","31000","16","13000"
"8 - At some point in the past 12 months LOG ASSN","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","10 - Respondent is 21 years old","0.015","0.0005","0.014","0.016","0.016","0.0005","0.015","0.017","0.99","0.0033","0.98","0.995","4121000","1712","136000"
"97 - REFUSED","10 - Respondent is 21 years old","0","0","0","0","0.018","0.0162","0.003","0.103","0.001","0.0008","0","0.006","3000","1","3000"
"98 - MISSING","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","11 - Respondent is 22 or 23 years old","0.032","0.0008","0.03","0.034","0.032","0.0008","0.03","0.034","1","0","N/A","N/A","8573000","3605","180000"
"1 - Within the past 30 days","11 - Respondent is 22 or 23 years old","0","0","0","0","0.02","0.0107","0.007","0.057","0.001","0.0005","0","0.003","8000","5","4000"
"2 - More than 30 days ago but within the past 12 mos","11 - Respondent is 22 or 23 years old","0","0","0","0","0.045","0.0227","0.016","0.12","0.002","0.0011","0.001","0.006","17000","7","9000"
"3 - More than 12 months ago","11 - Respondent is 22 or 23 years old","0","0.0001","0","0","0.018","0.0042","0.011","0.029","0.007","0.0017","0.005","0.012","63000","30","14000"
"8 - At some point in the past 12 months LOG ASSN","11 - Respondent is 22 or 23 years old","0","0","0","0","1","0","N/A","N/A","0","0.0002","0","0.001","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","11 - Respondent is 22 or 23 years old","0.032","0.0008","0.03","0.033","0.032","0.0008","0.031","0.034","0.989","0.002","0.984","0.992","8477000","3559","178000"
"97 - REFUSED","11 - Respondent is 22 or 23 years old","0","0","0","0","0.021","0.0183","0.003","0.116","0","0.0004","0","0.003","4000","2","3000"
"98 - MISSING","11 - Respondent is 22 or 23 years old","0","0","0","0","0.012","0.0122","0.002","0.088","0","0.0002","0","0.002","2000","1","2000"
"Overall","12 - Respondent is 24 or 25 years old","0.034","0.0008","0.033","0.036","0.034","0.0008","0.033","0.036","1","0","N/A","N/A","9150000","3908","222000"
"1 - Within the past 30 days","12 - Respondent is 24 or 25 years old","0","0","0","0","0.069","0.0302","0.028","0.16","0.003","0.0013","0.001","0.007","28000","7","12000"
"2 - More than 30 days ago but within the past 12 mos","12 - Respondent is 24 or 25 years old","0","0","0","0","0.079","0.0288","0.037","0.16","0.003","0.0011","0.002","0.006","30000","13","10000"
"3 - More than 12 months ago","12 - Respondent is 24 or 25 years old","0","0.0001","0","0","0.023","0.0048","0.015","0.035","0.009","0.0019","0.006","0.014","82000","46","18000"
"8 - At some point in the past 12 months LOG ASSN","12 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","12 - Respondent is 24 or 25 years old","0","0","0","0","0.062","0.0725","0.005","0.445","0","0.0004","0","0.003","3000","1","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","12 - Respondent is 24 or 25 years old","0.034","0.0008","0.032","0.035","0.034","0.0008","0.033","0.036","0.983","0.0026","0.977","0.988","8996000","3839","217000"
"97 - REFUSED","12 - Respondent is 24 or 25 years old","0","0","0","0","0.048","0.0377","0.01","0.209","0.001","0.0007","0","0.005","9000","2","7000"
"98 - MISSING","12 - Respondent is 24 or 25 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","13 - Respondent is between 26 and 29 years old","0.064","0.0013","0.062","0.067","0.064","0.0013","0.062","0.067","1","0","N/A","N/A","17177000","4081","357000"
"1 - Within the past 30 days","13 - Respondent is between 26 and 29 years old","0","0.0001","0","0","0.161","0.039","0.097","0.255","0.004","0.001","0.002","0.006","66000","12","17000"
"2 - More than 30 days ago but within the past 12 mos","13 - Respondent is between 26 and 29 years old","0","0.0001","0","0","0.097","0.0398","0.041","0.211","0.002","0.001","0.001","0.006","37000","8","18000"
"3 - More than 12 months ago","13 - Respondent is between 26 and 29 years old","0.001","0.0001","0","0.001","0.05","0.0096","0.034","0.073","0.01","0.0019","0.007","0.015","179000","53","32000"
"8 - At some point in the past 12 months LOG ASSN","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","13 - Respondent is between 26 and 29 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","13 - Respondent is between 26 and 29 years old","0.063","0.0013","0.06","0.066","0.064","0.0013","0.061","0.067","0.981","0.0023","0.976","0.985","16856000","4001","351000"
"97 - REFUSED","13 - Respondent is between 26 and 29 years old","0","0","0","0","0.118","0.0649","0.037","0.319","0.001","0.0007","0","0.004","22000","4","12000"
"98 - MISSING","13 - Respondent is between 26 and 29 years old","0","0","0","0","0.1","0.0587","0.029","0.292","0.001","0.0007","0","0.004","17000","3","12000"
"Overall","14 - Respondent is between 30 and 34 years old","0.079","0.0016","0.076","0.082","0.079","0.0016","0.076","0.082","1","0","N/A","N/A","21146000","5003","458000"
"1 - Within the past 30 days","14 - Respondent is between 30 and 34 years old","0","0.0001","0","0.001","0.26","0.0555","0.165","0.386","0.005","0.0013","0.003","0.008","106000","19","27000"
"2 - More than 30 days ago but within the past 12 mos","14 - Respondent is between 30 and 34 years old","0","0.0001","0","0","0.181","0.0483","0.103","0.299","0.003","0.001","0.002","0.006","69000","18","20000"
"3 - More than 12 months ago","14 - Respondent is between 30 and 34 years old","0.001","0.0002","0.001","0.002","0.102","0.0117","0.08","0.128","0.017","0.0021","0.013","0.022","364000","104","44000"
"8 - At some point in the past 12 months LOG ASSN","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","14 - Respondent is between 30 and 34 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","14 - Respondent is between 30 and 34 years old","0.077","0.0016","0.074","0.08","0.078","0.0016","0.075","0.082","0.973","0.0028","0.967","0.978","20585000","4858","453000"
"97 - REFUSED","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.039","0.0358","0.006","0.218","0","0.0003","0","0.002","7000","2","7000"
"98 - MISSING","14 - Respondent is between 30 and 34 years old","0","0","0","0","0.087","0.0675","0.017","0.345","0.001","0.0005","0","0.003","15000","2","11000"
"Overall","15 - Respondent is between 35 and 49 years old","0.226","0.0027","0.22","0.231","0.226","0.0027","0.22","0.231","1","0","N/A","N/A","60441000","11169","839000"
"1 - Within the past 30 days","15 - Respondent is between 35 and 49 years old","0","0.0001","0","0.001","0.259","0.0576","0.16","0.39","0.002","0.0004","0.001","0.003","105000","21","27000"
"2 - More than 30 days ago but within the past 12 mos","15 - Respondent is between 35 and 49 years old","0","0.0001","0","0.001","0.271","0.0662","0.159","0.421","0.002","0.0005","0.001","0.003","103000","19","29000"
"3 - More than 12 months ago","15 - Respondent is between 35 and 49 years old","0.004","0.0003","0.003","0.004","0.275","0.0231","0.231","0.324","0.016","0.0014","0.014","0.019","985000","201","82000"
"8 - At some point in the past 12 months LOG ASSN","15 - Respondent is between 35 and 49 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.208","0.184","0.027","0.712","0","0.0001","0","0.001","12000","2","8000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","15 - Respondent is between 35 and 49 years old","0.221","0.0027","0.216","0.227","0.225","0.0027","0.22","0.231","0.979","0.0015","0.976","0.982","59196000","10918","838000"
"97 - REFUSED","15 - Respondent is between 35 and 49 years old","0","0","0","0","0.103","0.0589","0.031","0.292","0","0.0002","0","0.001","19000","5","11000"
"98 - MISSING","15 - Respondent is between 35 and 49 years old","0","0.0001","0","0.001","0.121","0.1037","0.019","0.494","0","0.0003","0","0.002","21000","3","20000"
"Overall","16 - Respondent is between 50 and 64 years old","0.233","0.0037","0.226","0.241","0.233","0.0037","0.226","0.241","1","0","N/A","N/A","62413000","5157","1213000"
"1 - Within the past 30 days","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0.001","0.172","0.0577","0.084","0.319","0.001","0.0004","0.001","0.002","70000","8","27000"
"2 - More than 30 days ago but within the past 12 mos","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0.001","0.217","0.0732","0.104","0.397","0.001","0.0005","0.001","0.003","83000","11","33000"
"3 - More than 12 months ago","16 - Respondent is between 50 and 64 years old","0.006","0.0006","0.005","0.007","0.427","0.028","0.372","0.484","0.025","0.0026","0.02","0.03","1529000","133","157000"
"8 - At some point in the past 12 months LOG ASSN","16 - Respondent is between 50 and 64 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0.001","0.67","0.2477","0.176","0.951","0.001","0.0006","0","0.004","37000","1","37000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","16 - Respondent is between 50 and 64 years old","0.227","0.0037","0.219","0.234","0.231","0.0037","0.223","0.238","0.972","0.0027","0.966","0.977","60649000","5000","1221000"
"97 - REFUSED","16 - Respondent is between 50 and 64 years old","0","0.0001","0","0.001","0.233","0.1167","0.076","0.53","0.001","0.0004","0","0.002","43000","3","25000"
"98 - MISSING","16 - Respondent is between 50 and 64 years old","0","0","0","0","0.009","0.0092","0.001","0.068","0","0","0","0","2000","1","2000"
"Overall","17 - Respondent is 65 years old or older","0.175","0.004","0.167","0.183","0.175","0.004","0.167","0.183","1","0","N/A","N/A","46717000","3598","1279000"
"1 - Within the past 30 days","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","17 - Respondent is 65 years old or older","0","0","0","0","0.025","0.025","0.003","0.166","0","0.0002","0","0.002","10000","1","10000"
"3 - More than 12 months ago","17 - Respondent is 65 years old or older","0.001","0.0003","0.001","0.002","0.076","0.0232","0.04","0.138","0.006","0.0019","0.003","0.011","271000","16","89000"
"8 - At some point in the past 12 months LOG ASSN","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","17 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","17 - Respondent is 65 years old or older","0.173","0.004","0.165","0.181","0.176","0.004","0.168","0.184","0.992","0.0021","0.986","0.995","46339000","3576","1272000"
"97 - REFUSED","17 - Respondent is 65 years old or older","0","0.0001","0","0.001","0.199","0.1117","0.057","0.504","0.001","0.0005","0","0.003","36000","3","25000"
"98 - MISSING","17 - Respondent is 65 years old or older","0","0.0002","0","0.001","0.353","0.1946","0.09","0.751","0.001","0.001","0","0.006","61000","2","47000"
"Overall","2 - Respondent is 13 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.014","0.016","1","0","N/A","N/A","3966000","2222","111000"
"1 - Within the past 30 days","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Respondent is 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Respondent is 13 years old","0","0","0","0","0.013","0.0156","0.001","0.132","0","0.0002","0","0.001","1000","1","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Respondent is 13 years old","0.015","0.0004","0.014","0.016","0.015","0.0004","0.014","0.016","0.996","0.0016","0.991","0.998","3949000","2214","111000"
"97 - REFUSED","2 - Respondent is 13 years old","0","0","0","0","0.037","0.0274","0.008","0.153","0.002","0.0012","0","0.007","7000","2","5000"
"98 - MISSING","2 - Respondent is 13 years old","0","0","0","0","0.052","0.0287","0.016","0.15","0.002","0.0011","0.001","0.006","9000","5","4000"
"Overall","3 - Respondent is 14 years old","0.016","0.0005","0.016","0.017","0.016","0.0005","0.016","0.017","1","0","N/A","N/A","4402000","2347","117000"
"1 - Within the past 30 days","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Respondent is 14 years old","0","0","0","0","0.001","0.0008","0","0.005","0.001","0.0007","0","0.004","4000","2","3000"
"8 - At some point in the past 12 months LOG ASSN","3 - Respondent is 14 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Respondent is 14 years old","0","0","0","0","0.016","0.0197","0.001","0.162","0","0.0002","0","0.002","1000","1","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Respondent is 14 years old","0.016","0.0005","0.015","0.017","0.017","0.0005","0.016","0.018","0.994","0.0028","0.985","0.998","4376000","2338","117000"
"97 - REFUSED","3 - Respondent is 14 years old","0","0","0","0","0.071","0.0613","0.012","0.33","0.003","0.0026","0","0.018","13000","2","12000"
"98 - MISSING","3 - Respondent is 14 years old","0","0","0","0","0.04","0.0273","0.01","0.148","0.002","0.0008","0.001","0.004","7000","4","4000"
"Overall","4 - Respondent is 15 years old","0.016","0.0005","0.015","0.017","0.016","0.0005","0.015","0.017","1","0","N/A","N/A","4296000","2368","139000"
"1 - Within the past 30 days","4 - Respondent is 15 years old","0","0","0","0","0.005","0.0048","0.001","0.035","0","0.0005","0","0.003","2000","1","2000"
"2 - More than 30 days ago but within the past 12 mos","4 - Respondent is 15 years old","0","0","0","0","0.007","0.0068","0.001","0.047","0.001","0.0006","0","0.005","3000","1","3000"
"3 - More than 12 months ago","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","4 - Respondent is 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Respondent is 15 years old","0","0","0","0","0.03","0.0358","0.003","0.267","0","0.0004","0","0.003","2000","1","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Respondent is 15 years old","0.016","0.0005","0.015","0.017","0.016","0.0005","0.015","0.017","0.996","0.0015","0.991","0.998","4278000","2359","138000"
"97 - REFUSED","4 - Respondent is 15 years old","0","0","0","0","0.023","0.0144","0.006","0.079","0.001","0.0006","0","0.003","4000","3","2000"
"98 - MISSING","4 - Respondent is 15 years old","0","0","0","0","0.048","0.0326","0.012","0.174","0.002","0.0011","0.001","0.006","8000","3","5000"
"Overall","5 - Respondent is 16 years old","0.016","0.0004","0.015","0.017","0.016","0.0004","0.015","0.017","1","0","N/A","N/A","4206000","2318","116000"
"1 - Within the past 30 days","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Respondent is 16 years old","0","0","0","0","0.009","0.0084","0.001","0.057","0.001","0.0008","0","0.006","3000","1","3000"
"3 - More than 12 months ago","5 - Respondent is 16 years old","0","0","0","0","0.001","0.0006","0","0.003","0.001","0.0005","0","0.003","4000","4","2000"
"8 - At some point in the past 12 months LOG ASSN","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Respondent is 16 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Respondent is 16 years old","0.016","0.0004","0.015","0.017","0.016","0.0004","0.015","0.017","0.998","0.001","0.995","0.999","4197000","2310","116000"
"97 - REFUSED","5 - Respondent is 16 years old","0","0","0","0","0.007","0.0066","0.001","0.046","0","0.0003","0","0.002","1000","2","1000"
"98 - MISSING","5 - Respondent is 16 years old","0","0","0","0","0.003","0.0034","0","0.026","0","0.0001","0","0.001","1000","1","1000"
"Overall","6 - Respondent is 17 years old","0.016","0.0005","0.015","0.017","0.016","0.0005","0.015","0.017","1","0","N/A","N/A","4209000","2260","134000"
"1 - Within the past 30 days","6 - Respondent is 17 years old","0","0","0","0","0.006","0.0046","0.001","0.028","0.001","0.0004","0","0.003","2000","2","2000"
"2 - More than 30 days ago but within the past 12 mos","6 - Respondent is 17 years old","0","0","0","0","0.008","0.0084","0.001","0.06","0.001","0.0008","0","0.006","3000","1","3000"
"3 - More than 12 months ago","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Respondent is 17 years old","0.016","0.0005","0.015","0.017","0.016","0.0005","0.015","0.017","0.997","0.002","0.989","0.999","4196000","2256","134000"
"97 - REFUSED","6 - Respondent is 17 years old","0","0","0","0","0.042","0.0375","0.007","0.222","0.002","0.0018","0","0.014","8000","1","8000"
"98 - MISSING","6 - Respondent is 17 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","7 - Respondent is 18 years old","0.017","0.0006","0.016","0.019","0.017","0.0006","0.016","0.019","1","0","N/A","N/A","4660000","1860","161000"
"1 - Within the past 30 days","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Respondent is 18 years old","0","0","0","0","0.002","0.002","0","0.015","0","0.0002","0","0.001","1000","1","1000"
"3 - More than 12 months ago","7 - Respondent is 18 years old","0","0","0","0","0.002","0.0012","0","0.007","0.001","0.0009","0","0.005","6000","2","4000"
"8 - At some point in the past 12 months LOG ASSN","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Respondent is 18 years old","0.017","0.0006","0.016","0.019","0.018","0.0006","0.016","0.019","0.996","0.0016","0.991","0.998","4640000","1853","162000"
"97 - REFUSED","7 - Respondent is 18 years old","0","0","0","0","0.005","0.0047","0.001","0.036","0","0.0002","0","0.001","1000","1","1000"
"98 - MISSING","7 - Respondent is 18 years old","0","0","0","0","0.076","0.0496","0.019","0.254","0.003","0.0016","0.001","0.009","13000","3","8000"
"Overall","8 - Respondent is 19 years old","0.016","0.0006","0.015","0.017","0.016","0.0006","0.015","0.017","1","0","N/A","N/A","4222000","1714","153000"
"1 - Within the past 30 days","8 - Respondent is 19 years old","0","0","0","0","0.016","0.0117","0.003","0.068","0.002","0.0011","0","0.006","6000","4","5000"
"2 - More than 30 days ago but within the past 12 mos","8 - Respondent is 19 years old","0","0","0","0","0.011","0.0066","0.003","0.037","0.001","0.0006","0","0.003","4000","5","2000"
"3 - More than 12 months ago","8 - Respondent is 19 years old","0","0","0","0","0.007","0.0032","0.002","0.017","0.006","0.0028","0.002","0.015","23000","9","12000"
"8 - At some point in the past 12 months LOG ASSN","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","8 - Respondent is 19 years old","0.016","0.0006","0.015","0.017","0.016","0.0006","0.015","0.017","0.992","0.0032","0.982","0.996","4186000","1693","155000"
"97 - REFUSED","8 - Respondent is 19 years old","0","0","0","0","0.009","0.0063","0.002","0.037","0","0.0003","0","0.002","2000","2","1000"
"98 - MISSING","8 - Respondent is 19 years old","0","0","0","0","0.002","0.0017","0","0.013","0","0.0001","0","0","0","1","0"
"Overall","9 - Respondent is 20 years old","0.015","0.0004","0.015","0.016","0.015","0.0004","0.015","0.016","1","0","N/A","N/A","4138000","1732","123000"
"1 - Within the past 30 days","9 - Respondent is 20 years old","0","0","0","0","0.03","0.0144","0.011","0.077","0.003","0.0014","0.001","0.007","12000","5","6000"
"2 - More than 30 days ago but within the past 12 mos","9 - Respondent is 20 years old","0","0","0","0","0.026","0.0184","0.006","0.103","0.002","0.0017","0.001","0.01","10000","5","7000"
"3 - More than 12 months ago","9 - Respondent is 20 years old","0","0.0001","0","0","0.01","0.0038","0.005","0.022","0.009","0.0033","0.004","0.018","36000","14","14000"
"8 - At some point in the past 12 months LOG ASSN","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","9 - Respondent is 20 years old","0.015","0.0004","0.014","0.016","0.015","0.0005","0.015","0.016","0.985","0.0041","0.974","0.991","4074000","1705","122000"
"97 - REFUSED","9 - Respondent is 20 years old","0","0","0","0","0.027","0.0211","0.005","0.123","0.001","0.0009","0","0.005","5000","3","4000"
"98 - MISSING","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
