RECODE - FINAL EDITED AGE,RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
7 - Respondent is 18 years old,8 - At some point in the past 12 months LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
12 - Respondent is 24 or 25 years old,98 - MISSING,8.409059642407939e-06,8.427458512201176e-06,1.1233847334826837e-06,6.294276652479953e-05,0.026223541718669037,0.026367854843973585,0.0033731666613618966,0.17645911362533828,0.00026164611311037055,0.0002618069087432331,3.505436117557252e-05,0.0019500729297559556,2288.1331739,1,2288.1331739
14 - Respondent is between 30 and 34 years old,1 - Within the past 30 days,0.00038454303709614505,0.00010740221334685678,0.0002194266359741825,0.0006738241778862677,0.2103636208326876,0.04901066360009319,0.12838027076805328,0.3251698245831742,0.004876108395502429,0.001361573694963937,0.0027810956038875857,0.008535795853368135,104635.44289002,28,29351.17471485251
8 - Respondent is 19 years old,97 - REFUSED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,3 - More than 12 months ago,0.012911672017137128,0.0007805385309568336,0.011434296218782107,0.014577118389267594,1.0,0.0,N/A,N/A,0.012911672017137128,0.0007805385309568336,0.011434296218782107,0.014577118389267594,3513309.017804512,631,218501.79817758818
9 - Respondent is 20 years old,97 - REFUSED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
7 - Respondent is 18 years old,91 - NEVER USED COC/HER/STM WITH A NEEDLE,0.01597519092367444,0.0006088887932658676,0.014797156381003552,0.017245369751992458,0.01626108518300533,0.0006202524375622309,0.015061086002527141,0.017554990760893688,0.987909738922682,0.002975533005849978,0.9802143648303542,0.9926345837991106,4346902.729468404,1710,160711.59426746404
1 - Respondent is 12 years old,91 - NEVER USED COC/HER/STM WITH A NEEDLE,0.013648175956294382,0.00039266293374349664,0.01288155243860807,0.014459755433773256,0.013892425629107993,0.0004009300519351854,0.013109724809884907,0.014721159625649263,0.9926455737939834,0.002513257234903833,0.9854225259015263,0.9963030732501674,3713714.1959762746,2025,108345.10378252441
9 - Respondent is 20 years old,91 - NEVER USED COC/HER/STM WITH A NEEDLE,0.015166995205955346,0.0006709089824989027,0.013876745315194334,0.016575195161948886,0.015438425881269266,0.0006827052472411585,0.014125457531062586,0.016871346798905666,0.9965941557685907,0.001312416405726612,0.9926247477085769,0.9984305807237785,4126989.97924947,1626,181621.2132503722
Overall,2 - More than 30 days ago but within the past 12 mos,0.0016406761181892505,0.0002349792727545967,0.0012304483975841137,0.0021873729695839907,1.0,0.0,N/A,N/A,0.0016406761181892505,0.0002349792727545967,0.0012304483975841137,0.0021873729695839907,446433.44360670005,104,64494.681934419685
13 - Respondent is between 26 and 29 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,2.2730593532535434e-05,2.2753725063353257e-05,3.043726650661831e-06,0.00016973078019583008,1.0,0.0,N/A,N/A,0.0003417077260525615,0.0003417096007399884,4.583257094267104e-05,0.002542767255688226,6185.0703094,1,6185.0703094
7 - Respondent is 18 years old,98 - MISSING,1.1220552846892336e-05,8.003993600439653e-06,2.6777251520559118e-06,4.7016541194059034e-05,0.0349911462398375,0.023963172249896022,0.008641919415182879,0.13105834993409304,0.0006938817499272765,0.0004980196755226095,0.00016405925790581181,0.0029297300503577667,3053.1498515000003,2,2176.37186646477
6 - Respondent is 17 years old,Overall,0.015563234154918604,0.00037575471638342785,0.014826244941051338,0.01633625046020599,0.015563234154918604,0.00037575471638342785,0.014826244941051338,0.01633625046020599,1.0,0.0,N/A,N/A,4234807.91876577,2356,89208.44460787119
12 - Respondent is 24 or 25 years old,2 - More than 30 days ago but within the past 12 mos,0.00019849979937516725,4.977201499189215e-05,0.00011995765065123511,0.00032845044669664337,0.12098658423470175,0.03071647171088181,0.0715415193356333,0.19734154995179984,0.006176279294985328,0.0015198122118873665,0.003765258152481045,0.01011548229014146,54012.45743010999,19,13475.859129294082
15 - Respondent is between 35 and 49 years old,Overall,0.22404573242768436,0.0028094345015037396,0.21845339928406016,0.22973914434150086,0.22404573242768436,0.0028094345015037396,0.21845339928406016,0.22973914434150086,1.0,0.0,N/A,N/A,60963591.01238471,11214,795401.1185457128
13 - Respondent is between 26 and 29 years old,97 - REFUSED,0.00010052067630778147,5.844080387071929e-05,3.126744154313208e-05,0.0003231110757451094,0.12934982082838017,0.07094691000412634,0.04023065800504787,0.344935595592804,0.001511121637595279,0.0008767112888010824,0.00047086635313887357,0.004838422441324878,27352.011271599997,3,15925.173782332275
5 - Respondent is 16 years old,91 - NEVER USED COC/HER/STM WITH A NEEDLE,0.016002105872113988,0.0004884063573117235,0.015050126272990402,0.017013261787641776,0.016288481805140413,0.0005004450650181633,0.015313221839030729,0.017324760779494613,0.9935318187638434,0.0016535312265900548,0.9892022237055224,0.9961321598309076,4354226.376703317,2385,137862.5341865969
11 - Respondent is 22 or 23 years old,9 - At some point in the lifetime LOG ASSN,1.2739638746452217e-06,1.2746064031320868e-06,1.707695332808496e-07,9.503875522424728e-06,0.01958226616650128,0.020542508558109733,0.0023231838423335804,0.14626285929817515,4.037184691581587e-05,4.0242061364933106e-05,5.452011841495368e-06,0.0002988844504767222,346.64981911,1,346.64981911
17 - Respondent is 65 years old or older,98 - MISSING,6.23430995650361e-05,5.666177304633662e-05,1.0044973449657202e-05,0.00038682073985951687,0.1944161347209472,0.145270823779123,0.0361034038162293,0.6086078221321426,0.0003401371413708359,0.0003099684207408487,5.452194714429546e-05,0.0021187875574801398,16963.7653132,2,15384.082251337688
17 - Respondent is 65 years old or older,Overall,0.18328812700012165,0.003371050867124214,0.1766139215638488,0.19015630129767094,0.18328812700012165,0.003371050867124214,0.1766139215638488,0.19015630129767094,1.0,0.0,N/A,N/A,49873310.64414746,3717,1116851.6576126786
13 - Respondent is between 26 and 29 years old,3 - More than 12 months ago,0.0009506975958300751,0.0001508713348506635,0.0006911821153443953,0.0013075248594983054,0.07363086628658577,0.01114190084426547,0.054151143033612965,0.099381726590511,0.014291783149865523,0.002266620558649955,0.010386127300354106,0.019636999455625546,258687.98651342,66,41017.2033292044
14 - Respondent is between 30 and 34 years old,97 - REFUSED,7.261967507879793e-05,4.52819379207416e-05,2.0754465764110614e-05,0.00025406261119357133,0.09344686391978188,0.05899925298026394,0.02481659275341382,0.2945472693766135,0.0009208368717435682,0.0005732252465644615,0.00026360471558175305,0.0032114485446028402,19760.05578408,4,12281.044097832118
9 - Respondent is 20 years old,1 - Within the past 30 days,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
9 - Respondent is 20 years old,9 - At some point in the lifetime LOG ASSN,1.152200287713405e-05,1.1526819920814728e-05,1.544725911126135e-06,8.593627821854839e-05,0.1771062206721254,0.1569594130781801,0.02414430773764436,0.6518341373126145,0.0007570887030802222,0.0007531988960866139,0.0001025532127303194,0.0055658767771738695,3135.1754101,1,3135.1754101
9 - Respondent is 20 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
6 - Respondent is 17 years old,98 - MISSING,9.079676659473517e-06,6.62810565163956e-06,2.0955100865956184e-06,3.934059291126197e-05,0.028314852052059993,0.02134544193522879,0.006096403686829442,0.1216016629354182,0.0005834055164301423,0.00042945222261011056,0.00013294614707084172,0.0025562473051423274,2470.61030083,2,1807.3076798039465
4 - Respondent is 15 years old,Overall,0.015562924792183056,0.00036561714041714654,0.014845360648617618,0.016314598673290267,0.015562924792183056,0.00036561714041714654,0.014845360648617618,0.016314598673290267,1.0,0.0,N/A,N/A,4234723.740133666,2381,106479.94171525189
17 - Respondent is 65 years old or older,9 - At some point in the lifetime LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
10 - Respondent is 21 years old,97 - REFUSED,1.195812997145583e-05,8.639858322280038e-06,2.801628476409337e-06,5.103909901354367e-05,0.015387699586443745,0.01144579078128859,0.0034153660325318995,0.0665266621223695,0.0007870584977979169,0.0005751229503232875,0.00018128115311868032,0.003410224418539849,3253.847047,2,2352.1823693791293
15 - Respondent is between 35 and 49 years old,1 - Within the past 30 days,0.0006726597656951403,0.0001221610160381692,0.0004670459250156295,0.0009687059943845049,0.36797739199401436,0.06080399925688319,0.25615898277423876,0.49605551156246214,0.003002332418504137,0.0005457259180461709,0.0020836489397890903,0.004324309403061602,183032.96564491006,43,33283.553266655494
9 - Respondent is 20 years old,3 - More than 12 months ago,2.943762409058743e-05,1.2609915637501757e-05,1.2451957533983305e-05,6.959175947762566e-05,0.0022799234716864005,0.00100013952576457,0.0009439963917485854,0.005496030537627152,0.0019342898003206817,0.0008378664336575055,0.0008098896453919566,0.00461253062777673,8010.07569298,7,3436.360179651072
11 - Respondent is 22 or 23 years old,2 - More than 30 days ago but within the past 12 mos,9.073230294098232e-05,3.899419334239177e-05,3.826996314499781e-05,0.00021509711759993462,0.05530177585635852,0.024432760721663175,0.022370115892647258,0.13025388599004462,0.0028753018178579535,0.0012322482664357426,0.0012147582579999942,0.006790333811030428,24688.56223312,7,10597.181630611221
10 - Respondent is 21 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
6 - Respondent is 17 years old,2 - More than 30 days ago but within the past 12 mos,6.195810495203433e-06,6.193518835879907e-06,8.319774529586658e-07,4.613915929899484e-05,0.0037763763527206727,0.0038955919871240937,0.00047343237997813357,0.029443805296435005,0.0003981055886925218,0.0003982979357089204,5.3342438245291495e-05,0.0029645377370347134,1685.9006995,1,1685.9006995
7 - Respondent is 18 years old,1 - Within the past 30 days,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,91 - NEVER USED COC/HER/STM WITH A NEEDLE,0.982418500603534,0.0009017379037780495,0.9805126416256701,0.9841409817826257,1.0,0.0,N/A,N/A,0.982418500603534,0.0009017379037780495,0.9805126416256701,0.9841409817826257,267319350.4952184,55327,1828720.8419749904
7 - Respondent is 18 years old,2 - More than 30 days ago but within the past 12 mos,5.908340753447925e-05,2.643095861365697e-05,2.4056453067912297e-05,0.00014510331204283734,0.03601162159883651,0.017534410242002856,0.013363703434992196,0.0934079664315472,0.0036537324649779145,0.001625091786232486,0.0014937358417198648,0.008909293932048756,16076.79224023,7,7174.283552399763
8 - Respondent is 19 years old,9 - At some point in the lifetime LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
15 - Respondent is between 35 and 49 years old,3 - More than 12 months ago,0.003562487553702157,0.0003316354176304692,0.0029547721754016455,0.004294654891574209,0.27591217845169974,0.02166949299998772,0.23456942276107529,0.3214811833565335,0.015900715961425543,0.0014573351171797283,0.013223788735028566,0.019109046871634776,969364.7446764444,197,91085.99846577851
16 - Respondent is between 50 and 64 years old,97 - REFUSED,0.00023005600620440935,0.00014961997155496244,6.229598339709738e-05,0.0008492018613056823,0.2960356443675208,0.1519508732500265,0.08860722462230883,0.645259229318581,0.001002256714062806,0.0006493179041467976,0.00027264680339241973,0.003677140242316802,62599.006552,3,40764.22571485514
8 - Respondent is 19 years old,2 - More than 30 days ago but within the past 12 mos,1.66955294867687e-05,1.1810742239497431e-05,4.031893650294493e-06,6.913119307349981e-05,0.010176005673316496,0.0071286418572939205,0.0024750296733175195,0.04085690786854967,0.0010566477735246135,0.0007502591282493222,0.00025366136723190897,0.0043903923664840635,4542.9092549,2,3213.6806486262267
Overall,1 - Within the past 30 days,0.0018279921004116524,0.0002113658691937436,0.001449078758884427,0.002305757067004839,1.0,0.0,N/A,N/A,0.0018279921004116524,0.0002113658691937436,0.001449078758884427,0.002305757067004839,497402.74709019985,125,57821.33803311862
7 - Respondent is 18 years old,9 - At some point in the lifetime LOG ASSN,1.700004939963291e-05,1.7002400589187263e-05,2.2804206363160057e-06,0.00012671970200937632,0.26130999380181724,0.22891364126551705,0.03164095547728223,0.7929514544566375,0.0010512872393390559,0.0010466165509493616,0.0001421581934449448,0.007729525475075773,4625.7701388,1,4625.7701388
7 - Respondent is 18 years old,97 - REFUSED,3.360635301532022e-05,2.4483762761717353e-05,7.778509562755537e-06,0.00014518078383681876,0.043244593061800334,0.030680180936494775,0.010089989664198074,0.1669664669383162,0.002078225142480624,0.0015189405613369438,0.0004780864904940852,0.008985823960575415,9144.4007366,2,6663.599236574481
Overall,13 - More than 12 months ago LOGICALLY ASSIGNED,2.2730593532535434e-05,2.2753725063353257e-05,3.043726650661831e-06,0.00016973078019583008,1.0,0.0,N/A,N/A,2.2730593532535434e-05,2.2753725063353257e-05,3.043726650661831e-06,0.00016973078019583008,6185.0703094,1,6185.0703094
14 - Respondent is between 30 and 34 years old,91 - NEVER USED COC/HER/STM WITH A NEEDLE,0.07653333892221019,0.0014124267710881365,0.07374418086887234,0.07941894366078149,0.07790299029913736,0.001439166844842404,0.07506099471855994,0.08084318580019241,0.9704631743497586,0.0032272883684334635,0.963243619847904,0.9762995807756837,20824976.7684007,4650,393391.5095849179
8 - Respondent is 19 years old,98 - MISSING,1.3349138029246633e-06,1.3343307485329735e-06,1.7927817538911645e-07,9.939757490755011e-06,0.004162911109023602,0.004260771960984189,0.0005301932018971821,0.03189166290547916,8.44857121078715e-05,8.464498512081299e-05,1.1292513026290181e-05,0.0006317859332015374,363.23449787,1,363.23449787
4 - Respondent is 15 years old,9 - At some point in the lifetime LOG ASSN,1.1124372937929762e-05,1.1143303218608259e-05,1.487577046253579e-06,8.31849001439706e-05,0.17099419861228754,0.15271738275536015,0.023146743067711733,0.6422831075792299,0.0007147996335185858,0.0007190680893291228,9.469147753509149e-05,0.005373998251075423,3026.9789775,1,3026.9789775
15 - Respondent is between 35 and 49 years old,91 - NEVER USED COC/HER/STM WITH A NEEDLE,0.2192148314569263,0.002752246623907902,0.21373693495735932,0.2247929831344432,0.2231379308535568,0.0028219806239614406,0.2175211640741885,0.22885731281735391,0.9784378799881077,0.0016336251502305109,0.9749005588595612,0.9814861456303112,59649086.74661975,10945,775077.4131836421
2 - Respondent is 13 years old,8 - At some point in the past 12 months LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
7 - Respondent is 18 years old,3 - More than 12 months ago,7.459760864836579e-05,3.715498834884624e-05,2.7430998675662898e-05,0.0002028490465624252,0.005777532805151453,0.002803628095881261,0.002175477063643921,0.015252541909365864,0.004613134480593285,0.002286120285652349,0.0017020575097547415,0.012441060143120661,20298.258104999997,8,10126.525043060046
9 - Respondent is 20 years old,98 - MISSING,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
10 - Respondent is 21 years old,1 - Within the past 30 days,1.849413332375921e-05,1.409936303441449e-05,3.999524784038383e-06,8.551390974206667e-05,0.010117184488704545,0.007922825122759025,0.002082001520815675,0.04768127983269417,0.0012172442369013838,0.0009312224442839343,0.0002616035518612413,0.005644142309928764,5032.3153575,2,3836.242030920414
12 - Respondent is 24 or 25 years old,Overall,0.03213905814400818,0.0009293141307486483,0.030323978531168114,0.0340589656001669,0.03213905814400818,0.0009293141307486483,0.030323978531168114,0.0340589656001669,1.0,0.0,N/A,N/A,8745144.908515396,3679,240161.651829314
15 - Respondent is between 35 and 49 years old,97 - REFUSED,0.00014310906102824733,7.041204896656102e-05,5.326666796825057e-05,0.0003844261525762302,0.1841524757179587,0.08338608860789629,0.06892956242363082,0.4076528277739811,0.0006387493279946267,0.0003149199256147272,0.00023722505808434696,0.0017187203850498258,38940.4527913,5,19112.38197583795
1 - Respondent is 12 years old,Overall,0.013749294125323894,0.00039854741633953844,0.012971345001135736,0.014573211431980189,0.013749294125323894,0.00039854741633953844,0.012971345001135736,0.014573211431980189,1.0,0.0,N/A,N/A,3741228.787010166,2039,109700.6325273
13 - Respondent is between 26 and 29 years old,98 - MISSING,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
5 - Respondent is 16 years old,98 - MISSING,2.714896209344064e-05,1.3645292568291317e-05,9.892830158798022e-06,7.450284152107224e-05,0.08466368064337333,0.04121175154602162,0.030806336808733792,0.21207454265974715,0.0016856130000521836,0.0008583669496899386,0.0006057197912260762,0.004681749227190737,7387.3231306,4,3695.8661255924712
14 - Respondent is between 30 and 34 years old,98 - MISSING,4.1261341681672305e-05,3.104053866989704e-05,9.105464800350111e-06,0.0001869542129042952,0.12867295048079297,0.08955556903380565,0.02882876610478399,0.423515616292687,0.0005232048306036369,0.0003936252339961734,0.00011540883203502351,0.002368530757652069,11227.348683,2,8452.50684223949
2 - Respondent is 13 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,8 - At some point in the past 12 months LOG ASSN,1.558054968114028e-05,1.1604975939051442e-05,3.4902109534377575e-06,6.954976792013644e-05,1.0,0.0,N/A,N/A,1.558054968114028e-05,1.1604975939051442e-05,3.4902109534377575e-06,6.954976792013644e-05,4239.5195312,2,3163.3590739332335
8 - Respondent is 19 years old,Overall,0.015800468145669922,0.0006819987408130031,0.014487483673425105,0.017230366478619825,0.015800468145669922,0.0006819987408130031,0.014487483673425105,0.017230366478619825,1.0,0.0,N/A,N/A,4299360.078852405,1626,181519.02223326126
6 - Respondent is 17 years old,9 - At some point in the lifetime LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
6 - Respondent is 17 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
3 - Respondent is 14 years old,Overall,0.015853921294684034,0.0004173779570222891,0.01503703925112081,0.016714427120265413,0.015853921294684034,0.0004173779570222891,0.01503703925112081,0.016714427120265413,1.0,0.0,N/A,N/A,4313904.85897167,2278,114875.47045716405
3 - Respondent is 14 years old,97 - REFUSED,4.300266739855717e-05,2.6027817325911524e-05,1.2750092987852712e-05,0.00014502613219339791,0.05533575307546157,0.04074230727465244,0.012093879040047481,0.21892662484724912,0.00271243098784503,0.0016441630993430682,0.0008016708571883459,0.009135794587012623,11701.16921809,5,7066.955431794748
Overall,97 - REFUSED,0.0007771226559420683,0.00016813672016291256,0.0005031893070276482,0.0012000046918400843,1.0,0.0,N/A,N/A,0.0007771226559420683,0.00016813672016291256,0.0005031893070276482,0.0012000046918400843,211457.66647709798,45,45739.20298504364
5 - Respondent is 16 years old,1 - Within the past 30 days,2.99899434260898e-05,2.105518654036667e-05,7.320535987602569e-06,0.0001228507823052946,0.016405948045036,0.01110275751304542,0.004170508272673238,0.062292298491973035,0.0018620026185848198,0.001299379673957045,0.0004578521239860901,0.007539947310378776,8160.36362622,3,5743.442149157256
7 - Respondent is 18 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
2 - Respondent is 13 years old,3 - More than 12 months ago,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
10 - Respondent is 21 years old,98 - MISSING,2.74117629061141e-05,1.9946911272670013e-05,6.355819248195842e-06,0.00011821486814822726,0.08548322151570673,0.062315579344663447,0.018503115624194343,0.31669293717032343,0.0018041835125038566,0.001327083285822259,0.0004112387667997699,0.00787811425723322,7458.8321082,2,5427.436341907288
5 - Respondent is 16 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
15 - Respondent is between 35 and 49 years old,2 - More than 30 days ago but within the past 12 mos,0.00043436730003762133,0.00013715549908196624,0.00023034952374984143,0.0008189331315146274,0.2647489624686043,0.07081818915566461,0.14777442808750016,0.42783358732984683,0.001938743913267006,0.0006087160746335296,0.001031575796820087,0.003640768515354641,118192.79100616001,21,37307.20132152445
3 - Respondent is 14 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
3 - Respondent is 14 years old,3 - More than 12 months ago,8.905240328476221e-06,8.908963373167901e-06,1.1939067182080283e-06,6.642005983143292e-05,0.0006897046576660764,0.0006782230808737978,9.561905875187543e-05,0.0049565744707856865,0.0005617058494835741,0.0005603495518093144,7.568871882602945e-05,0.004155596599205281,2423.1455934,1,2423.1455934
9 - Respondent is 20 years old,8 - At some point in the past 12 months LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
3 - Respondent is 14 years old,1 - Within the past 30 days,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
5 - Respondent is 16 years old,97 - REFUSED,1.6043108918033547e-05,1.2585685465697716e-05,3.318686066178515e-06,7.755141105858024e-05,0.020644242958771108,0.016498873530558535,0.004076076865240312,0.09793513554468843,0.0009960775981201911,0.0007830601533666179,0.00020520838554316192,0.004820246602401221,4365.3834422479995,3,3425.78137831274
12 - Respondent is 24 or 25 years old,9 - At some point in the lifetime LOG ASSN,8.8761023453031e-06,8.882415764596092e-06,1.1892996661630537e-06,6.62417396217848e-05,0.13643573582118723,0.12702234961725722,0.017799349660744798,0.579374081613875,0.0002761780480787957,0.00027789038700123334,3.65877923644403e-05,0.0020814272673164162,2415.217051,1,2415.217051
10 - Respondent is 21 years old,8 - At some point in the past 12 months LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
